symbol	name	chrom	start	end
AGTR2	angiotensin II receptor type 2	X	116170743	116174973
XIAP	X-linked inhibitor of apoptosis	X	123859707	123913971
GPC3	glypican 3	X	133985593	133535744
EMD	emerin	X	154379294	154381522
ATP6AP2	ATPase H+ transporting accessory protein 2	X	40580969	40606847
DDX3X	DEAD-box helicase 3 X-linked	X	41333307	41364471
OTUD5	OTU deubiquitinase 5	X	48958380	48922023
SPIN4	spindlin family member 4	X	63351331	63347227
AMER1	APC membrane recruitment protein 1	X	64205707	64185116
EDA	ectodysplasin A	X	69616112	70039471
CITED1	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1	X	72307156	72301645
TBL1X	transducin beta like 1 X-linked	X	9463294	9719739
