symbol	name	chrom	start	end
CLEC7A	C-type lectin domain containing 7A	12	10130303	10116776
PPP3CA	protein phosphatase 3 catalytic subunit alpha	4	101347525	101023417
NFKBIZ	NFKB inhibitor zeta	3	101827989	101861021
IL18R1	interleukin 18 receptor 1	2	102355795	102398775
ICAM1	intercellular adhesion molecule 1	19	10271119	10286614
KLRC1	killer cell lectin like receptor C1	12	10454684	10442263
JAG2	jagged canonical Notch ligand 2	14	105168775	105140994
NCK2	NCK adaptor protein 2	2	105744452	105894271
CBLB	Cbl proto-oncogene B	3	105869448	105655460
ATG5	autophagy related 5	6	106325759	106184475
PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	7	106865281	106908979
LEF1	lymphoid enhancer binding factor 1	4	108168931	108047547
LIG4	DNA ligase 4	13	108218348	108207441
TNFSF13B	TNF superfamily member 13b	13	108269628	108308483
TRAF3IP2	TRAF3 interacting protein 2	6	111605877	111555380
FYN	FYN proto-oncogene, Src family tyrosine kinase	6	111873451	111660331
GPAM	glycerol-3-phosphate acyltransferase, mitochondrial	10	112227676	112149864
DTX1	deltex E3 ubiquitin ligase 1	12	113056729	113098024
CUL4A	cullin 4A	13	113208192	113267107
PTPN22	protein tyrosine phosphatase non-receptor type 22	1	113871758	113813810
TNFSF8	TNF superfamily member 8	9	114930594	114893342
CD2	CD2 molecule	1	116754429	116769228
TLR4	toll like receptor 4	9	117704402	117724734
JAML	junction adhesion molecule like	11	118225010	118193724
CD3E	CD3 epsilon subunit of T-cell receptor complex	11	118304729	118316172
CD3D	CD3 delta subunit of T-cell receptor complex	11	118342704	118338953
CD3G	CD3 gamma subunit of T-cell receptor complex	11	118344343	118355160
KMT2A	lysine methyltransferase 2A	11	118436491	118526831
CD80	CD80 molecule	3	119559613	119524292
NKAP	NFKB activating protein	X	119943750	119920671
STK11	serine/threonine kinase 11	19	1205777	1228430
RABL3	RAB, member of RAS oncogene family like 3	3	120742679	120684937
P2RX7	purinergic receptor P2X 7	12	121132875	121188031
TNFRSF4	TNF receptor superfamily member 4	1	1214152	1211339
CD86	CD86 molecule	3	122055361	122121135
IL2	interleukin 2	4	122456724	122451469
IL21	interleukin 21	4	122621065	122610107
RC3H2	ring finger and CCCH-type domains 2	9	122905358	122844555
PLXNA1	plexin A1	3	126983114	127037388
MYC	MYC proto-oncogene, bHLH transcription factor	8	127735433	127742950
THEMIS	thymocyte selection associated	6	127918594	127696627
PRDX2	peroxiredoxin 2	19	12801799	12796822
LEP	leptin	7	128241277	128257628
PTPN2	protein tyrosine phosphatase non-receptor type 2	18	12884236	12785477
SASH3	SAM and SH3 domain containing 3	X	129779948	129795200
ELF4	E74 like ETS transcription factor 4	X	130111857	130063954
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	9	130713042	130887674
IRF1	interferon regulatory factor 1	5	132490772	132481608
IL4	interleukin 4	5	132673988	132682677
TSC1	TSC complex subunit 1	9	132945377	132891348
TCF7	transcription factor 7	5	134108217	134148209
MYB	MYB proto-oncogene, transcription factor	6	135181307	135219171
NCK1	NCK adaptor protein 1	3	136862207	136951605
TRAF2	TNF receptor associated factor 2	9	136881957	136926606
IL20RB	interleukin 20 receptor subunit beta	3	136957982	137011084
FUT7	fucosyltransferase 7	9	137032087	137030173
NRARP	NOTCH regulated ankyrin repeat protein	9	137302270	137299630
EGR1	early growth response 1	5	138465478	138469302
FKBP1A	FKBP prolyl isomerase 1A	20	1393053	1368977
BRAF	B-Raf proto-oncogene, serine/threonine kinase	7	140924928	140713327
CD83	CD83 molecule	6	14117255	14136917
IL15	interleukin 15	4	141636582	141733986
NDFIP1	Nedd4 family interacting protein 1	5	142108778	142154439
TRBC1	T cell receptor beta constant 1	7	142791693	142793140
TRBC2	T cell receptor beta constant 2	7	142801040	142802528
GPR89A	G protein-coupled receptor 89A	1	145607987	145670649
GPR89B	G protein-coupled receptor 89B	1	147928419	148025933
CD74	CD74 molecule	5	150412909	150401638
TNFAIP8L2	TNF alpha induced protein 8 like 2	1	151156648	151159748
RORC	RAR related orphan receptor C	1	151831801	151806070
ZBTB7B	zinc finger and BTB domain containing 7B	1	155001749	155018522
GBA1	glucosylceramidase beta 1	1	155244626	155234451
SHH	sonic hedgehog signaling molecule	7	155812462	155799979
SEMA4A	semaphorin 4A	1	156147372	156177743
SH2D2A	SH2 domain containing 2A	1	156816847	156806242
ITK	IL2 inducible T cell kinase	5	157180839	157255184
CD1D	CD1d molecule	1	158178029	158186426
CD1C	CD1c molecule	1	158289922	158294773
IL12B	interleukin 12B	5	159330486	159314779
