symbol	name	chrom	start	end
NYAP1	neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1	7	100483926	100494801
PAX2	paired box 2	10	100735395	100829943
SEMA4G	semaphorin 4G	10	100969503	100985615
PPP3CA	protein phosphatase 3 catalytic subunit alpha	4	101347525	101023417
RPL24	ribosomal protein L24	3	101686717	101681090
MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	2	101697706	101894689
FGF8	fibroblast growth factor 8	10	101780368	101770108
GAS7	growth arrest specific 7	17	10198605	9910605
RELN	reelin	7	103989657	103471788
ALCAM	activated leukocyte cell adhesion molecule	3	105366908	105576899
EFNB2	ephrin B2	13	106535661	106489744
NTNG1	netrin G1	1	107140087	107484922
DNM2	dynamin 2	19	10718078	10831902
EFNA5	ephrin A5	5	107670936	107376893
NR2E1	nuclear receptor subfamily 2 group E member 1	6	108166021	108188808
NRCAM	neuronal cell adhesion molecule	7	108456719	108147648
MYO16	myosin XVI	13	108495715	109208004
ABITRAM	actin binding transcription modulator	9	108934399	108950743
WDR47	WD repeat domain 47	1	109042101	108970213
CELSR2	cadherin EGF LAG seven-pass G-type receptor 2	1	109249538	109275750
CNTN6	contactin 6	3	1093023	1404216
COL25A1	collagen type XXV alpha 1 chain	4	109302657	108808724
AMIGO1	adhesion molecule with Ig like domain 1	1	109509726	109504177
TCTN1	tectonic family member 1	12	110614128	110649429
SLC25A46	solute carrier family 25 member 46	5	110738144	110765156
PAK3	p21 (RAC1) activated kinase 3	X	110944396	111227360
FYN	FYN proto-oncogene, Src family tyrosine kinase	6	111873451	111660331
PTPN11	protein tyrosine phosphatase non-receptor type 11	12	112418946	112509917
NCAM1	neural cell adhesion molecule 1	11	112961419	113278435
BOC	BOC cell adhesion associated, oncogene regulated	3	113210925	113287458
DRD2	dopamine receptor D2	11	113475397	113409604
UGT8	UDP glycosyltransferase 8	4	114598401	114678224
ABLIM1	actin binding LIM protein 1	10	114801372	114431109
NGF	nerve growth factor	1	115338248	115285916
GAP43	growth associated protein 43	3	115623509	115721482
SEMA6A	semaphorin 6A	5	116574822	116443554
DRAXIN	dorsal inhibitory axon guidance protein	1	11686634	11725856
SHTN1	shootin 1	10	117126585	116881476
VAX1	ventral anterior homeobox 1	10	117138269	117128519
DSCAML1	DS cell adhesion molecule like 1	11	117817513	117427771
EXT1	exostosin glycosyltransferase 1	8	118111825	117794489
TAOK3	TAO kinase 3	12	118372906	118149800
BTBD3	BTB domain containing 3	20	11890816	11926594
CTNND2	catenin delta 2	5	11904445	10971835
PGRMC1	progesterone receptor membrane component 1	X	119236284	119244465
NECTIN1	nectin cell adhesion molecule 1	11	119729199	119638097
NOTCH2	notch receptor 2	1	120069661	119911552
STK11	serine/threonine kinase 11	19	1205777	1228430
GLI2	GLI family zinc finger 2	2	120735867	120992652
DAB2IP	DAB2 interacting protein	9	121567073	121785529
FGFR2	fibroblast growth factor receptor 2	10	121598457	121478329
PTPRZ1	protein tyrosine phosphatase receptor type Z1	7	121873160	122062035
BCL7A	BAF chromatin remodeling complex subunit BCL7A	12	122021883	122062043
TMEM106B	transmembrane protein 106B	7	12211293	12243366
EDN1	endothelin 1	6	12230515	12297193
FEZF1	FEZ family zinc finger 1	7	122310722	122301302
SEMA5B	semaphorin 5B	3	123028604	122909081
WASL	WASP like actin nucleation promoting factor	7	123749002	123681942
AFG3L2	AFG3 like matrix AAA peptidase subunit 2	18	12377226	12328943
LHX2	LIM homeobox 2	9	124011767	124033300
KALRN	kalirin RhoGEF kinase	3	124033368	124726324
ROBO3	roundabout guidance receptor 3	11	124865431	124881470
ROBO4	roundabout guidance receptor 4	11	124897864	124883690
FAT4	FAT atypical cadherin 4	4	125314954	125492931
FEZ1	fasciculation and elongation protein zeta 1	11	125496264	125442880
KIRREL3	kirre like nephrin family adhesion molecule 3	11	127003393	126423357
PHACTR1	phosphatase and actin regulator 1	6	12716766	13287836
EFNA2	ephrin A2	19	1284226	1301430
LAMA2	laminin subunit alpha 2	6	128883137	129516565
SMO	smoothened, frizzled class receptor	7	129188632	129213544
APLP2	amyloid beta precursor like protein 2	11	130069893	130144804
POTEF	POTE ankyrin domain family member F	2	130129221	130073534
HMCN2	hemicentin 2	9	130265759	130434122
POTEI	POTE ankyrin domain family member I	2	130509706	130459454
POTEJ	POTE ankyrin domain family member J	2	130611077	130658036
POTEE	POTE ankyrin domain family member E	2	131209535	131265277
POTEKP	POTE ankyrin domain family member K, pseudogene	2	131592041	131626428
ULK1	unc-51 like autophagy activating kinase 1	12	131894621	131923149
NTNG2	netrin G2	9	132161688	132244525
PLXNA4	plexin A4	7	132648687	132123339
RYK	receptor like tyrosine kinase	3	134250858	134157132
SGK1	serum/glucocorticoid regulated kinase 1	6	134318111	134169255
HPRT1	hypoxanthine phosphoribosyltransferase 1	X	134460164	134500667
EPHB1	EPH receptor B1	3	134795259	135260466
DVL1	dishevelled segment polarity protein 1	1	1349417	1335277
SLC9A6	solute carrier family 9 member A6	X	135973836	136047268
LHX3	LIM homeobox 3	9	136205127	136196249
NOTCH1	notch receptor 1	9	136546047	136494432
SSNA1	SS nuclear autoantigen 1	9	137188675	137190365
PTN	pleiotrophin	7	137343732	137227340
MYOT	myotilin	5	137867859	137887850
GFRA3	GDNF family receptor alpha 3	5	138274620	138252379
WNT7A	Wnt family member 7A	3	13880070	13816257
BRSK2	BR serine/threonine kinase 2	11	1389933	1462688
CC2D1A	coiled-coil and C2 domain containing 1A	19	13906200	13930878
ETV1	ETS variant transcription factor 1	7	13991424	13891228
PCDHAC2	protocadherin alpha subfamily C, 2	5	140966475	141012346
PTK2	protein tyrosine kinase 2	8	141002078	140657899
TRIO	trio Rho guanine nucleotide exchange factor	5	14143341	14510203
ADGRB1	adhesion G protein-coupled receptor B1	8	142449648	142545006
ARC	activity regulated cytoskeleton associated protein	8	142614478	142611048
EPHB6	EPH receptor B6	7	142855075	142871092
FLRT3	fibronectin leucine rich transmembrane protein 3	20	14337611	14322984
SLITRK4	SLIT and NTRK like family member 4	X	143636100	143622789
KIFC2	kinesin family member C2	8	144466048	144474201
ZEB2	zinc finger E-box binding homeobox 2	2	144520118	144384080
NFIB	nuclear factor I B	9	14532076	14081842
SLITRK2	SLIT and NTRK like family member 2	X	145817828	145829855
