pos	relate_score	population
17933321	6.85103	ESN
22753412	5.00675	ESN
22754526	5.28313	ESN
35269930	5.13263	ESN
35273080	5.21127	ESN
35325695	5.27667	ESN
35330759	6.03526	ESN
35331153	6.03526	ESN
35335001	6.03526	ESN
35465635	5.87886	ESN
35469560	6.52529	ESN
35470944	6.52529	ESN
35473409	6.52529	ESN
35480869	5.80241	ESN
35488924	5.87886	ESN
35496318	5.87886	ESN
35507958	5.2943	ESN
35509359	7.27039	ESN
35529847	5.65346	ESN
35542691	5.0568	ESN
53426253	5.94822	ESN
53448254	5.56464	ESN
82193821	5.38364	ESN
82203456	5.38364	ESN
122410127	5.60332	ESN
124724448	5.66859	ESN
124724498	5.66859	ESN
124765870	5.00675	ESN
124766554	5.00675	ESN
124767120	5.00675	ESN
124768919	5.00675	ESN
124814773	5.09631	ESN
125428175	5.14526	ESN
125990809	5.13006	ESN
136084694	5.38577	ESN
136086651	5.38577	ESN
