gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
MTND6P12	ENSG00000235039	processed_pseudogene	X	5168918	5169439	-	subject	overlapping	X	5116111	5151917	35806	42	4.72659
MTCYBP12	ENSG00000226313	processed_pseudogene	X	5169512	5170645	+	subject	overlapping	X	5116111	5151917	35806	42	4.72659
ENSG00000201407	ENSG00000201407	snoRNA	X	24133186	24133317	+	subject	overlapping	X	24173404	24188056	14652	25	5.79377
ZFX-AS1	ENSG00000234230	lncRNA	X	24146225	24149654	-	subject	overlapping	X	24173404	24188056	14652	25	5.79377
ZFX	ENSG00000005889	protein_coding	X	24149173	24216255	+	escapee	contains_region	X	24173404	24188056	14652	25	5.79377
ENSG00000289472	ENSG00000289472	lncRNA	X	24168659	24169609	+	subject	overlapping	X	24173404	24188056	14652	25	5.79377
ENSG00000233928	ENSG00000233928	lncRNA	X	33726337	34346527	+	subject	contains_region	X	34179208	34204683	25475	33	5.39405
FAM47A	ENSG00000185448	protein_coding	X	34129752	34132314	-	subject	overlapping	X	34179208	34204683	25475	33	5.39405
FTH1P14	ENSG00000185638	processed_pseudogene	X	34147036	34147586	+	subject	overlapping	X	34179208	34204683	25475	33	5.39405
ENSG00000233571	ENSG00000233571	lncRNA	X	34206725	34415537	-	subject	flanking	X	34179208	34204683	25475	33	5.39405
USP9X	ENSG00000124486	protein_coding	X	41085445	41236579	+	escapee	contains_region	X	41206048	41225281	19233	21	5.07752
ENSG00000271457	ENSG00000271457	processed_pseudogene	X	87143854	87144748	-	subject	overlapping	X	87164215	87193156	28941	44	8.33429
ENSG00000200422	ENSG00000200422	snoRNA	X	87146733	87146804	+	subject	overlapping	X	87164215	87193156	28941	44	8.33429
UBE2V1P9	ENSG00000229667	processed_pseudogene	X	90289536	90289903	-	subject	overlapping	X	90314515	90331906	17391	22	6.12407
SERBP1P4	ENSG00000230275	processed_pseudogene	X	91560436	91561597	-	subject	overlapping	X	91596016	91614018	18002	35	5.23774
DLGAP5P2	ENSG00000237873	processed_pseudogene	X	93042490	93042942	+	subject	contained	X	93041023	93072256	31233	59	7.42761
NXT2	ENSG00000101888	protein_coding	X	109535781	109544698	+	subject	overlapping	X	109555500	109581218	25718	31	5.07237
MFN1P1	ENSG00000233874	processed_pseudogene	X	109568478	109570289	+	subject	contained	X	109555500	109581218	25718	31	5.07237
KCNE5	ENSG00000176076	protein_coding	X	109623700	109625172	-	subject	overlapping	X	109555500	109581218	25718	31	5.07237
ACSL4	ENSG00000068366	protein_coding	X	109624244	109733403	-	subject	flanking	X	109555500	109581218	25718	31	5.07237
ENSG00000230502	ENSG00000230502	processed_pseudogene	X	114388988	114389155	-	subject	overlapping	X	114419536	114441049	21513	26	5.34358
TNPO3P1	ENSG00000271686	processed_pseudogene	X	114389135	114389954	+	subject	overlapping	X	114419536	114441049	21513	26	5.34358
SSU72P1	ENSG00000226547	processed_pseudogene	X	114390674	114391256	+	subject	overlapping	X	114419536	114441049	21513	26	5.34358
PRPF4BP1	ENSG00000224217	processed_pseudogene	X	116748530	116748877	-	subject	overlapping	X	116779265	116799554	20289	46	6.9518
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117418845	117438168	19323	77	6.66214
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117418845	117438168	19323	77	6.66214
WDR44	ENSG00000131725	protein_coding	X	118346073	118449961	+	subject	contains_region	X	118424311	118445236	20925	26	6.52824
MIR1277	ENSG00000221463	miRNA	X	118386394	118386471	+	subject	overlapping	X	118424311	118445236	20925	26	6.52824
RNA5SP517	ENSG00000201594	rRNA_pseudogene	X	146427456	146427572	-	subject	overlapping	X	146474541	146489384	14843	92	5.76615
ENSG00000234748	ENSG00000234748	processed_pseudogene	X	146537535	146538048	+	subject	overlapping	X	146474541	146489384	14843	92	5.76615
