ihs_cluster_id	ihs_cluster_start	ihs_cluster_end	ihs_cluster_size	ihs_cluster_max_score	relate_cluster_id	relate_cluster_start	relate_cluster_end	relate_cluster_size	relate_cluster_max_score	overlap_start	overlap_end	overlap_size_bp	center_distance
14	51292838	51295219	2	4.33708	43	50741219	51416063	44	7.50558	51292838	51295219	2382	224702.0
21	45321561	45322474	3	4.46778	47	45321561	45322474	3	5.52913	45321561	45322474	914	0.0
22	44941269	45093381	20	5.98004	49	44817514	44958505	7	6.1219	44941269	44958505	17237	117764.0
28	48916279	48918298	4	4.45653	40	48917663	48994855	7	7.02203	48917663	48918298	636	60650.5
34	21238560	21415833	2	4.74106	18	21148027	21695333	24	8.81195	21238560	21415833	177274	56937.0
35	19287740	19301840	4	5.87687	17	18888601	19615047	46	8.19456	19287740	19301840	14101	40732.0
36	19835640	20031533	5	5.48638	16	19832670	19924848	7	6.43564	19835640	19924848	89209	113102.0
37	20542448	20542448	1	4.19853	19	20325700	20823989	31	7.98607	20542448	20542448	1	134091.0
45	27976726	28133816	5	6.73874	30	27830913	27990367	7	6.09768	27976726	27990367	13642	102879.0
50	30575707	30692068	9	5.08966	31	30555616	30598218	2	6.1219	30575707	30598218	22512	100907.0
64	151491745	151496235	4	4.47356	100	151448768	151747830	7	5.69178	151491745	151496235	4491	71499.0
69	144380279	144736662	14	6.1916	99	144556440	144556440	1	5.0963	144556440	144556440	1	178319.0
72	146485488	146487931	4	4.42987	107	146221182	147040332	36	7.13132	146485488	146487931	2444	45904.5
86	122517378	122712503	48	6.27161	73	122377828	122830899	8	6.20334	122517378	122712503	195126	103126.0
95	128579443	128598575	7	5.48567	110	128516110	128940397	24	7.7372	128579443	128598575	19133	279449.0
108	99263013	99367570	7	5.26401	70	99196243	99696542	9	6.98213	99263013	99367570	104558	113275.0
118	105656983	105747533	3	6.40213	74	105708824	105786667	3	5.7948	105708824	105747533	38710	51242.0
125	109521334	109579698	3	4.72471	90	109536514	109908303	14	7.4835	109536514	109579698	43185	261742.5
126	110506507	110512580	4	4.6259	92	110375080	111272453	57	7.77643	110506507	110512580	6074	413359.0
128	111794164	111804568	5	6.57384	91	111707814	112162177	21	7.62144	111794164	111804568	10405	121563.0
129	112090661	112117692	10	4.42917	91	111707814	112162177	21	7.62144	112090661	112117692	27032	190326.5
132	114880089	114889301	7	6.3111	84	114693637	115052888	78	7.7372	114880089	114889301	9213	21092.5
133	115396153	115706291	12	6.26805	85	115682738	115682738	1	5.6544	115682738	115682738	1	123491.0
135	117779017	117991846	3	4.30476	80	117894526	118173763	55	6.77113	117894526	117991846	97321	80617.0
147	90583797	90962380	10	5.06655	57	90617797	90617881	2	5.84969	90617797	90617881	85	136913.5
167	67608543	67661741	2	5.69559	119	67519774	67857316	5	6.47442	67608543	67661741	53199	16233.0
