gene_name	gene_id	gene_type	x_inactivation_status	gene_start	gene_end	ACB	ASW	CDX	CLM	ESN	GBR	GWD	IBS	JPT	LWK	MSL	MXL	PEL	PUR	YRI	total_populations
DMD	ENSG00000198947	protein_coding	subject	31097677	33339609	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	4
KDM6A	ENSG00000147050	protein_coding	escape	44873188	45112779	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	3
TENM1	ENSG00000009694	protein_coding	subject	124375903	125204312	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3
AKAP17BP	ENSG00000214992	unprocessed_pseudogene	subject	119249346	119257667	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2
EEDP1	ENSG00000224942	processed_pseudogene	subject	140397062	140398311	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2
ENSG00000283380	ENSG00000283380	lncRNA	subject	20769718	21374265	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2
ENSG00000230392	ENSG00000230392	lncRNA	subject	119291529	119335610	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2
ENSG00000228855	ENSG00000228855	processed_pseudogene	subject	147591612	147591909	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2
ENSG00000287776	ENSG00000287776	lncRNA	subject	122422006	122479732	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2
RNU6-555P	ENSG00000207515	snRNA	subject	90597235	90597340	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2
RTL4	ENSG00000187823	protein_coding	subject	112083016	112457514	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2
RNU6-133P	ENSG00000206716	snRNA	subject	21214637	21214743	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2
TRPC5	ENSG00000072315	protein_coding	subject	111768011	112082776	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2
U7	ENSG00000275268	snRNA	subject	140451148	140451208	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2
TASL	ENSG00000120280	protein_coding	subject	30558809	30577766	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2
RPS17P17	ENSG00000225758	processed_pseudogene	subject	140470866	140471274	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2
ENSG00000288098	ENSG00000288098	lncRNA	subject	141934496	142740581	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2
FTLP2	ENSG00000232368	processed_pseudogene	subject	30630298	30630825	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2
CKS1BP6	ENSG00000178556	processed_pseudogene	subject	30617454	30617693	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2
AR	ENSG00000169083	protein_coding	subject	67544021	67730619	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
BCLAF3	ENSG00000173681	protein_coding	subject	19912860	19991061	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ATP11C	ENSG00000101974	protein_coding	subject	139726346	139945276	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ASS1P5	ENSG00000227881	processed_pseudogene	subject	115664895	115666133	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
