chr	gene_start	gene_end	strand	gene_id	gene_name	gene_type	x_inactivation_status	overlap_type	region_start	region_end	population	overlap_start	overlap_end	overlap_size_bp	ihs_max_score	relate_max_score
X	124375903	125204312	-	ENSG00000009694	TENM1	protein_coding	subject	contains_region	124807878	124887100	ACB	124807878	124887100	79223	5.03872	5.71287
X	78656068	78659328	-	ENSG00000179300	RTL3	protein_coding	subject	flanking	78608079	78608079	ACB	78608079	78608079	1	4.37841	5.21365
X	31097677	33339609	-	ENSG00000198947	DMD	protein_coding	subject	contains_region	32604109	32604109	ASW	32604109	32604109	1	1.6703	5.24339
X	32583656	32583752	-	ENSG00000263600	MIR3915	miRNA	subject	overlapping	32604109	32604109	ASW	32604109	32604109	1	1.6703	5.24339
X	32641474	32641559	-	ENSG00000221348	MIR548F5	miRNA	subject	overlapping	32604109	32604109	ASW	32604109	32604109	1	1.6703	5.24339
X	141934496	142740581	+	ENSG00000288098	ENSG00000288098	lncRNA	subject	contains_region	142682371	142682371	CDX	142682371	142682371	1	5.20341	5.76802
X	20769718	21374265	-	ENSG00000283380	ENSG00000283380	lncRNA	subject	contains_region	21235631	21242103	CLM	21235631	21242103	6473	4.87489	7.47933
X	21214637	21214743	+	ENSG00000206716	RNU6-133P	snRNA	subject	overlapping	21235631	21242103	CLM	21235631	21242103	6473	4.87489	7.47933
X	30558809	30577766	-	ENSG00000120280	TASL	protein_coding	subject	overlapping	30582041	30598218	CLM	30582041	30598218	16178	6.95759	7.05071
X	30617454	30617693	+	ENSG00000178556	CKS1BP6	processed_pseudogene	subject	overlapping	30582041	30598218	CLM	30582041	30598218	16178	6.95759	7.05071
X	30630298	30630825	+	ENSG00000232368	FTLP2	processed_pseudogene	subject	overlapping	30582041	30598218	CLM	30582041	30598218	16178	6.95759	7.05071
X	68771322	68772578	+	ENSG00000232267	ACTR3P2	processed_pseudogene	subject	overlapping	68780389	68786454	CLM	68780389	68786454	6066	6.33143	6.58704
X	68783472	68785066	+	ENSG00000213740	SERBP1P1	processed_pseudogene	subject	contained	68780389	68786454	CLM	68780389	68786454	6066	6.33143	6.58704
X	68829021	68842160	+	ENSG00000090776	EFNB1	protein_coding	subject	flanking	68780389	68786454	CLM	68780389	68786454	6066	6.33143	6.58704
X	107713221	107777342	-	ENSG00000157514	TSC22D3	protein_coding	subject	flanking	107783358	107788453	CLM	107783358	107788453	5096	6.1448	6.56681
X	107774899	107795829	+	ENSG00000170935	NCBP2L	protein_coding	subject	contains_region	107783358	107788453	CLM	107783358	107788453	5096	6.1448	6.56681
X	107825755	107931637	+	ENSG00000080561	MID2	protein_coding	subject	flanking	107783358	107788453	CLM	107783358	107788453	5096	6.1448	6.56681
