ihs_cluster_id	ihs_cluster_start	ihs_cluster_end	ihs_cluster_size	ihs_cluster_max_score	relate_cluster_id	relate_cluster_start	relate_cluster_end	relate_cluster_size	relate_cluster_max_score	overlap_start	overlap_end	overlap_size_bp	center_distance	population	n_genes_total	n_genes_protein_coding	n_genes_x_escapees	gene_names_all	gene_names_protein_coding	gene_names_x_escapees
30	35515649	35524736	3	6.54787	27	35369042	35526498	20	7.59619	35515649	35524736	9088	45332.0	ACB	0	0	0	None	None	None
95	124807878	124895422	4	5.03872	5	124767120	124887100	5	5.71287	124807878	124887100	79223	116129.0	ACB	1	1	0	TENM1	TENM1	None
138	78608079	78608079	1	4.37841	37	78604313	78655154	3	5.21365	78608079	78608079	1	42985.0	ACB	1	1	0	RTL3	RTL3	None
148	86431105	87370303	60	6.48725	38	87050871	87050871	1	5.58082	87050871	87050871	1	147704.0	ACB	0	0	0	None	None	None
165	97776641	97945286	12	4.55522	35	97791119	97791119	1	5.03851	97791119	97791119	1	139113.5	ACB	0	0	0	None	None	None
25	151634100	152092015	40	1.45689	23	151819153	151819153	1	5.68602	151819153	151819153	1	28451.0	ASW	0	0	0	None	None	None
64	97701272	97856207	17	1.91359	15	97641142	97792998	3	6.49857	97701272	97792998	91727	59566.0	ASW	0	0	0	None	None	None
70	68674293	69169616	73	1.6047	12	69104794	69104794	1	5.15764	69104794	69104794	1	74597.0	ASW	0	0	0	None	None	None
102	32539172	33031915	34	1.6703	1	32604109	32604109	1	5.24339	32604109	32604109	1	197260.5	ASW	3	1	0	DMD,MIR3915,MIR548F5	DMD	None
78	142423608	142888542	27	5.20341	2	142682371	142682371	1	5.76802	142682371	142682371	1	69074.0	CDX	1	0	0	ENSG00000288098	None	None
13	21235631	21242103	2	4.87489	90	21148027	21426734	12	7.47933	21235631	21242103	6473	115503.5	CLM	2	0	0	ENSG00000283380,RNU6-133P	None	None
19	30582041	30841525	12	6.95759	102	30485294	30598218	3	7.05071	30582041	30598218	16178	190411.5	CLM	3	1	0	TASL,CKS1BP6,FTLP2	TASL	None
47	68780389	68786454	3	6.33143	68	68721314	69104794	14	6.58704	68780389	68786454	6066	160822.0	CLM	3	1	0	ACTR3P2,SERBP1P1,EFNB1	EFNB1	None
74	95392306	95392306	1	4.50819	35	95242016	95701864	60	7.79816	95392306	95392306	1	132880.0	CLM	0	0	0	None	None	None
89	107783358	107788453	4	6.1448	27	107745527	107847004	10	6.56681	107783358	107788453	5096	36058.5	CLM	3	3	0	TSC22D3,NCBP2L,MID2	TSC22D3,NCBP2L,MID2	None
100	119301240	119301240	1	4.87645	52	119218223	119311028	7	5.79425	119301240	119301240	1	31605.0	CLM	2	0	0	AKAP17BP,ENSG00000230392	None	None
116	122302618	122403303	2	4.59804	59	122380168	122380168	1	5.86588	122380168	122380168	1	27207.5	CLM	1	0	0	ENSG00000287776	None	None
118	140294292	140311404	3	6.42606	23	140263876	140521653	36	8.69266	140294292	140311404	17113	123588.5	CLM	0	0	0	None	None	None
121	142890603	142920898	6	6.85227	22	142802363	142907688	8	6.67374	142890603	142907688	17086	79759.5	CLM	0	0	0	None	None	None
127	147601948	147661861	2	7.48335	3	147622419	147718112	22	8.01792	147622419	147661861	39443	36883.0	CLM	1	0	0	ENSG00000228855	None	None
129	146330199	146340883	3	5.2328	1	145836796	146400379	14	7.04023	146330199	146340883	10685	15912.0	CLM	0	0	0	None	None	None
17	35513225	35517460	10	6.39259	11	35269930	35542691	21	7.27039	35513225	35517460	4236	51231.0	ESN	0	0	0	None	None	None
18	35290866	35290866	1	5.04884	11	35269930	35542691	21	7.27039	35290866	35290866	1	174769.0	ESN	0	0	0	None	None	None
186	124734651	124905136	6	5.18934	22	124724448	124814773	7	5.66859	124734651	124814773	80123	7971.0	ESN	2	1	0	TENM1,RPS26P57	TENM1	None
187	125188634	125467805	13	5.53893	23	125428175	125428175	1	5.14526	125428175	125428175	1	157770.0	ESN	0	0	0	None	None	None
69	10789082	10800726	2	5.42701	5	10754672	10796361	2	5.25192	10789082	10796361	7280	19387.5	GBR	1	1	0	MID1	MID1	None
26	124738524	124903086	12	5.16808	22	124887100	124887100	1	5.57208	124887100	124887100	1	139827.0	GWD	1	1	0	TENM1	TENM1	None
