gene_name	gene_id	subpopulations	n_subpopulations	gene_type	x_inactivation_status	gene_start	gene_end	strand
DMD	ENSG00000198947	ASW,GWD,MSL	3	protein_coding	subject	31097677	33339609	-
TENM1	ENSG00000009694	ACB,ESN,GWD	3	protein_coding	subject	124375903	125204312	-
DIAPH2	ENSG00000147202	GWD	1	protein_coding	subject	96684712	97604997	+
DIAPH2-AS1	ENSG00000236256	GWD	1	lncRNA	subject	97431286	97642589	-
ENSG00000233250	ENSG00000233250	GWD	1	lncRNA	subject	53432722	53433032	-
ENSG00000233887	ENSG00000233887	YRI	1	processed_pseudogene	subject	97847263	97849017	+
ENSG00000233928	ENSG00000233928	MSL	1	lncRNA	subject	33726337	34346527	+
HSD17B10	ENSG00000072506	GWD	1	protein_coding	subject	53431258	53434370	-
MIR3915	ENSG00000263600	ASW	1	miRNA	subject	32583656	32583752	-
MIR548F5	ENSG00000221348	ASW	1	miRNA	subject	32641474	32641559	-
MIR6857	ENSG00000278204	GWD	1	miRNA	subject	53405673	53405765	-
RIBC1	ENSG00000158423	GWD	1	protein_coding	subject	53422690	53431120	+
RNA5SP517	ENSG00000201594	LWK	1	rRNA_pseudogene	subject	146427456	146427572	-
RPS26P57	ENSG00000236880	ESN	1	processed_pseudogene	subject	124688504	124688838	-
RTL3	ENSG00000179300	ACB	1	protein_coding	subject	78656068	78659328	-
SMC1A	ENSG00000072501	GWD	1	protein_coding	subject	53374149	53422728	-
