gene_name	gene_id	n_populations	populations	x_inactivation_status	gene_type
DMD	ENSG00000198947	4	ASW,GWD,IBS,MSL	subject	protein_coding
KDM6A	ENSG00000147050	3	MXL,PEL,PUR	escape	protein_coding
TENM1	ENSG00000009694	3	ACB,ESN,GWD	subject	protein_coding
RTL4	ENSG00000187823	2	IBS,PEL	subject	protein_coding
TASL	ENSG00000120280	2	CLM,PEL	subject	protein_coding
TRPC5	ENSG00000072315	2	IBS,PEL	subject	protein_coding
CDKL5	ENSG00000008086	1	PUR	subject	protein_coding
CNKSR2	ENSG00000149970	1	PEL	subject	protein_coding
DCAF8L1	ENSG00000226372	1	PEL	subject	protein_coding
ACSL4	ENSG00000068366	1	PEL	subject	protein_coding
AR	ENSG00000169083	1	PEL	subject	protein_coding
ATP11C	ENSG00000101974	1	IBS	subject	protein_coding
BCLAF3	ENSG00000173681	1	PEL	subject	protein_coding
ALG13	ENSG00000101901	1	PEL	subject	protein_coding
HTR2C	ENSG00000147246	1	PEL	subject	protein_coding
HSD17B10	ENSG00000072506	1	GWD	subject	protein_coding
ENSG00000250349	ENSG00000250349	1	PUR	subject	protein_coding
EFNB1	ENSG00000090776	1	CLM	subject	protein_coding
DIAPH2	ENSG00000147202	1	GWD	subject	protein_coding
IL1RAPL2	ENSG00000189108	1	PEL	subject	protein_coding
KCND1	ENSG00000102057	1	PEL	subject	protein_coding
KCNE5	ENSG00000176076	1	PEL	subject	protein_coding
NUDT10	ENSG00000122824	1	PEL	subject	protein_coding
NXT2	ENSG00000101888	1	PEL	subject	protein_coding
OTUD5	ENSG00000068308	1	PEL	subject	protein_coding
PDHA1	ENSG00000131828	1	PEL	subject	protein_coding
KLHL13	ENSG00000003096	1	PEL	subject	protein_coding
MID1	ENSG00000101871	1	GBR	subject	protein_coding
MID2	ENSG00000080561	1	CLM	subject	protein_coding
NCBP2L	ENSG00000170935	1	CLM	subject	protein_coding
PQBP1	ENSG00000102103	1	PEL	subject	protein_coding
PLS3	ENSG00000102024	1	PEL	subject	protein_coding
PIM2	ENSG00000102096	1	PEL	subject	protein_coding
PGRMC1	ENSG00000101856	1	PUR	subject	protein_coding
SASH3	ENSG00000122122	1	PUR	subject	protein_coding
PRRG1	ENSG00000130962	1	PUR	subject	protein_coding
RIBC1	ENSG00000158423	1	GWD	subject	protein_coding
RTL3	ENSG00000179300	1	ACB	subject	protein_coding
SMC1A	ENSG00000072501	1	GWD	subject	protein_coding
SLC35A2	ENSG00000102100	1	PEL	subject	protein_coding
SH3KBP1	ENSG00000147010	1	PEL	subject	protein_coding
TDGF1P3	ENSG00000225366	1	PEL	subject	protein_coding
TIMM17B	ENSG00000126768	1	PEL	subject	protein_coding
TSC22D3	ENSG00000157514	1	CLM	subject	protein_coding
VCX3A	ENSG00000169059	1	IBS	subject	protein_coding
ZDHHC9	ENSG00000188706	1	PUR	subject	protein_coding
