chr	gene_start	gene_end	strand	gene_id	gene_name	gene_type	x_inactivation_status	overlap_type	region_start	region_end	population	overlap_start	overlap_end	overlap_size_bp	ihs_max_score	relate_max_score
X	124375903	125204312	-	ENSG00000009694	TENM1	protein_coding	subject	contains_region	124807878	124887100	ACB	124807878	124887100	79223	5.03872	5.71287
X	78656068	78659328	-	ENSG00000179300	RTL3	protein_coding	subject	flanking	78608079	78608079	ACB	78608079	78608079	1	4.37841	5.21365
X	31097677	33339609	-	ENSG00000198947	DMD	protein_coding	subject	contains_region	32604109	32604109	ASW	32604109	32604109	1	1.6703	5.24339
X	30558809	30577766	-	ENSG00000120280	TASL	protein_coding	subject	overlapping	30582041	30598218	CLM	30582041	30598218	16178	6.95759	7.05071
X	68829021	68842160	+	ENSG00000090776	EFNB1	protein_coding	subject	flanking	68780389	68786454	CLM	68780389	68786454	6066	6.33143	6.58704
X	107713221	107777342	-	ENSG00000157514	TSC22D3	protein_coding	subject	flanking	107783358	107788453	CLM	107783358	107788453	5096	6.1448	6.56681
X	107774899	107795829	+	ENSG00000170935	NCBP2L	protein_coding	subject	contains_region	107783358	107788453	CLM	107783358	107788453	5096	6.1448	6.56681
X	107825755	107931637	+	ENSG00000080561	MID2	protein_coding	subject	flanking	107783358	107788453	CLM	107783358	107788453	5096	6.1448	6.56681
X	124375903	125204312	-	ENSG00000009694	TENM1	protein_coding	subject	contains_region	124734651	124814773	ESN	124734651	124814773	80123	5.18934	5.66859
X	10445310	10833654	-	ENSG00000101871	MID1	protein_coding	subject	contains_region	10789082	10796361	GBR	10789082	10796361	7280	5.42701	5.25192
X	124375903	125204312	-	ENSG00000009694	TENM1	protein_coding	subject	contains_region	124887100	124887100	GWD	124887100	124887100	1	5.16808	5.57208
X	96684712	97604997	+	ENSG00000147202	DIAPH2	protein_coding	subject	contains_region	97461099	97466478	GWD	97461099	97466478	5380	4.82392	5.80376
X	53374149	53422728	-	ENSG00000072501	SMC1A	protein_coding	subject	contains_region	53404752	53404752	GWD	53404752	53404752	1	5.13597	5.79274
X	53422690	53431120	+	ENSG00000158423	RIBC1	protein_coding	subject	overlapping	53404752	53404752	GWD	53404752	53404752	1	5.13597	5.79274
X	53431258	53434370	-	ENSG00000072506	HSD17B10	protein_coding	subject	overlapping	53404752	53404752	GWD	53404752	53404752	1	5.13597	5.79274
X	31097677	33339609	-	ENSG00000198947	DMD	protein_coding	subject	contains_region	31146158	31146158	GWD	31146158	31146158	1	7.25722	5.49049
X	139726346	139945276	-	ENSG00000101974	ATP11C	protein_coding	subject	contains_region	139830211	139853341	IBS	139830211	139853341	23131	6.67105	5.53252
X	111768011	112082776	-	ENSG00000072315	TRPC5	protein_coding	subject	flanking	112092473	112092473	IBS	112092473	112092473	1	4.1446	5.75309
