gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
MTND6P12	ENSG00000235039	processed_pseudogene	X	5168918	5169439	-	subject	overlapping	X	5122825	5149831	27006	97	5.23573
MTCYBP12	ENSG00000226313	processed_pseudogene	X	5169512	5170645	+	subject	overlapping	X	5122825	5149831	27006	97	5.23573
ENSG00000201407	ENSG00000201407	snoRNA	X	24133186	24133317	+	subject	overlapping	X	24174492	24200760	26268	31	5.91556
ZFX-AS1	ENSG00000234230	lncRNA	X	24146225	24149654	-	subject	overlapping	X	24174492	24200760	26268	31	5.91556
ZFX	ENSG00000005889	protein_coding	X	24149173	24216255	+	escapee	contains_region	X	24174492	24200760	26268	31	5.91556
ENSG00000289472	ENSG00000289472	lncRNA	X	24168659	24169609	+	subject	overlapping	X	24174492	24200760	26268	31	5.91556
GK	ENSG00000198814	protein_coding	X	30653359	30731462	+	subject	contains_region	X	30688501	30711225	22724	29	6.72389
GK-IT1	ENSG00000229331	lncRNA	X	30671635	30672166	+	subject	overlapping	X	30688501	30711225	22724	29	6.72389
ENSG00000241886	ENSG00000241886	lncRNA	X	30698207	30721932	+	subject	overlapping	X	30688501	30711225	22724	29	6.72389
GK-AS1	ENSG00000243055	lncRNA	X	30699998	30724174	-	subject	overlapping	X	30688501	30711225	22724	29	6.72389
DMD	ENSG00000198947	protein_coding	X	31097677	33339609	-	subject	contains_region	X	31791469	31809169	17700	24	5.54547
ENSG00000233928	ENSG00000233928	lncRNA	X	33726337	34346527	+	subject	contains_region	X	33831305	33856535	25230	32	6.70879
ENSG00000233928	ENSG00000233928	lncRNA	X	33726337	34346527	+	subject	contains_region	X	34188009	34209673	21664	34	6.34621
FTH1P14	ENSG00000185638	processed_pseudogene	X	34147036	34147586	+	subject	overlapping	X	34188009	34209673	21664	34	6.34621
ENSG00000233571	ENSG00000233571	lncRNA	X	34206725	34415537	-	subject	flanking	X	34188009	34209673	21664	34	6.34621
USP9X	ENSG00000124486	protein_coding	X	41085445	41236579	+	escapee	contains_region	X	41191329	41210759	19430	25	5.50715
RRAGB	ENSG00000083750	protein_coding	X	55717749	55758774	+	subject	flanking	X	55800345	55817803	17458	26	5.90385
EIF3JP1	ENSG00000228041	processed_pseudogene	X	82497669	82497924	-	subject	overlapping	X	82524273	82538128	13855	26	10.7153
RPL22P22	ENSG00000213653	processed_pseudogene	X	82506434	82506812	-	subject	overlapping	X	82524273	82538128	13855	26	10.7153
ENSG00000202183	ENSG00000202183	snoRNA	X	82561201	82561347	+	subject	overlapping	X	82524273	82538128	13855	26	10.7153
ENSG00000271457	ENSG00000271457	processed_pseudogene	X	87143854	87144748	-	subject	overlapping	X	87161871	87193156	31285	114	7.94015
ENSG00000200422	ENSG00000200422	snoRNA	X	87146733	87146804	+	subject	overlapping	X	87161871	87193156	31285	114	7.94015
ENSG00000230478	ENSG00000230478	processed_pseudogene	X	87425583	87425690	-	subject	overlapping	X	87426670	87439633	12963	32	5.34788
DLGAP5P2	ENSG00000237873	processed_pseudogene	X	93042490	93042942	+	subject	contained	X	93038983	93065486	26503	63	7.88892
PRPF4BP1	ENSG00000224217	processed_pseudogene	X	116748530	116748877	-	subject	overlapping	X	116787724	116799554	11830	27	6.16173
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117420547	117437012	16465	63	5.96974
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117420547	117437012	16465	63	5.96974
RNA5SP517	ENSG00000201594	rRNA_pseudogene	X	146427456	146427572	-	subject	overlapping	X	146476206	146489384	13178	91	5.73443
ENSG00000234748	ENSG00000234748	processed_pseudogene	X	146537535	146538048	+	subject	overlapping	X	146476206	146489384	13178	91	5.73443
