population	threshold	n_regions	n_genes	n_protein_coding_genes	status
ACB	3.353215999999994	24	35	15.0	success
ASW	1.1642625	25	54	24.0	success
ESN	3.30625	25	35	13.0	success
GWD	3.3054300000000003	25	30	12.0	success
LWK	3.641671199999999	17	28	5.0	success
MSL	3.3892250000000166	23	48	12.0	success
YRI	3.3270120000000007	28	47	21.0	success
CLM	3.4923160000000038	22	24	7.0	success
MXL	3.0893780000000124	58	104	51.0	success
PEL	3.4387731999999884	15	23	5.0	success
PUR	3.4606935000000014	26	26	4.0	success
CDX	3.4079800000000007	22	21	3.0	success
CHB	3.3492714999999977	24	30	7.0	success
CHS	3.5108762999999983	25	27	3.0	success
JPT	3.2689844999999913	25	33	13.0	success
KHV	3.369149899999994	23	20	7.0	success
CEU	3.460315999999997	22	27	5.0	success
FIN	3.589721200000001	20	24	6.0	success
GBR	3.719753699999995	19	27	4.0	success
IBS	3.4340540000000037	18	18	3.0	success
TSI	1.905858	0	0		no_regions
BEB	3.5249014999999995	19	30	7.0	success
GIH	1.8465115999999995	0	0		no_regions
ITU	3.5778040000000013	19	34	14.0	success
PJL	3.356894000000008	25	36	12.0	success
STU	3.5977094000000105	15	19	7.0	success
