chr	start	end	n_variants	max_combined_score	length_kb	peak_position	peak_ihs	peak_eur_vs_eas	peak_eur_vs_afr
X	22100286	23786251	1407	63.2978	1685.96	22880336	0.0000	31.0450	32.2528
X	7831661	10211943	2437	58.2379	2380.28	9935137	0.0000	28.9555	29.2824
X	11687552	14093830	1191	56.9499	2406.28	12679820	0.0000	28.0193	28.9306
X	139226893	145930415	5482	53.2523	6703.52	141836499	0.0000	26.0375	27.2148
X	43753461	44750714	854	51.1613	997.25	44616783	0.0000	25.1173	26.0440
X	122383219	123233339	420	48.9275	850.12	123182553	0.0000	24.2760	24.6515
X	146461104	147640599	888	44.1821	1179.49	147612016	0.0000	21.8552	22.3269
X	32008286	33726472	1112	43.1608	1718.19	32307363	0.0000	21.8307	21.3301
X	149763790	152814680	2622	38.9852	3050.89	151312501	0.0000	19.2629	19.7223
X	38867421	41954700	2063	38.7641	3087.28	39162366	0.0000	19.2701	19.4940
X	88431246	88984631	312	35.8633	553.38	88583018	0.0000	17.7208	18.1425
X	46253553	46335254	693	35.4598	81.70	46323578	0.0000	17.5262	17.9336
X	4686839	6227681	624	31.3337	1540.84	5444953	0.0000	15.5063	15.8274
X	123745524	125544062	1468	29.7214	1798.54	125158515	0.0000	14.6833	15.0381
X	6748317	6760794	273	27.1550	12.48	6752056	0.0000	13.3193	13.8357
X	119349160	119734337	408	26.0380	385.18	119731419	0.0000	12.8152	13.2228
X	50638993	50929673	632	25.7944	290.68	50651437	0.0000	13.1932	12.6012
X	148452263	148727631	376	24.7522	275.37	148709479	0.0000	12.1628	12.5894
X	17157968	18018397	270	24.7369	860.43	17538851	0.0000	12.1508	12.5861
X	35829872	35864464	403	23.4601	34.59	35844663	0.0000	11.5813	11.8788
X	97671552	97914295	791	23.3308	242.74	97854683	-1.9053	12.1332	11.1976
X	115329858	116427605	616	22.4040	1097.75	116345137	0.0000	11.0042	11.3998
X	96547978	96581851	110	21.9402	33.87	96579914	0.0000	10.8259	11.1143
X	47061715	47752051	514	21.8682	690.34	47082932	0.0000	10.7685	11.0997
X	68185853	69235798	1879	21.1292	1049.94	69108901	-1.3406	10.1987	10.9305
X	53259798	53323900	650	21.0823	64.10	53282994	0.0000	11.2684	9.8139
X	29200585	29888131	339	20.1556	687.55	29587814	0.0000	9.9484	10.2072
X	111124537	112834257	1507	19.7942	1709.72	112614947	0.0000	9.7563	10.0379
X	95734683	95974576	197	19.3630	239.89	95826440	0.0000	9.4544	9.9086
X	99979779	99999772	223	19.2825	19.99	99992007	0.0000	9.5152	9.7673
X	70036785	70452805	120	19.2540	416.02	70446003	0.0000	9.7072	9.5468
X	31191350	31404093	326	19.2244	212.74	31241553	-1.8351	9.7052	9.5191
X	149236199	149261133	252	18.3082	24.93	149253766	0.0000	9.0093	9.2989
X	100510088	101322515	357	17.9517	812.43	100592008	0.0000	8.8657	9.0860
X	126315187	126319600	60	17.7646	4.41	126318080	0.0000	8.7495	9.0152
X	117751856	118469788	499	17.7104	717.93	117753625	-1.8371	8.9780	8.7324
X	120263823	121196223	267	17.6837	932.40	120270754	0.0000	8.7078	8.9759
X	37591800	38228530	882	17.6605	636.73	37939285	-1.2131	9.1163	8.5442
X	136113355	136520145	210	16.6558	406.79	136120215	0.0000	8.2086	8.4472
X	109625101	110429668	821	15.7586	804.57	109785080	0.0000	7.6180	8.1406
X	18834802	19490137	1372	15.7237	655.34	19196179	0.0000	7.8155	7.9082
X	94982583	94985742	52	15.3326	3.16	94984002	-1.7230	7.2718	8.0608
X	71246969	71656043	315	14.6174	409.07	71252257	0.0000	7.2428	7.3745
X	114051154	114368428	222	13.1204	317.27	114053523	0.0000	6.5095	6.6109
X	49639878	49643006	84	12.8450	3.13	49640431	0.0000	6.2913	6.5537
X	45310745	45660193	78	12.4673	349.45	45311099	0.0000	6.1441	6.3232
X	36581050	36586602	102	12.3987	5.55	36584497	0.0000	6.3594	6.0393
X	133170506	133173160	28	12.1755	2.65	133172297	0.0000	5.8974	6.2781
X	131643499	131645537	44	12.1192	2.04	131644737	0.0000	5.9839	6.1353
X	135470049	135477024	110	11.8072	6.97	135470990	-1.8697	5.9075	5.8997
X	92834264	92879765	51	11.6597	45.50	92834532	0.0000	5.7446	5.9151
X	134530540	134929299	325	11.3729	398.76	134928702	0.0000	5.6746	5.6983
X	53881577	53887660	90	11.1917	6.08	53883344	-1.8810	5.5636	5.6281
X	93953732	94433154	166	11.1833	479.42	94430550	-1.8451	5.6038	5.5796
X	129136355	129995735	250	11.1632	859.38	129796661	0.0000	5.4745	5.6887
X	72386440	72388514	34	10.8274	2.07	72387599	-1.6135	5.5770	5.2504
X	20322795	20604670	268	10.8084	281.88	20357748	0.0000	5.3291	5.4793
X	85851260	85853833	36	10.1913	2.57	85852289	-1.5632	5.0578	5.1335
X	3695532	3704745	113	9.8853	9.21	3701618	-1.6586	5.0724	4.8129
X	34883337	34885043	36	9.5444	1.71	34883913	0.0000	4.6968	4.8476
X	86926136	87696887	175	9.3580	770.75	87695022	-1.7617	4.6911	4.6669
X	93407035	93412127	69	9.1796	5.09	93408315	0.0000	4.6727	4.5069
X	42487830	43088370	111	9.0212	600.54	42879341	-1.3904	4.6156	4.4056
X	25754247	26072000	93	8.8931	317.75	26069527	-1.7520	4.4585	4.4347
X	28667389	28669043	33	8.4487	1.65	28668394	0.0000	4.1701	4.2786
X	137103921	137107445	81	8.3808	3.52	137104971	0.0000	4.1583	4.2224
X	128610088	128612520	32	8.2766	2.43	128610586	-1.7550	4.1168	4.1598
X	98960935	98963861	56	8.1916	2.93	98962053	0.0000	4.0457	4.1459
X	137991965	137993174	23	8.0800	1.21	137992121	-1.5463	4.0628	4.0173
X	90041376	90754953	164	7.9668	713.58	90400322	-1.4865	4.0241	3.9427
X	27086992	27087665	23	7.4555	0.67	27087413	0.0000	3.6565	3.7990
X	97160067	97161035	28	7.2805	0.97	97160361	0.0000	3.5811	3.6994
X	131080398	131082187	32	7.1686	1.79	131081437	-1.6533	3.6111	3.5575
X	84877972	84879950	67	6.9150	1.98	84879299	0.0000	3.4429	3.4721
X	28010933	28014934	27	6.8006	4.00	28014681	0.0000	3.3513	3.4493
X	55018806	55020980	19	6.7473	2.17	55020660	0.0000	3.3655	3.3818
X	103736815	103738280	30	6.7159	1.47	103737618	0.0000	3.3125	3.4034
