chr	start	end	n_variants	max_combined_score	length_kb	peak_position	peak_ihs	peak_eur_vs_eas	peak_eur_vs_afr
X	9798685	10085162	50	61.0479	286.48	9935338	-2.6144	29.2289	29.2046
X	140854538	142297939	60	56.9905	1443.40	141836367	-2.0194	27.0595	27.9116
X	12678787	13843968	35	55.4858	1165.18	12680201	-2.5648	26.3877	26.5333
X	123181425	123186307	13	53.2103	4.88	123182031	-2.5335	25.4986	25.1782
X	147042747	147622779	43	51.8097	580.03	147611945	-2.5293	24.5613	24.7191
X	22782794	22995204	31	51.2208	212.41	22879867	-2.5318	23.9357	24.7533
X	142855863	145156160	76	46.9390	2300.30	143057679	-2.2220	22.0918	22.6252
X	44114052	44624805	25	46.6837	510.75	44616747	-2.4753	22.0202	22.1882
X	151304566	151973000	30	41.0036	668.43	151312227	-2.4160	19.1041	19.4835
X	39159768	39167376	13	40.9973	7.61	39161766	-2.4083	19.0764	19.5126
X	32121178	33379047	43	40.1351	1257.87	32307648	-2.1002	17.7333	20.3016
X	88582700	88588583	10	34.7289	5.88	88582779	-2.3015	16.3039	16.1235
X	125156828	125532128	25	33.4094	375.30	125159298	-2.3566	15.4658	15.5870
X	46322318	46325920	9	33.3045	3.60	46323696	-2.0960	14.0520	17.1565
X	9251807	9296787	16	31.6171	44.98	9296524	-2.2497	14.9170	14.4504
X	5444732	5448257	16	31.1180	3.52	5444996	-2.1414	14.5252	14.4514
X	8667282	8668357	3	30.9802	1.07	8667282	-2.2433	14.2325	14.5043
X	124364270	124605406	9	30.8152	241.14	124365384	-2.2742	14.1981	14.3429
X	119731434	119733083	4	27.2792	1.65	119731434	-2.2527	12.0933	12.9332
X	50650517	50656926	14	26.7288	6.41	50650517	-2.1550	12.1383	12.4355
X	35842391	35854939	16	26.6154	12.55	35844428	-2.2107	12.1695	12.2352
X	145808777	145878491	10	26.3129	69.71	145808868	-2.1796	11.9075	12.2258
X	7838294	7839108	4	26.2546	0.81	7838754	-2.1707	12.0094	12.0745
X	139227407	139567856	23	26.0107	340.45	139567772	-2.2128	11.8749	11.9230
X	41942304	41944973	7	24.7985	2.67	41942304	-2.1751	11.1970	11.4264
X	40940565	40941172	3	24.4637	0.61	40941029	-2.1618	11.0654	11.2365
X	17537057	17541082	3	24.2618	4.03	17537057	-2.1412	11.0615	11.0591
X	40272090	40286797	29	24.1907	14.71	40277937	-2.0866	10.9685	11.1356
X	68676786	69114616	14	23.9844	437.83	69109342	-2.1061	10.9728	10.9055
X	47082774	47083920	7	23.9017	1.15	47082804	-2.1418	10.8402	10.9197
X	53279948	53289728	21	23.6635	9.78	53284090	-2.1522	10.8815	10.6298
X	116010854	116345986	11	23.5555	335.13	116011950	-2.1324	10.6143	10.8088
X	146506735	146508052	6	22.9163	1.32	146507763	-2.1352	10.3305	10.4506
X	97853500	97853938	4	22.7044	0.44	97853938	-2.1311	10.3209	10.2524
X	99991933	99992066	2	22.1011	0.13	99991933	-2.1124	9.9890	9.9997
X	29586702	29589041	5	21.6526	2.34	29587431	-2.0559	9.7624	9.8343
X	115333212	115333481	2	20.9725	0.27	115333481	-2.0859	9.3822	9.5043
X	149252746	149253626	4	20.8154	0.88	149253626	-2.0907	9.3132	9.4116
X	100592263	100592263	1	20.6418	0.00	100592263	-2.1017	8.9207	9.6194
X	148708986	148715437	6	20.6169	6.45	148708986	-2.0635	9.3156	9.2378
X	6753002	6753002	1	20.5380	0.00	6753002	-2.0631	9.1505	9.3244
X	70445113	70445777	3	20.5203	0.66	70445777	-2.0884	9.1371	9.2948
X	150225042	150228456	5	20.3181	3.41	150226601	-2.0971	9.1032	9.1178
X	31240941	31242698	7	20.3098	1.76	31241569	-2.0768	9.0424	9.1906
X	37848101	37940604	9	20.2620	92.50	37940274	-2.0690	9.1217	9.0712
X	112401618	112615043	4	20.2599	213.43	112615041	-2.0680	9.0879	9.1040
X	126317814	126317878	2	19.5903	0.06	126317814	-2.0507	8.7467	8.7930
X	152813770	152813882	6	19.1861	0.11	152813776	-2.0207	8.6351	8.5303
X	136119349	136120442	2	18.5931	1.09	136120442	-2.0241	8.2650	8.3040
X	120270293	120271301	5	18.1098	1.01	120270364	-2.0197	8.0071	8.0830
X	95826738	95826738	1	17.1522	0.00	95826738	-2.0049	7.5056	7.6417
X	109785220	109785220	1	16.9201	0.00	109785220	-2.0225	7.3175	7.5801
