gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
MID1	ENSG00000101871	protein_coding	X	10445310	10833654	-	subject	contains_region	X	10772576	10795564	22988	29	5.09861
DMD	ENSG00000198947	protein_coding	X	31097677	33339609	-	subject	contains_region	X	31776214	31812610	36396	43	6.18644
ENSG00000250349	ENSG00000250349	protein_coding	X	37349330	38687674	+	subject	contains_region	X	38291789	38307335	15546	23	5.70614
RPGR	ENSG00000156313	protein_coding	X	38269163	38327544	-	subject	contains_region	X	38291789	38307335	15546	23	5.70614
OTC	ENSG00000036473	protein_coding	X	38352586	38421446	+	subject	flanking	X	38291789	38307335	15546	23	5.70614
EFNB1	ENSG00000090776	protein_coding	X	68829021	68842160	+	subject	flanking	X	68776672	68789221	12549	29	4.57493
ZCCHC13	ENSG00000187969	protein_coding	X	74304180	74305034	+	subject	overlapping	X	74264431	74286425	21994	39	4.80437
DACH2	ENSG00000126733	protein_coding	X	86148451	86832604	+	subject	flanking	X	86881685	86905897	24212	38	5.53445
ZMAT1	ENSG00000166432	protein_coding	X	101882288	101932031	-	subject	flanking	X	101968162	101995947	27785	24	4.84788
PGRMC1	ENSG00000101856	protein_coding	X	119236245	119244466	+	subject	flanking	X	119293215	119311028	17813	26	5.18209
NKAP	ENSG00000101882	protein_coding	X	119920672	119943751	-	subject	flanking	X	119976558	119996445	19887	21	5.97023
RHOXF1P3	ENSG00000282933	protein_coding	X	119942834	119992838	+	subject	overlapping	X	119976558	119996445	19887	21	5.97023
