GO_ID	Test_Count	Test_Total	Test_Frequency	Background_Count	Background_Total	Background_Frequency	Fold_Enrichment	P_value	Odds_Ratio	Genes_With_Term	FDR	GO_Name	GO_Category
GO:0016020	5	11	0.45454545454545453	5	11	0.45454545454545453	1.0	0.6650392950702548	1.0	FAAH2, GPC3, HTR2C, IL1RAPL2, TRPC5	0.7619047619047619	membrane	cellular_component
GO:0005515	5	11	0.45454545454545453	5	11	0.45454545454545453	1.0	0.6650392950702548	1.0	GPC3, HTR2C, KDM6A, NAP1L2, TRPC5	0.7619047619047619	protein binding	molecular_function
GO:0005634	4	11	0.36363636363636365	4	11	0.36363636363636365	1.0	0.6702786377708978	1.0	DACH2, KDM6A, NAP1L2, ZMAT1	0.7619047619047619	nucleus	cellular_component
GO:0005886	4	11	0.36363636363636365	4	11	0.36363636363636365	1.0	0.6702786377708978	1.0	GPC3, HTR2C, IL1RAPL2, TRPC5	0.7619047619047619	plasma membrane	cellular_component
GO:0046872	3	11	0.2727272727272727	3	11	0.2727272727272727	1.0	0.6824413976116761	1.0	KDM6A, TRPC5, ZMAT1	0.7619047619047619	metal ion binding	molecular_function
GO:0007165	2	11	0.18181818181818182	2	11	0.18181818181818182	1.0	0.706766917293233	1.0	HTR2C, IL1RAPL2	0.7619047619047619	signal transduction	biological_process
GO:0045666	2	11	0.18181818181818182	2	11	0.18181818181818182	1.0	0.706766917293233	1.0	NAP1L2, TRPC5	0.7619047619047619	positive regulation of neuron differentiation	biological_process
GO:0030425	2	11	0.18181818181818182	2	11	0.18181818181818182	1.0	0.706766917293233	1.0	HTR2C, TRPC5	0.7619047619047619	dendrite	cellular_component
GO:0003677	2	11	0.18181818181818182	2	11	0.18181818181818182	1.0	0.706766917293233	1.0	DACH2, ZMAT1	0.7619047619047619	DNA binding	molecular_function
GO:0030182	2	11	0.18181818181818182	2	11	0.18181818181818182	1.0	0.706766917293233	1.0	NAP1L2, TRPC5	0.7619047619047619	neuron differentiation	biological_process
GO:0000978	2	11	0.18181818181818182	2	11	0.18181818181818182	1.0	0.706766917293233	1.0	DACH2, KDM6A	0.7619047619047619	RNA polymerase II cis-regulatory region sequence-specific DNA binding	molecular_function
GO:0003779	2	11	0.18181818181818182	2	11	0.18181818181818182	1.0	0.706766917293233	1.0	DIAPH2, TRPC5	0.7619047619047619	actin binding	molecular_function
GO:0016787	2	11	0.18181818181818182	2	11	0.18181818181818182	1.0	0.706766917293233	1.0	FAAH2, IL1RAPL2	0.7619047619047619	hydrolase activity	molecular_function
GO:0007399	2	11	0.18181818181818182	2	11	0.18181818181818182	1.0	0.706766917293233	1.0	IL1RAPL2, TRPC5	0.7619047619047619	nervous system development	biological_process
GO:0009986	2	11	0.18181818181818182	2	11	0.18181818181818182	1.0	0.706766917293233	1.0	GPC3, IL1RAPL2	0.7619047619047619	cell surface	cellular_component
GO:0003676	2	11	0.18181818181818182	2	11	0.18181818181818182	1.0	0.706766917293233	1.0	NCBP2L, ZMAT1	0.7619047619047619	nucleic acid binding	molecular_function
GO:0005667	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	DACH2	0.7619047619047619	transcription regulator complex	cellular_component
GO:0060976	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	coronary vasculature development	biological_process
GO:0072138	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	mesenchymal cell proliferation involved in ureteric bud development	biological_process
GO:0060422	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	peptidyl-dipeptidase inhibitor activity	molecular_function
GO:0045879	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	negative regulation of smoothened signaling pathway	biological_process
GO:0030594	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	HTR2C	0.7619047619047619	neurotransmitter receptor activity	molecular_function
GO:0035034	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	NAP1L2	0.7619047619047619	histone acetyltransferase regulator activity	molecular_function
GO:0004930	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	HTR2C	0.7619047619047619	G protein-coupled receptor activity	molecular_function
GO:0045773	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	TRPC5	0.7619047619047619	positive regulation of axon extension	biological_process
GO:0005216	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	TRPC5	0.7619047619047619	monoatomic ion channel activity	molecular_function
GO:2000035	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	NAP1L2	0.7619047619047619	regulation of stem cell division	biological_process
GO:0060071	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	Wnt signaling pathway, planar cell polarity pathway	biological_process
GO:0000339	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	NCBP2L	0.7619047619047619	RNA cap binding	molecular_function
GO:0034703	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	TRPC5	0.7619047619047619	cation channel complex	cellular_component
GO:0030276	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	TRPC5	0.7619047619047619	clathrin binding	molecular_function
GO:0003682	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	NAP1L2	0.7619047619047619	chromatin binding	molecular_function
GO:0051402	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	TRPC5	0.7619047619047619	neuron apoptotic process	biological_process
GO:0006874	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	HTR2C	0.7619047619047619	intracellular calcium ion homeostasis	biological_process
GO:0006811	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	TRPC5	0.7619047619047619	monoatomic ion transport	biological_process
GO:0016042	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	FAAH2	0.7619047619047619	lipid catabolic process	biological_process
GO:0050673	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	epithelial cell proliferation	biological_process
GO:0042805	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	TRPC5	0.7619047619047619	actinin binding	molecular_function
GO:0050774	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	TRPC5	0.7619047619047619	negative regulation of dendrite morphogenesis	biological_process
GO:0035116	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	embryonic hindlimb morphogenesis	biological_process
GO:0007204	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	TRPC5	0.7619047619047619	positive regulation of cytosolic calcium ion concentration	biological_process
GO:0045807	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	positive regulation of endocytosis	biological_process
GO:0005884	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	DIAPH2	0.7619047619047619	actin filament	cellular_component
GO:0031644	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	HTR2C	0.7619047619047619	regulation of nervous system process	biological_process
GO:0006338	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	KDM6A	0.7619047619047619	chromatin remodeling	biological_process
GO:0009966	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	regulation of signal transduction	biological_process
GO:0016477	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	cell migration	biological_process
GO:0030036	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	DIAPH2	0.7619047619047619	actin cytoskeleton organization	biological_process
GO:0005654	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	KDM6A	0.7619047619047619	nucleoplasm	cellular_component
GO:0001822	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	kidney development	biological_process
GO:0030154	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	DIAPH2	0.7619047619047619	cell differentiation	biological_process
GO:0030316	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	osteoclast differentiation	biological_process
GO:0007268	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	HTR2C	0.7619047619047619	chemical synaptic transmission	biological_process
GO:0031490	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	KDM6A	0.7619047619047619	chromatin DNA binding	molecular_function
GO:0060070	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	canonical Wnt signaling pathway	biological_process
GO:0005768	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	DIAPH2	0.7619047619047619	endosome	cellular_component
GO:0001658	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	branching involved in ureteric bud morphogenesis	biological_process
GO:0003723	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	NCBP2L	0.7619047619047619	RNA binding	molecular_function
GO:2000050	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	regulation of non-canonical Wnt signaling pathway	biological_process
GO:0004908	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	IL1RAPL2	0.7619047619047619	interleukin-1 receptor activity	molecular_function
GO:0045880	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	positive regulation of smoothened signaling pathway	biological_process
GO:1905606	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	IL1RAPL2	0.7619047619047619	regulation of presynapse assembly	biological_process
GO:0005783	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	DIAPH2	0.7619047619047619	endoplasmic reticulum	cellular_component
GO:0070374	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	HTR2C	0.7619047619047619	positive regulation of ERK1 and ERK2 cascade	biological_process
GO:0051117	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	TRPC5	0.7619047619047619	ATPase binding	molecular_function
GO:0050680	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	negative regulation of epithelial cell proliferation	biological_process
GO:0005811	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	FAAH2	0.7619047619047619	lipid droplet	cellular_component
GO:0030324	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	lung development	biological_process
GO:0005829	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	DIAPH2	0.7619047619047619	cytosol	cellular_component
GO:0035097	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	KDM6A	0.7619047619047619	histone methyltransferase complex	cellular_component
GO:0001662	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	HTR2C	0.7619047619047619	behavioral fear response	biological_process
GO:0009948	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	anterior/posterior axis specification	biological_process
GO:0030282	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	bone mineralization	biological_process
GO:0000398	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	NCBP2L	0.7619047619047619	mRNA splicing, via spliceosome	biological_process
GO:0005730	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	DIAPH2	0.7619047619047619	nucleolus	cellular_component
GO:0000981	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	DACH2	0.7619047619047619	DNA-binding transcription factor activity, RNA polymerase II-specific	molecular_function
GO:0015279	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	TRPC5	0.7619047619047619	store-operated calcium channel activity	molecular_function
GO:0030426	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	TRPC5	0.7619047619047619	growth cone	cellular_component
GO:0051209	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	HTR2C	0.7619047619047619	release of sequestered calcium ion into cytosol	biological_process
GO:0017064	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	FAAH2	0.7619047619047619	fatty acid amide hydrolase activity	molecular_function
GO:0019221	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	IL1RAPL2	0.7619047619047619	cytokine-mediated signaling pathway	biological_process
GO:0030041	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	DIAPH2	0.7619047619047619	actin filament polymerization	biological_process
GO:0042802	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	HTR2C	0.7619047619047619	identical protein binding	molecular_function
GO:0016491	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	KDM6A	0.7619047619047619	oxidoreductase activity	molecular_function
GO:0070782	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	TRPC5	0.7619047619047619	phosphatidylserine exposure on apoptotic cell surface	biological_process
GO:0019369	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	FAAH2	0.7619047619047619	arachidonate metabolic process	biological_process
GO:0005764	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	lysosome	cellular_component
GO:0071558	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	KDM6A	0.7619047619047619	histone H3K27me2/H3K27me3 demethylase activity	molecular_function
GO:0010171	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	body morphogenesis	biological_process
GO:0098978	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	IL1RAPL2	0.7619047619047619	glutamatergic synapse	cellular_component
GO:0045926	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	negative regulation of growth	biological_process
GO:0004910	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	IL1RAPL2	0.7619047619047619	interleukin-1, type II, blocking receptor activity	molecular_function
GO:0045292	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	NCBP2L	0.7619047619047619	mRNA cis splicing, via spliceosome	biological_process
GO:0055085	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	TRPC5	0.7619047619047619	transmembrane transport	biological_process
GO:0099589	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	HTR2C	0.7619047619047619	serotonin receptor activity	molecular_function
GO:0007200	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	HTR2C	0.7619047619047619	phospholipase C-activating G protein-coupled receptor signaling pathway	biological_process
GO:0005846	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	NCBP2L	0.7619047619047619	nuclear cap binding complex	cellular_component
GO:0005769	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	DIAPH2	0.7619047619047619	early endosome	cellular_component
GO:0050850	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	HTR2C	0.7619047619047619	positive regulation of calcium-mediated signaling	biological_process
GO:1905475	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	regulation of protein localization to membrane	biological_process
GO:2000096	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	positive regulation of Wnt signaling pathway, planar cell polarity pathway	biological_process
GO:0045600	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	HTR2C	0.7619047619047619	positive regulation of fat cell differentiation	biological_process
GO:0000785	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	NAP1L2	0.7619047619047619	chromatin	cellular_component
GO:0008270	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	ZMAT1	0.7619047619047619	zinc ion binding	molecular_function
GO:0007224	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	smoothened signaling pathway	biological_process
GO:0007210	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	HTR2C	0.7619047619047619	serotonin receptor signaling pathway	biological_process
GO:0072203	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	cell proliferation involved in metanephros development	biological_process
GO:0032452	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	KDM6A	0.7619047619047619	histone demethylase activity	molecular_function
GO:0030414	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	peptidase inhibitor activity	molecular_function
GO:0004993	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	HTR2C	0.7619047619047619	G protein-coupled serotonin receptor activity	molecular_function
GO:0006816	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	TRPC5	0.7619047619047619	calcium ion transport	biological_process
GO:0004896	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	IL1RAPL2	0.7619047619047619	cytokine receptor activity	molecular_function
GO:0043202	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	lysosomal lumen	cellular_component
GO:0006334	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	NAP1L2	0.7619047619047619	nucleosome assembly	biological_process
GO:0042074	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	GPC3	0.7619047619047619	cell migration involved in gastrulation	biological_process
GO:0046545	1	11	0.09090909090909091	1	11	0.09090909090909091	1.0	0.7619047619047619	1.0	DACH2	0.7619047619047619	development of primary female sexual characteristics	biological_process
