GO_ID	GO_Name	GO_Category	Enrichment	p_uncorrected	p_fdr_bh	Study_Count	Study_Total	Pop_Count	Pop_Total	Study_Genes	Depth
GO:0035034	histone acetyltransferase regulator activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	NAP1L2	3
GO:1903580	positive regulation of ATP metabolic process	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TAFAZZIN	10
GO:1902630	regulation of membrane hyperpolarization	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TRPC5	4
GO:0050850	positive regulation of calcium-mediated signaling	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	HTR2C	8
GO:0005343	organic acid:sodium symporter activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	SLC10A3	8
GO:0140375	immune receptor activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	IL1RAPL2	3
GO:0015294	solute:monoatomic cation symporter activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	SLC10A3	6
GO:0004518	nuclease activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	DNASE1L1	3
GO:0071617	lysophospholipid acyltransferase activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TAFAZZIN	5
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FAM3A	8
GO:0061134	peptidase regulator activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GPC3	3
GO:0060590	ATPase regulator activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	ATP6AP1	2
GO:0004520	DNA endonuclease activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	DNASE1L1	5
GO:0000339	RNA cap binding	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	NCBP2L	4
GO:0008508	bile acid:sodium symporter activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	SLC10A3	10
GO:0047184	1-acylglycerophosphocholine O-acyltransferase activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TAFAZZIN	6
GO:0005093	Rab GDP-dissociation inhibitor activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GDI1	6
GO:0016746	acyltransferase activity	MF	e	0.04063830964894204	0.8173913043478261	3	28	7	230	MID2,TAFAZZIN,UBL4A	3
GO:0072078	nephron tubule morphogenesis	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GPC3	7
GO:1903578	regulation of ATP metabolic process	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TAFAZZIN	9
GO:0048388	endosomal lumen acidification	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	ATP6AP1	9
GO:1900542	regulation of purine nucleotide metabolic process	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TAFAZZIN	8
GO:0048754	branching morphogenesis of an epithelial tube	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GPC3	6
GO:0048525	negative regulation of viral process	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	MID2	4
GO:0015718	monocarboxylic acid transport	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	SLC10A3	6
GO:0070232	regulation of T cell apoptotic process	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TSC22D3	8
GO:0030326	embryonic limb morphogenesis	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GPC3	5
GO:0030072	peptide hormone secretion	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FAM3A	8
GO:0071824	protein-DNA complex organization	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	NAP1L2	5
GO:0061795	Golgi lumen acidification	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	ATP6AP1	9
GO:0032897	negative regulation of viral transcription	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	MID2	5
GO:2000107	negative regulation of leukocyte apoptotic process	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TSC22D3	7
