Gene	GO_ID	GO_Name	GO_Category	Functional_Categories
DACH2	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	molecular_function	other
DACH2	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	molecular_function	other
DACH2	GO:0003677	DNA binding	molecular_function	other
DACH2	GO:0005634	nucleus	cellular_component	other
DACH2	GO:0005667	transcription regulator complex	cellular_component	other
DACH2	GO:0006357	regulation of transcription by RNA polymerase II	biological_process	other
DACH2	GO:0046545	development of primary female sexual characteristics	biological_process	development
DIAPH2	GO:0003779	actin binding	molecular_function	other
DIAPH2	GO:0005102	signaling receptor binding	molecular_function	other
DIAPH2	GO:0005730	nucleolus	cellular_component	other
DIAPH2	GO:0005737	cytoplasm	cellular_component	other
DIAPH2	GO:0005768	endosome	cellular_component	other
DIAPH2	GO:0005769	early endosome	cellular_component	other
DIAPH2	GO:0005783	endoplasmic reticulum	cellular_component	other
DIAPH2	GO:0005829	cytosol	cellular_component	other
DIAPH2	GO:0005884	actin filament	cellular_component	other
DIAPH2	GO:0007292	female gamete generation	biological_process	reproduction
DIAPH2	GO:0030036	actin cytoskeleton organization	biological_process	other
DIAPH2	GO:0030041	actin filament polymerization	biological_process	other
DIAPH2	GO:0030154	cell differentiation	biological_process	development
DIAPH2	GO:0031267	small GTPase binding	molecular_function	other
DIAPH2	GO:0048477	oogenesis	biological_process	reproduction
FAAH2	GO:0005811	lipid droplet	cellular_component	other
FAAH2	GO:0006629	lipid metabolic process	biological_process	other
FAAH2	GO:0016020	membrane	cellular_component	other
FAAH2	GO:0016042	lipid catabolic process	biological_process	other
FAAH2	GO:0016787	hydrolase activity	molecular_function	other
FAAH2	GO:0017064	fatty acid amide hydrolase activity	molecular_function	other
FAAH2	GO:0019369	arachidonate metabolic process	biological_process	other
GPC3	GO:0001658	branching involved in ureteric bud morphogenesis	biological_process	development
GPC3	GO:0001822	kidney development	biological_process	development
GPC3	GO:0005515	protein binding	molecular_function	other
GPC3	GO:0005764	lysosome	cellular_component	other
GPC3	GO:0005788	endoplasmic reticulum lumen	cellular_component	other
GPC3	GO:0005796	Golgi lumen	cellular_component	other
GPC3	GO:0005886	plasma membrane	cellular_component	other
GPC3	GO:0007224	smoothened signaling pathway	biological_process	other
GPC3	GO:0008285	negative regulation of cell population proliferation	biological_process	other
GPC3	GO:0009617	response to bacterium	biological_process	other
GPC3	GO:0009653	anatomical structure morphogenesis	biological_process	development
GPC3	GO:0009887	animal organ morphogenesis	biological_process	development
GPC3	GO:0009948	anterior/posterior axis specification	biological_process	development
GPC3	GO:0009966	regulation of signal transduction	biological_process	other
GPC3	GO:0009986	cell surface	cellular_component	other
GPC3	GO:0010171	body morphogenesis	biological_process	development
GPC3	GO:0016020	membrane	cellular_component	other
GPC3	GO:0016477	cell migration	biological_process	other
GPC3	GO:0030282	bone mineralization	biological_process	other
GPC3	GO:0030316	osteoclast differentiation	biological_process	development
GPC3	GO:0030324	lung development	biological_process	development
GPC3	GO:0030414	peptidase inhibitor activity	molecular_function	other
GPC3	GO:0030513	positive regulation of BMP signaling pathway	biological_process	other
GPC3	GO:0035116	embryonic hindlimb morphogenesis	biological_process	development
GPC3	GO:0040008	regulation of growth	biological_process	other
GPC3	GO:0042074	cell migration involved in gastrulation	biological_process	other
