Gene	GO_ID	GO_Name	GO_Category	Evidence	In_X_Selection	In_All_X
ABCB7	GO:0000166	nucleotide binding	Function	IEA	True	True
ABCB7	GO:0005515	protein binding	Function	IPI	True	True
ABCB7	GO:0005524	ATP binding	Function	IEA	True	True
ABCB7	GO:0005524	ATP binding	Function	TAS	True	True
ABCB7	GO:0005739	mitochondrion	Component	HTP	True	True
ABCB7	GO:0005739	mitochondrion	Component	IDA	True	True
ABCB7	GO:0005739	mitochondrion	Component	IEA	True	True
ABCB7	GO:0005743	mitochondrial inner membrane	Component	IBA	True	True
ABCB7	GO:0005743	mitochondrial inner membrane	Component	IDA	True	True
ABCB7	GO:0005743	mitochondrial inner membrane	Component	IEA	True	True
ABCB7	GO:0005743	mitochondrial inner membrane	Component	TAS	True	True
ABCB7	GO:0006879	intracellular iron ion homeostasis	Process	IBA	True	True
ABCB7	GO:0006879	intracellular iron ion homeostasis	Process	IEA	True	True
ABCB7	GO:0006879	intracellular iron ion homeostasis	Process	IEA	True	True
ABCB7	GO:0006879	intracellular iron ion homeostasis	Process	IMP	True	True
ABCB7	GO:0006879	intracellular iron ion homeostasis	Process	ISS	True	True
ABCB7	GO:0015232	heme transmembrane transporter activity	Function	IEA	True	True
ABCB7	GO:0015232	heme transmembrane transporter activity	Function	TAS	True	True
ABCB7	GO:0015886	heme transport	Process	IEA	True	True
ABCB7	GO:0016020	membrane	Component	IEA	True	True
ABCB7	GO:0016226	iron-sulfur cluster assembly	Process	IEA	True	True
ABCB7	GO:0016226	iron-sulfur cluster assembly	Process	ISS	True	True
ABCB7	GO:0016887	ATP hydrolysis activity	Function	IEA	True	True
ABCB7	GO:0034755	iron ion transmembrane transport	Process	IDA	True	True
ABCB7	GO:0034755	iron ion transmembrane transport	Process	IEA	True	True
ABCB7	GO:0042626	ATPase-coupled transmembrane transporter activity	Function	IBA	True	True
ABCB7	GO:0042626	ATPase-coupled transmembrane transporter activity	Function	TAS	True	True
ABCB7	GO:0042802	identical protein binding	Function	IPI	True	True
ABCB7	GO:0042803	protein homodimerization activity	Function	IDA	True	True
ABCB7	GO:0055085	transmembrane transport	Process	IBA	True	True
ABCB7	GO:0055085	transmembrane transport	Process	IEA	True	True
ABCB7	GO:0070455	positive regulation of heme biosynthetic process	Process	IEA	True	True
ABCB7	GO:0070455	positive regulation of heme biosynthetic process	Process	IMP	True	True
ABCB7	GO:0070455	positive regulation of heme biosynthetic process	Process	ISS	True	True
ABCB7	GO:0140359	ABC-type transporter activity	Function	IEA	True	True
ABCB7	GO:0140466	iron-sulfur cluster export from the mitochondrion	Process	IMP	True	True
ABCB7	GO:0140481	ABC-type iron-sulfur cluster transporter activity	Function	IMP	True	True
ABCB7	GO:1903331	positive regulation of iron-sulfur cluster assembly	Process	IEA	True	True
ABCB7	GO:1903331	positive regulation of iron-sulfur cluster assembly	Process	IMP	True	True
ABCB7	GO:1903331	positive regulation of iron-sulfur cluster assembly	Process	ISS	True	True
ABCB7	GO:1903427	negative regulation of reactive oxygen species biosynthetic process	Process	ISS	True	True
AGTR2	GO:0001974	blood vessel remodeling	Process	TAS	True	True
AGTR2	GO:0001991	regulation of systemic arterial blood pressure by circulatory renin-angiotensin	Process	IEA	True	True
AGTR2	GO:0001991	regulation of systemic arterial blood pressure by circulatory renin-angiotensin	Process	ISS	True	True
