gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
ENSG00000285756	ENSG00000285756	lncRNA	X	3817528	3937855	-	subject	flanking	X	3981896	4000751	18855	42	8.10382
RPL24P9	ENSG00000225722	processed_pseudogene	X	3953056	3953561	+	subject	overlapping	X	3981896	4000751	18855	42	8.10382
MTND6P12	ENSG00000235039	processed_pseudogene	X	5168918	5169439	-	subject	overlapping	X	5117087	5151917	34830	65	5.46867
MTCYBP12	ENSG00000226313	processed_pseudogene	X	5169512	5170645	+	subject	overlapping	X	5117087	5151917	34830	65	5.46867
MID1	ENSG00000101871	protein_coding	X	10445310	10833654	-	subject	contains_region	X	10780114	10798717	18603	45	5.85962
HCCS-DT	ENSG00000234129	lncRNA	X	10847578	11111220	-	subject	flanking	X	10780114	10798717	18603	45	5.85962
ENSG00000233403	ENSG00000233403	lncRNA	X	25878339	25893544	+	subject	overlapping	X	25861295	25875889	14594	21	6.49922
DMD	ENSG00000198947	protein_coding	X	31097677	33339609	-	subject	contains_region	X	31766873	31797785	30912	38	5.29814
ENSG00000286475	ENSG00000286475	lncRNA	X	36678678	36866689	-	subject	flanking	X	36599928	36641498	41570	78	5.70172
TEX11	ENSG00000120498	protein_coding	X	70528940	70908711	-	subject	contains_region	X	70568314	70579332	11018	22	4.88568
ENSG00000271457	ENSG00000271457	processed_pseudogene	X	87143854	87144748	-	subject	overlapping	X	87150701	87193156	42455	44	6.53573
ENSG00000200422	ENSG00000200422	snoRNA	X	87146733	87146804	+	subject	overlapping	X	87150701	87193156	42455	44	6.53573
ENSG00000230478	ENSG00000230478	processed_pseudogene	X	87425583	87425690	-	subject	overlapping	X	87428483	87441780	13297	30	6.0711
UBE2V1P9	ENSG00000229667	processed_pseudogene	X	90289536	90289903	-	subject	contained	X	90268807	90301243	32436	49	5.2285
DLGAP5P2	ENSG00000237873	processed_pseudogene	X	93042490	93042942	+	subject	contained	X	93040425	93059610	19185	36	6.08792
RPL7P55	ENSG00000228301	processed_pseudogene	X	93573834	93574579	+	subject	overlapping	X	93507314	93530200	22886	42	7.14755
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117350401	117366230	15829	42	6.17506
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117350401	117366230	15829	42	6.17506
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117425882	117452145	26263	52	5.01323
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117425882	117452145	26263	52	5.01323
ENSG00000288098	ENSG00000288098	lncRNA	X	141934496	142740581	+	subject	flanking	X	142749146	142762452	13306	21	5.20341
RNA5SP517	ENSG00000201594	rRNA_pseudogene	X	146427456	146427572	-	subject	overlapping	X	146476579	146489384	12805	41	4.53276
ENSG00000234748	ENSG00000234748	processed_pseudogene	X	146537535	146538048	+	subject	overlapping	X	146476579	146489384	12805	41	4.53276
