chr	start	end	n_variants	max_xpehh	length_kb
X	155703850	155704650	12	-116.16	0.8
X	21758593	24027626	2642	31.045	2269.033
X	7822694	10214520	4949	29.2289	2391.826
X	11687501	14175058	2196	28.0804	2487.557
X	139123827	145930584	11086	27.0595	6806.757
X	122382601	125552290	3527	25.4986	3169.689
X	43751114	45660876	1899	25.1173	1909.762
X	146460507	153300163	7752	24.5613	6839.656
X	31988787	33728187	2009	21.8307	1739.4
X	37591800	43088391	6481	19.2701	5496.591
X	88430881	88985461	680	17.8159	554.58
X	46251931	46347923	1542	17.5262	95.992
X	4654738	6768053	1444	17.3038	2113.315
X	49636364	50939347	2123	13.1932	1302.983
X	119153192	121196223	1371	12.8152	2043.031
X	35560117	35878991	801	12.1695	318.874
X	16243262	18025695	526	12.1508	1782.433
X	97093207	97922097	1579	12.1332	828.89
X	53071408	53323933	1027	11.2684	252.525
X	113980144	116835634	2133	11.0042	2855.49
X	68184436	69235859	3140	10.9728	1051.423
X	47061200	48474503	875	10.8402	1413.303
X	96539613	96583961	343	10.8259	44.348
X	99969661	101322551	1028	9.98897	1352.89
X	29196695	31404302	1334	9.95315	2207.607
X	109373824	112839861	5289	9.75626	3466.037
X	69959013	70459357	315	9.70722	500.344
X	95731002	95974643	432	9.4544	243.641
X	117751760	118472066	1057	8.978	720.306
X	126314969	126320242	72	8.74947	5.273
X	136110777	136528693	504	8.26499	417.916
X	18670636	19491436	2955	7.8592	820.8
X	94965545	94985800	113	7.54435	20.255
X	71218957	72388595	749	7.32986	1169.638
X	36411202	36588697	275	6.35935	177.495
X	131080163	131645549	208	5.9839	565.386
X	133164902	133431727	119	5.90772	266.825
X	135468448	135477744	149	5.90752	9.296
X	134523485	134932569	550	5.84506	409.084
X	92317231	94433689	501	5.75407	2116.458
X	53876297	53889451	172	5.56363	13.154
X	128609790	129998587	657	5.47526	1388.797
X	20305203	20608407	898	5.32908	303.204
X	3693086	3710386	206	5.07244	17.3
X	85847900	85853988	84	5.0578	6.088
X	86845472	87697714	319	4.98738	852.242
X	25754247	26072220	129	4.78598	317.973
X	34427835	35002249	95	4.69683	574.414
X	98832723	99203572	113	4.56276	370.849
X	137093208	137301148	348	4.30799	207.94
X	28547175	28669127	37	4.17011	121.952
X	137991861	137993906	45	4.06275	2.045
X	90041140	90769277	767	4.02407	728.137
X	27086968	27087778	38	3.65649	0.81
X	84877889	84888655	104	3.46967	10.766
X	55015953	55029860	131	3.36546	13.907
X	27999695	28016469	219	3.35127	16.774
X	103736165	103823293	81	3.3125	87.128
X	24997192	25003986	85	2.92278	6.794
X	80931159	81280782	85	2.87804	349.623
X	83478917	83486311	115	2.81509	7.394
X	74428119	74430577	58	2.62748	2.458
X	91749011	91749457	12	2.48722	0.446
X	54429936	54432796	35	2.42607	2.86
X	78592711	78593117	3	2.0112	0.406
