gene_name	n_subpopulations	total_subpopulations	proportion	signal_breadth	subpopulations
DMD	3	4	0.75	broad	CLM,MXL,PUR
USP9X	3	4	0.75	broad	CLM,MXL,PUR
EDA	2	4	0.5	broad	CLM,MXL
KDM6A	2	4	0.5	broad	CLM,MXL
ZFX	2	4	0.5	broad	CLM,PUR
ABCB7	1	4	0.25	narrow	MXL
ADGRG4	1	4	0.25	narrow	MXL
ARHGEF9	1	4	0.25	narrow	MXL
ATP11C	1	4	0.25	narrow	MXL
ATP6AP1	1	4	0.25	narrow	MXL
BEX2	1	4	0.25	narrow	PEL
BRWD3	1	4	0.25	narrow	MXL
DACH2	1	4	0.25	narrow	PUR
DIAPH2	1	4	0.25	narrow	MXL
DIPK2B	1	4	0.25	narrow	MXL
DNASE1L1	1	4	0.25	narrow	MXL
EMD	1	4	0.25	narrow	MXL
ENOX2	1	4	0.25	narrow	MXL
ENSG00000250349	1	4	0.25	narrow	MXL
F9	1	4	0.25	narrow	CLM
FAAH2	1	4	0.25	narrow	MXL
FAM47A	1	4	0.25	narrow	MXL
FAM50A	1	4	0.25	narrow	MXL
GDI1	1	4	0.25	narrow	MXL
GPC3	1	4	0.25	narrow	MXL
GRIPAP1	1	4	0.25	narrow	MXL
IL1RAPL1	1	4	0.25	narrow	CLM
IL1RAPL2	1	4	0.25	narrow	MXL
KCND1	1	4	0.25	narrow	MXL
LAGE3	1	4	0.25	narrow	MXL
LPAR4	1	4	0.25	narrow	MXL
MAGEA1	1	4	0.25	narrow	MXL
MAGED1	1	4	0.25	narrow	MXL
MID1	1	4	0.25	narrow	MXL
MID2	1	4	0.25	narrow	MXL
NAP1L2	1	4	0.25	narrow	MXL
NCBP2L	1	4	0.25	narrow	MXL
OTUD5	1	4	0.25	narrow	MXL
P2RY10	1	4	0.25	narrow	MXL
PGRMC1	1	4	0.25	narrow	PEL
PIM2	1	4	0.25	narrow	MXL
PLXNA3	1	4	0.25	narrow	MXL
PQBP1	1	4	0.25	narrow	MXL
PRRG1	1	4	0.25	narrow	MXL
PUDP	1	4	0.25	narrow	MXL
RADX	1	4	0.25	narrow	MXL
RNF128	1	4	0.25	narrow	MXL
RPL10	1	4	0.25	narrow	MXL
RRAGB	1	4	0.25	narrow	MXL
RTL3	1	4	0.25	narrow	MXL
SLC10A3	1	4	0.25	narrow	MXL
SLC35A2	1	4	0.25	narrow	MXL
STS	1	4	0.25	narrow	MXL
TAFAZZIN	1	4	0.25	narrow	MXL
TCEAL5	1	4	0.25	narrow	PEL
TCEAL7	1	4	0.25	narrow	PEL
TCEAL8	1	4	0.25	narrow	PEL
TIMM17B	1	4	0.25	narrow	MXL
TSC22D3	1	4	0.25	narrow	MXL
UBL4A	1	4	0.25	narrow	MXL
