gene_name	category	pattern	in_AFR	in_SAS	AFR_n_subpops	AFR_total_subpops	AFR_proportion	AFR_subpops	SAS_n_subpops	SAS_total_subpops	SAS_proportion	SAS_subpops
ACOT9	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
AGTR2	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
APOO	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
CLDN34	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
CPXCR1	AFR_specific	narrow	1	0	3	7	0.42857142857142855	ESN,GWD,YRI	0	5	0.0	
CYBB	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
DACH2	AFR_specific	narrow	1	0	1	7	0.14285714285714285	MSL	0	5	0.0	
EFNB1	AFR_specific	narrow	1	0	1	7	0.14285714285714285	MSL	0	5	0.0	
ENSG00000288706	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
FGF13	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
GK	AFR_specific	narrow	1	0	1	7	0.14285714285714285	LWK	0	5	0.0	
GPR143	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
HTR2C	AFR_specific	narrow	1	0	1	7	0.14285714285714285	GWD	0	5	0.0	
IQSEC2	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
LHFPL1	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
MAGEB16	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
MID1	AFR_specific	narrow	1	0	3	7	0.42857142857142855	ACB,ESN,MSL	0	5	0.0	
NKAP	AFR_specific	narrow	1	0	1	7	0.14285714285714285	MSL	0	5	0.0	
PGRMC1	AFR_specific	narrow	1	0	3	7	0.42857142857142855	ACB,ESN,MSL	0	5	0.0	
PRDX4	AFR_specific	narrow	1	0	2	7	0.2857142857142857	GWD,YRI	0	5	0.0	
PUDP	AFR_specific	narrow	1	0	1	7	0.14285714285714285	YRI	0	5	0.0	
RHOXF1P3	AFR_specific	narrow	1	0	1	7	0.14285714285714285	MSL	0	5	0.0	
RPL39	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
RRAGB	AFR_specific	narrow	1	0	1	7	0.14285714285714285	LWK	0	5	0.0	
SAT1	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
SEPTIN6	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
SHROOM2	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
SHROOM4	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
SOWAHD	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
SPANXD	AFR_specific	narrow	1	0	1	7	0.14285714285714285	YRI	0	5	0.0	
SPRY3	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
STS	AFR_specific	narrow	1	0	2	7	0.2857142857142857	ESN,YRI	0	5	0.0	
TENM1	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
TEX11	AFR_specific	narrow	1	0	2	7	0.2857142857142857	ESN,YRI	0	5	0.0	
TMLHE	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
ZCCHC13	AFR_specific	narrow	1	0	1	7	0.14285714285714285	MSL	0	5	0.0	
ZMAT1	AFR_specific	narrow	1	0	1	7	0.14285714285714285	MSL	0	5	0.0	
AFF2	SAS_specific	narrow	0	1	0	7	0.0		1	5	0.2	STU
FAM47A	SAS_specific	narrow	0	1	0	7	0.0		1	5	0.2	BEB
NXT2	shared	broad-broad	1	1	4	7	0.5714285714285714	ACB,ESN,GWD,YRI	4	5	0.8	BEB,ITU,PJL,STU
DMD	shared	broad-narrow	1	1	4	7	0.5714285714285714	ACB,GWD,LWK,MSL	2	5	0.4	ITU,STU
ENSG00000250349	shared	broad-narrow	1	1	4	7	0.5714285714285714	ASW,ESN,MSL,YRI	2	5	0.4	ITU,PJL
