gene_name	n_subpopulations	total_subpopulations	proportion	signal_breadth	subpopulations
ACSL4	4	5	0.8	broad	BEB,ITU,PJL,STU
KCNE5	4	5	0.8	broad	BEB,ITU,PJL,STU
NXT2	4	5	0.8	broad	BEB,ITU,PJL,STU
USP9X	3	5	0.6	broad	BEB,ITU,STU
DMD	2	5	0.4	narrow	ITU,STU
DYNLT3	2	5	0.4	narrow	ITU,PJL
ENSG00000250349	2	5	0.4	narrow	ITU,PJL
WDR44	2	5	0.4	narrow	BEB,ITU
AFF2	1	5	0.2	narrow	STU
CFAP47	1	5	0.2	narrow	PJL
CITED1	1	5	0.2	narrow	ITU
ENSG00000285547	1	5	0.2	narrow	ITU
FAM47A	1	5	0.2	narrow	BEB
FAM9B	1	5	0.2	narrow	PJL
HDAC8	1	5	0.2	narrow	ITU
NLGN4X	1	5	0.2	narrow	PJL
OTC	1	5	0.2	narrow	PJL
PCDH11X	1	5	0.2	narrow	ITU
PIN4	1	5	0.2	narrow	ITU
RPGR	1	5	0.2	narrow	PJL
RPS4X	1	5	0.2	narrow	ITU
RTL4	1	5	0.2	narrow	PJL
TDGF1P3	1	5	0.2	narrow	STU
TRPC5	1	5	0.2	narrow	PJL
ZFX	1	5	0.2	narrow	BEB
