gene_name	category	pattern	in_AFR	in_EAS	AFR_n_subpops	AFR_total_subpops	AFR_proportion	AFR_subpops	EAS_n_subpops	EAS_total_subpops	EAS_proportion	EAS_subpops
PCDH11X	AFR_specific	broad	1	0	4	7	0.5714285714285714	ACB,ASW,GWD,YRI	0	5	0.0	
ACOT9	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
AGTR2	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
APOO	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
CFAP47	AFR_specific	narrow	1	0	2	7	0.2857142857142857	ACB,ASW	0	5	0.0	
CITED1	AFR_specific	narrow	1	0	2	7	0.2857142857142857	ACB,YRI	0	5	0.0	
CLDN34	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
CYBB	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
DYNLT3	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
EFNB1	AFR_specific	narrow	1	0	1	7	0.14285714285714285	MSL	0	5	0.0	
ENSG00000285547	AFR_specific	narrow	1	0	2	7	0.2857142857142857	ACB,YRI	0	5	0.0	
ENSG00000288706	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
FGF13	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
GK	AFR_specific	narrow	1	0	1	7	0.14285714285714285	LWK	0	5	0.0	
GPR143	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
HDAC8	AFR_specific	narrow	1	0	2	7	0.2857142857142857	ACB,YRI	0	5	0.0	
HTR2C	AFR_specific	narrow	1	0	1	7	0.14285714285714285	GWD	0	5	0.0	
IQSEC2	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
LHFPL1	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
MAGEB16	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
NKAP	AFR_specific	narrow	1	0	1	7	0.14285714285714285	MSL	0	5	0.0	
PIN4	AFR_specific	narrow	1	0	2	7	0.2857142857142857	ACB,YRI	0	5	0.0	
PRDX4	AFR_specific	narrow	1	0	2	7	0.2857142857142857	GWD,YRI	0	5	0.0	
PUDP	AFR_specific	narrow	1	0	1	7	0.14285714285714285	YRI	0	5	0.0	
RHOXF1P3	AFR_specific	narrow	1	0	1	7	0.14285714285714285	MSL	0	5	0.0	
RPL39	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
RPS4X	AFR_specific	narrow	1	0	2	7	0.2857142857142857	ACB,YRI	0	5	0.0	
