gene_name	n_subpopulations	total_subpopulations	proportion	signal_breadth	subpopulations
DMD	4	7	0.5714285714285714	broad	ACB,GWD,LWK,MSL
ENSG00000250349	4	7	0.5714285714285714	broad	ASW,ESN,MSL,YRI
FAM9B	4	7	0.5714285714285714	broad	ACB,ESN,GWD,YRI
NXT2	4	7	0.5714285714285714	broad	ACB,ESN,GWD,YRI
PCDH11X	4	7	0.5714285714285714	broad	ACB,ASW,GWD,YRI
RTL4	4	7	0.5714285714285714	broad	ACB,ESN,GWD,YRI
TRPC5	4	7	0.5714285714285714	broad	ACB,ESN,GWD,YRI
CPXCR1	3	7	0.42857142857142855	narrow	ESN,GWD,YRI
MID1	3	7	0.42857142857142855	narrow	ACB,ESN,MSL
OTC	3	7	0.42857142857142855	narrow	ESN,MSL,YRI
PGRMC1	3	7	0.42857142857142855	narrow	ACB,ESN,MSL
RPGR	3	7	0.42857142857142855	narrow	ESN,MSL,YRI
ACSL4	2	7	0.2857142857142857	narrow	GWD,YRI
CFAP47	2	7	0.2857142857142857	narrow	ACB,ASW
CITED1	2	7	0.2857142857142857	narrow	ACB,YRI
ENSG00000285547	2	7	0.2857142857142857	narrow	ACB,YRI
HDAC8	2	7	0.2857142857142857	narrow	ACB,YRI
KCNE5	2	7	0.2857142857142857	narrow	GWD,YRI
PIN4	2	7	0.2857142857142857	narrow	ACB,YRI
PRDX4	2	7	0.2857142857142857	narrow	GWD,YRI
RPS4X	2	7	0.2857142857142857	narrow	ACB,YRI
STS	2	7	0.2857142857142857	narrow	ESN,YRI
TEX11	2	7	0.2857142857142857	narrow	ESN,YRI
ACOT9	1	7	0.14285714285714285	narrow	ASW
AGTR2	1	7	0.14285714285714285	narrow	ASW
APOO	1	7	0.14285714285714285	narrow	ASW
CLDN34	1	7	0.14285714285714285	narrow	ASW
CYBB	1	7	0.14285714285714285	narrow	ASW
DACH2	1	7	0.14285714285714285	narrow	MSL
DYNLT3	1	7	0.14285714285714285	narrow	ASW
EFNB1	1	7	0.14285714285714285	narrow	MSL
ENSG00000288706	1	7	0.14285714285714285	narrow	ASW
FGF13	1	7	0.14285714285714285	narrow	ASW
GK	1	7	0.14285714285714285	narrow	LWK
GPR143	1	7	0.14285714285714285	narrow	ASW
HTR2C	1	7	0.14285714285714285	narrow	GWD
IQSEC2	1	7	0.14285714285714285	narrow	ASW
LHFPL1	1	7	0.14285714285714285	narrow	ASW
MAGEB16	1	7	0.14285714285714285	narrow	ASW
NKAP	1	7	0.14285714285714285	narrow	MSL
NLGN4X	1	7	0.14285714285714285	narrow	GWD
PUDP	1	7	0.14285714285714285	narrow	YRI
RHOXF1P3	1	7	0.14285714285714285	narrow	MSL
RPL39	1	7	0.14285714285714285	narrow	ASW
RRAGB	1	7	0.14285714285714285	narrow	LWK
SAT1	1	7	0.14285714285714285	narrow	ASW
SEPTIN6	1	7	0.14285714285714285	narrow	ASW
SHROOM2	1	7	0.14285714285714285	narrow	ASW
SHROOM4	1	7	0.14285714285714285	narrow	ASW
SOWAHD	1	7	0.14285714285714285	narrow	ASW
SPANXD	1	7	0.14285714285714285	narrow	YRI
SPRY3	1	7	0.14285714285714285	narrow	ASW
TDGF1P3	1	7	0.14285714285714285	narrow	ESN
TENM1	1	7	0.14285714285714285	narrow	ASW
TMLHE	1	7	0.14285714285714285	narrow	ASW
USP9X	1	7	0.14285714285714285	narrow	LWK
WDR44	1	7	0.14285714285714285	narrow	ACB
ZCCHC13	1	7	0.14285714285714285	narrow	MSL
ZFX	1	7	0.14285714285714285	narrow	LWK
ZMAT1	1	7	0.14285714285714285	narrow	MSL
