continent_combination	n_continents	n_genes	genes
AFR,AMR,EAS,EUR	4	3	DACH2,MID1,STS
AFR,AMR,EAS,SAS	4	1	ENSG00000250349
AFR,AMR,EUR,SAS	4	1	ZFX
AFR,EAS,SAS	3	9	ACSL4,FAM9B,KCNE5,NLGN4X,NXT2,OTC,RPGR,RTL4,TRPC5
AFR,EUR,SAS	3	2	PCDH11X,WDR44
AMR,EAS,EUR	3	1	KDM6A
AFR,AMR,EAS	3	1	PGRMC1
AFR,SAS	2	8	CFAP47,CITED1,DYNLT3,ENSG00000285547,HDAC8,PIN4,RPS4X,TDGF1P3
AMR,EAS	2	3	DIAPH2,EDA,F9
AMR,EUR	2	3	MID2,NCBP2L,TSC22D3
AFR,AMR	2	2	PUDP,RRAGB
AFR,EAS	2	2	CPXCR1,TEX11
AMR,SAS	2	1	FAM47A
AFR,EUR	2	1	ZMAT1
