gene_name	category	pattern	in_AFR	in_AMR	AFR_n_subpops	AFR_total_subpops	AFR_proportion	AFR_subpops	AMR_n_subpops	AMR_total_subpops	AMR_proportion	AMR_subpops
FAM9B	AFR_specific	broad	1	0	4	7	0.5714285714285714	ACB,ESN,GWD,YRI	0	4	0.0	
NXT2	AFR_specific	broad	1	0	4	7	0.5714285714285714	ACB,ESN,GWD,YRI	0	4	0.0	
PCDH11X	AFR_specific	broad	1	0	4	7	0.5714285714285714	ACB,ASW,GWD,YRI	0	4	0.0	
RTL4	AFR_specific	broad	1	0	4	7	0.5714285714285714	ACB,ESN,GWD,YRI	0	4	0.0	
TRPC5	AFR_specific	broad	1	0	4	7	0.5714285714285714	ACB,ESN,GWD,YRI	0	4	0.0	
ACOT9	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
ACSL4	AFR_specific	narrow	1	0	2	7	0.2857142857142857	GWD,YRI	0	4	0.0	
AGTR2	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
APOO	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
CFAP47	AFR_specific	narrow	1	0	2	7	0.2857142857142857	ACB,ASW	0	4	0.0	
CITED1	AFR_specific	narrow	1	0	2	7	0.2857142857142857	ACB,YRI	0	4	0.0	
CLDN34	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
CPXCR1	AFR_specific	narrow	1	0	3	7	0.42857142857142855	ESN,GWD,YRI	0	4	0.0	
CYBB	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
DYNLT3	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
EFNB1	AFR_specific	narrow	1	0	1	7	0.14285714285714285	MSL	0	4	0.0	
ENSG00000285547	AFR_specific	narrow	1	0	2	7	0.2857142857142857	ACB,YRI	0	4	0.0	
ENSG00000288706	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
FGF13	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
GK	AFR_specific	narrow	1	0	1	7	0.14285714285714285	LWK	0	4	0.0	
GPR143	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
HDAC8	AFR_specific	narrow	1	0	2	7	0.2857142857142857	ACB,YRI	0	4	0.0	
HTR2C	AFR_specific	narrow	1	0	1	7	0.14285714285714285	GWD	0	4	0.0	
IQSEC2	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
KCNE5	AFR_specific	narrow	1	0	2	7	0.2857142857142857	GWD,YRI	0	4	0.0	
LHFPL1	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
MAGEB16	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
NKAP	AFR_specific	narrow	1	0	1	7	0.14285714285714285	MSL	0	4	0.0	
NLGN4X	AFR_specific	narrow	1	0	1	7	0.14285714285714285	GWD	0	4	0.0	
OTC	AFR_specific	narrow	1	0	3	7	0.42857142857142855	ESN,MSL,YRI	0	4	0.0	
PIN4	AFR_specific	narrow	1	0	2	7	0.2857142857142857	ACB,YRI	0	4	0.0	
PRDX4	AFR_specific	narrow	1	0	2	7	0.2857142857142857	GWD,YRI	0	4	0.0	
RHOXF1P3	AFR_specific	narrow	1	0	1	7	0.14285714285714285	MSL	0	4	0.0	
RPGR	AFR_specific	narrow	1	0	3	7	0.42857142857142855	ESN,MSL,YRI	0	4	0.0	
RPL39	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
RPS4X	AFR_specific	narrow	1	0	2	7	0.2857142857142857	ACB,YRI	0	4	0.0	
SAT1	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
SEPTIN6	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
SHROOM2	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
SHROOM4	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
SOWAHD	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
SPANXD	AFR_specific	narrow	1	0	1	7	0.14285714285714285	YRI	0	4	0.0	
SPRY3	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
TDGF1P3	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ESN	0	4	0.0	
TENM1	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
TEX11	AFR_specific	narrow	1	0	2	7	0.2857142857142857	ESN,YRI	0	4	0.0	
TMLHE	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	4	0.0	
WDR44	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ACB	0	4	0.0	
ZCCHC13	AFR_specific	narrow	1	0	1	7	0.14285714285714285	MSL	0	4	0.0	
ZMAT1	AFR_specific	narrow	1	0	1	7	0.14285714285714285	MSL	0	4	0.0	
