Gene	N_SNPs	Min_log10p	Max_log10p	Mean_log10p	Max_stdIHS	Has_Overlap	Min_Distance
FAAH2	3	7.621423339723566	7.869786082063964	7.786761536044582	5.67966	True	0
ZXDB	3	7.621423339723566	7.869786082063964	7.786761536044582	5.67966	False	88043
ALG13	2	6.234387412178066	7.632490456896207	6.933438934537136	5.58546	False	38523
TRPC5OS	2	6.234387412178066	7.632490456896207	6.933438934537136	5.58546	False	72271
TRPC5	2	6.234387412178066	7.632490456896207	6.933438934537136	5.58546	True	0
DIAPH2	2	6.380982783746871	7.215629587820831	6.798306185783851	5.41624	True	0
ZMAT1	2	6.187924037176147	7.202380565809979	6.695152301493064	5.41078	False	64804
EIF3JP1	6	6.390715055750533	7.082022041619744	6.666341251365034	5.36094	False	38922
LOC124900496	6	6.390715055750533	7.082022041619744	6.666341251365034	5.36094	False	20740
MIR448	4	6.530261782941072	6.66244077727647	6.580022660259986	5.18368	False	52858
LOC105373313	4	6.530261782941072	6.66244077727647	6.580022660259986	5.18368	False	62731
HTR2C	4	6.530261782941072	6.66244077727647	6.580022660259986	5.18368	True	0
IL1RAPL2	1	6.455639967094356	6.455639967094356	6.455639967094356	5.09419	True	0
NCBP2L	1	6.43006389788684	6.43006389788684	6.43006389788684	5.08302	True	0
MID2	1	6.43006389788684	6.43006389788684	6.43006389788684	5.08302	False	42910
TSC22D3	1	6.43006389788684	6.43006389788684	6.43006389788684	5.08302	False	6836
NAP1L2	2	6.078215525133976	6.360927070961929	6.219571298047953	5.05271	False	41495
GPC3	2	6.187341018183116	6.2400165288734	6.213678773528258	4.99929	False	36051
GPC4	2	6.187341018183116	6.2400165288734	6.213678773528258	4.99929	False	83161
KDM6A	1	6.119948045616198	6.119948045616198	6.119948045616198	4.94571	True	0
LOC105373190	1	6.119948045616198	6.119948045616198	6.119948045616198	4.94571	False	88287
MIR325HG	1	6.112102207778001	6.112102207778001	6.112102207778001	4.94219	False	2159
MIR325	1	6.112102207778001	6.112102207778001	6.112102207778001	4.94219	False	11190
LOC105373254	1	6.112102207778001	6.112102207778001	6.112102207778001	4.94219	False	53907
MIR384	1	6.112102207778001	6.112102207778001	6.112102207778001	4.94219	False	97331
EMD	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	43534
ATP6AP1	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	3619
ATP6AP1-DT	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	True	0
DNASE1L1	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	12956
GDI1	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	12096
FLNA	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	50423
FAM50A	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	19083
FAM3A	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	81113
LOC124905228	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	26215
LOC105373386	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	89529
LOC124905229	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	90422
LAGE3	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	52717
SNORA70	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	24642
SLC10A3	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	62253
RPL10	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	22718
PLXNA3	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	33223
MIR6858	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	25262
TKTL1	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	94707
TAFAZZIN	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	3331
UBL4A	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	58659
