Gene	N_SNPs	Min_log10p	Max_log10p	Mean_log10p	Max_stdIHS	Has_Overlap	Min_Distance
FAAH2	3	7.621423339723566	7.869786082063964	7.786761536044582	5.67966	True	0
TRPC5	2	6.234387412178066	7.632490456896207	6.933438934537136	5.58546	True	0
ALG13	2	6.234387412178066	7.632490456896207	6.933438934537136	5.58546	False	38523
DIAPH2	2	6.380982783746871	7.215629587820831	6.798306185783851	5.41624	True	0
EIF3JP1	6	6.390715055750533	7.082022041619744	6.666341251365034	5.36094	False	38922
HTR2C	4	6.530261782941072	6.66244077727647	6.580022660259986	5.18368	True	0
IL1RAPL2	1	6.455639967094356	6.455639967094356	6.455639967094356	5.09419	True	0
NCBP2L	1	6.43006389788684	6.43006389788684	6.43006389788684	5.08302	True	0
TSC22D3	1	6.43006389788684	6.43006389788684	6.43006389788684	5.08302	False	6836
MID2	1	6.43006389788684	6.43006389788684	6.43006389788684	5.08302	False	42910
NAP1L2	2	6.078215525133976	6.360927070961929	6.219571298047953	5.05271	False	41495
GPC3	2	6.187341018183116	6.2400165288734	6.213678773528258	4.99929	False	36051
KDM6A	1	6.119948045616198	6.119948045616198	6.119948045616198	4.94571	True	0
DNASE1L1	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	12956
ATP6AP1	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	3619
GDI1	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	12096
EMD	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	43534
FAM50A	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	19083
PLXNA3	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	33223
TAFAZZIN	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	3331
RPL10	1	6.035789308332438	6.035789308332438	6.035789308332438	4.90783	False	22718
