gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
MTND6P12	ENSG00000235039	processed_pseudogene	X	5168918	5169439	-	subject	overlapping	X	5122912	5151056	28144	138	5.64308
MTCYBP12	ENSG00000226313	processed_pseudogene	X	5169512	5170645	+	subject	overlapping	X	5122912	5151056	28144	138	5.64308
MID1	ENSG00000101871	protein_coding	X	10445310	10833654	-	subject	contains_region	X	10777644	10804394	26750	36	6.2391
HCCS-DT	ENSG00000234129	lncRNA	X	10847578	11111220	-	subject	flanking	X	10777644	10804394	26750	36	6.2391
DMD	ENSG00000198947	protein_coding	X	31097677	33339609	-	subject	contains_region	X	31794522	31807273	12751	21	6.58517
ENSG00000233928	ENSG00000233928	lncRNA	X	33726337	34346527	+	subject	contains_region	X	33829701	33852480	22779	41	6.7961
ENSG00000286475	ENSG00000286475	lncRNA	X	36678678	36866689	-	subject	flanking	X	36598484	36640391	41907	68	5.94622
ENSG00000271457	ENSG00000271457	processed_pseudogene	X	87143854	87144748	-	subject	overlapping	X	87165073	87204799	39726	95	6.99409
ENSG00000200422	ENSG00000200422	snoRNA	X	87146733	87146804	+	subject	overlapping	X	87165073	87204799	39726	95	6.99409
ENSG00000286523	ENSG00000286523	lncRNA	X	96127747	96372889	-	subject	contains_region	X	96236338	96253400	17062	21	4.99378
RPS29P28	ENSG00000232069	processed_pseudogene	X	96195477	96195617	+	subject	overlapping	X	96236338	96253400	17062	21	4.99378
ENSG00000286523	ENSG00000286523	lncRNA	X	96127747	96372889	-	subject	contains_region	X	96323003	96336732	13729	21	6.89836
BRDTP1	ENSG00000271209	processed_pseudogene	X	96337236	96337912	-	subject	overlapping	X	96323003	96336732	13729	21	6.89836
PRPF4BP1	ENSG00000224217	processed_pseudogene	X	116748530	116748877	-	subject	overlapping	X	116757828	116777694	19866	26	6.66651
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117354375	117372605	18230	27	6.57885
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117354375	117372605	18230	27	6.57885
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117425882	117440268	14386	53	4.89674
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117425882	117440268	14386	53	4.89674
WDR44	ENSG00000131725	protein_coding	X	118346073	118449961	+	subject	contains_region	X	118414297	118445236	30939	35	6.01722
MIR1277	ENSG00000221463	miRNA	X	118386394	118386471	+	subject	overlapping	X	118414297	118445236	30939	35	6.01722
ENSG00000234748	ENSG00000234748	processed_pseudogene	X	146537535	146538048	+	subject	overlapping	X	146478624	146489384	10760	44	4.67469
