ihs_cluster_id	ihs_cluster_start	ihs_cluster_end	ihs_cluster_size	ihs_cluster_max_score	relate_cluster_id	relate_cluster_start	relate_cluster_end	relate_cluster_size	relate_cluster_max_score	overlap_start	overlap_end	overlap_size_bp	center_distance
13	21235631	21242103	2	4.87489	90	21148027	21426734	12	7.47933	21235631	21242103	6473	115503.5
19	30582041	30841525	12	6.95759	102	30485294	30598218	3	7.05071	30582041	30598218	16178	190411.5
47	68780389	68786454	3	6.33143	68	68721314	69104794	14	6.58704	68780389	68786454	6066	160822.0
74	95392306	95392306	1	4.50819	35	95242016	95701864	60	7.79816	95392306	95392306	1	132880.0
89	107783358	107788453	4	6.1448	27	107745527	107847004	10	6.56681	107783358	107788453	5096	36058.5
100	119301240	119301240	1	4.87645	52	119218223	119311028	7	5.79425	119301240	119301240	1	31605.0
116	122302618	122403303	2	4.59804	59	122380168	122380168	1	5.86588	122380168	122380168	1	27207.5
118	140294292	140311404	3	6.42606	23	140263876	140521653	36	8.69266	140294292	140311404	17113	123588.5
121	142890603	142920898	6	6.85227	22	142802363	142907688	8	6.67374	142890603	142907688	17086	79759.5
127	147601948	147661861	2	7.48335	3	147622419	147718112	22	8.01792	147622419	147661861	39443	36883.0
129	146330199	146340883	3	5.2328	1	145836796	146400379	14	7.04023	146330199	146340883	10685	15912.0
