cluster_id	pos	relate_score	population	cluster_start	cluster_end	cluster_center	cluster_size	cluster_max_score	cluster_mean_score
1	145836796	5.06341	CLM	145836796	146400379	146317466.0	14	7.04023	5.9729907142857135
3	147622419	6.06456	CLM	147622419	147718112	147668787.5	22	8.01792	5.963815909090908
22	142802363	5.58526	CLM	142802363	142907688	142814656.0	8	6.67374	5.69992625
23	140263876	6.9374	CLM	140263876	140521653	140434241.5	36	8.69266	6.256143888888889
27	107745527	6.32977	CLM	107745527	107847004	107821386.5	10	6.56681	5.903147
35	95242016	5.06021	CLM	95242016	95701864	95525186.0	60	7.79816	5.700878666666665
52	119218223	5.54868	CLM	119218223	119311028	119269635.0	7	5.79425	5.631997142857143
59	122380168	5.86588	CLM	122380168	122380168	122380168.0	1	5.86588	5.86588
68	68721314	5.43054	CLM	68721314	69104794	68943646.0	14	6.58704	5.777725714285714
90	21148027	5.24808	CLM	21148027	21426734	21354370.5	12	7.47933	6.047760833333334
102	30485294	5.43054	CLM	30485294	30598218	30508623.0	3	7.05071	5.970596666666666
