gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
PUDP	ENSG00000130021	protein_coding	X	6667865	7148158	-	subject	flanking	X	7172302	7272217	99915	251	8.62458
STS	ENSG00000101846	protein_coding	X	7147237	7804358	+	subject	contains_region	X	7172302	7272217	99915	251	8.62458
MIR4767	ENSG00000264268	miRNA	X	7147860	7147937	+	subject	overlapping	X	7172302	7272217	99915	251	8.62458
MID1	ENSG00000101871	protein_coding	X	10445310	10833654	-	subject	contains_region	X	10774487	10796361	21874	59	3.86748
ENSG00000283380	ENSG00000283380	lncRNA	X	20769718	21374265	-	subject	contains_region	X	21273519	21293236	19717	25	4.35479
DMD	ENSG00000198947	protein_coding	X	31097677	33339609	-	subject	contains_region	X	31779689	31798547	18858	47	3.6862
ENSG00000233928	ENSG00000233928	lncRNA	X	33726337	34346527	+	subject	contains_region	X	34171859	34201088	29229	68	4.86975
FAM47A	ENSG00000185448	protein_coding	X	34129752	34132314	-	subject	overlapping	X	34171859	34201088	29229	68	4.86975
FTH1P14	ENSG00000185638	processed_pseudogene	X	34147036	34147586	+	subject	overlapping	X	34171859	34201088	29229	68	4.86975
ENSG00000233571	ENSG00000233571	lncRNA	X	34206725	34415537	-	subject	flanking	X	34171859	34201088	29229	68	4.86975
PRRG1	ENSG00000130962	protein_coding	X	37349309	37457292	+	subject	contains_region	X	37375818	37420668	44850	103	4.65083
ENSG00000250349	ENSG00000250349	protein_coding	X	37349330	38687674	+	subject	contains_region	X	37375818	37420668	44850	103	4.65083
ENSG00000241607	ENSG00000241607	unprocessed_pseudogene	X	37441523	37442068	+	subject	overlapping	X	37375818	37420668	44850	103	4.65083
USP9X	ENSG00000124486	protein_coding	X	41085445	41236579	+	escapee	contains_region	X	41180525	41199155	18630	27	4.75631
KDM6A	ENSG00000147050	protein_coding	X	44873188	45112779	+	escapee	contains_region	X	44919641	44963297	43656	99	4.79484
KDM6A	ENSG00000147050	protein_coding	X	44873188	45112779	+	escapee	contains_region	X	45076679	45105820	29141	37	4.69648
DIPK2B	ENSG00000147113	protein_coding	X	45148373	45200901	-	subject	flanking	X	45076679	45105820	29141	37	4.69648
PQBP1	ENSG00000102103	protein_coding	X	48890197	48903402	+	subject	overlapping	X	48918298	48938306	20008	21	4.64513
TIMM17B	ENSG00000126768	protein_coding	X	48893447	48898143	-	subject	overlapping	X	48918298	48938306	20008	21	4.64513
SLC35A2	ENSG00000102100	protein_coding	X	48903180	48911958	-	subject	overlapping	X	48918298	48938306	20008	21	4.64513
PIM2	ENSG00000102096	protein_coding	X	48913182	48919024	-	subject	overlapping	X	48918298	48938306	20008	21	4.64513
OTUD5	ENSG00000068308	protein_coding	X	48922024	48958386	-	subject	overlapping	X	48918298	48938306	20008	21	4.64513
ENSG00000279155	ENSG00000279155	TEC	X	48939992	48940808	+	subject	overlapping	X	48918298	48938306	20008	21	4.64513
ENSG00000288908	ENSG00000288908	lncRNA	X	48958643	48959773	+	subject	overlapping	X	48918298	48938306	20008	21	4.64513
RNU6-722P	ENSG00000223309	snRNA	X	48959179	48959282	-	subject	overlapping	X	48918298	48938306	20008	21	4.64513
KCND1	ENSG00000102057	protein_coding	X	48961378	48971844	-	subject	overlapping	X	48918298	48938306	20008	21	4.64513
GRIPAP1	ENSG00000068400	protein_coding	X	48973720	49002265	-	subject	flanking	X	48918298	48938306	20008	21	4.64513
MAGED1	ENSG00000179222	protein_coding	X	51803007	51902354	+	subject	flanking	X	51943998	51978271	34273	76	4.15114
ENSG00000228827	ENSG00000228827	unprocessed_pseudogene	X	51903338	51903850	-	subject	overlapping	X	51943998	51978271	34273	76	4.15114
IPO7P1	ENSG00000232951	processed_pseudogene	X	51921864	51922499	-	subject	overlapping	X	51943998	51978271	34273	76	4.15114
UQCR10P1	ENSG00000237528	processed_pseudogene	X	51923552	51923740	+	subject	overlapping	X	51943998	51978271	34273	76	4.15114
TPMTP3	ENSG00000232562	processed_pseudogene	X	51979223	51980012	-	subject	overlapping	X	51943998	51978271	34273	76	4.15114
ENSG00000169164	ENSG00000169164	transcribed_unprocessed_pseudogene	X	55654709	55657014	-	subject	overlapping	X	55692614	55747654	55040	92	5.72894
ENSG00000290520	ENSG00000290520	lncRNA	X	55654721	55656965	-	subject	overlapping	X	55692614	55747654	55040	92	5.72894
RRAGB	ENSG00000083750	protein_coding	X	55717749	55758774	+	subject	overlapping	X	55692614	55747654	55040	92	5.72894
RRAGB	ENSG00000083750	protein_coding	X	55717749	55758774	+	subject	flanking	X	55776757	55808524	31767	81	4.74985
FAAH2	ENSG00000165591	protein_coding	X	57286706	57489193	+	subject	flanking	X	57485408	57508250	22842	26	4.71456
ZFRP1	ENSG00000234570	processed_pseudogene	X	62878811	62884842	-	subject	overlapping	X	62900017	62925044	25027	36	5.31445
LINC01278	ENSG00000235437	lncRNA	X	63222993	63561095	-	subject	contains_region	X	63523564	63531993	8429	21	3.2954
ARHGEF9	ENSG00000131089	protein_coding	X	63634967	63809274	-	subject	flanking	X	63829442	63845954	16512	41	4.24583
MIR1468	ENSG00000222532	miRNA	X	63786002	63786087	-	subject	overlapping	X	63829442	63845954	16512	41	4.24583
ENSG00000276689	ENSG00000276689	processed_pseudogene	X	65786763	65787169	+	subject	overlapping	X	65834998	65844607	9609	31	3.86938
ETF1P3	ENSG00000233833	processed_pseudogene	X	65794345	65795835	+	subject	overlapping	X	65834998	65844607	9609	31	3.86938
CCNYL5	ENSG00000230039	processed_pseudogene	X	65821255	65822249	-	subject	overlapping	X	65834998	65844607	9609	31	3.86938
EDA	ENSG00000158813	protein_coding	X	69616067	70039472	+	subject	contains_region	X	69673072	69728243	55171	65	6.08889
5S_rRNA	ENSG00000285776	rRNA_pseudogene	X	69672479	69672597	+	subject	overlapping	X	69673072	69728243	55171	65	6.08889
U3	ENSG00000212434	snoRNA	X	69692956	69693155	+	subject	contained	X	69673072	69728243	55171	65	6.08889
NAP1L2	ENSG00000186462	protein_coding	X	73212299	73214851	-	subject	overlapping	X	73234952	73289663	54711	110	5.36411
TOMM20P4	ENSG00000230311	processed_pseudogene	X	73223124	73223558	+	subject	overlapping	X	73234952	73289663	54711	110	5.36411
LRRFIP2P1	ENSG00000237014	processed_pseudogene	X	73237647	73238709	-	subject	contained	X	73234952	73289663	54711	110	5.36411
YWHAZP8	ENSG00000225664	processed_pseudogene	X	73274785	73275515	+	subject	contained	X	73234952	73289663	54711	110	5.36411
ABCB7	ENSG00000131269	protein_coding	X	75051048	75156732	-	subject	flanking	X	75001805	75015925	14120	29	4.11341
ENSG00000226854	ENSG00000226854	lncRNA	X	75903105	75904858	+	subject	overlapping	X	75939811	75945897	6086	22	3.3624
MIR325HG	ENSG00000280870	lncRNA	X	76656866	77014532	-	subject	flanking	X	77026399	77042059	15660	22	5.50299
MIR325	ENSG00000207995	miRNA	X	77005404	77005501	-	subject	overlapping	X	77026399	77042059	15660	22	5.50299
RNA5SP509	ENSG00000201447	rRNA_pseudogene	X	77066709	77066827	+	subject	overlapping	X	77026399	77042059	15660	22	5.50299
RTL3	ENSG00000179300	protein_coding	X	78656068	78659328	-	subject	overlapping	X	78659157	78703647	44490	65	5.87971
PPATP2	ENSG00000271433	processed_pseudogene	X	78699384	78699891	-	subject	contained	X	78659157	78703647	44490	65	5.87971
LPAR4	ENSG00000147145	protein_coding	X	78747709	78758714	+	subject	flanking	X	78659157	78703647	44490	65	5.87971
P2RY10	ENSG00000078589	protein_coding	X	78945332	78963727	+	subject	overlapping	X	78988641	79020252	31611	34	4.68091
WBP11P3	ENSG00000228051	processed_pseudogene	X	80560146	80562054	+	subject	overlapping	X	80605395	80621210	15815	25	4.48777
HK2P1	ENSG00000228612	processed_pseudogene	X	80571871	80574607	-	subject	overlapping	X	80605395	80621210	15815	25	4.48777
BRWD3	ENSG00000165288	protein_coding	X	80669503	80809877	-	subject	flanking	X	80605395	80621210	15815	25	4.48777
RNU6-974P	ENSG00000206826	snRNA	X	82001220	82001327	-	subject	overlapping	X	81938682	81959597	20915	27	4.94912
ENSG00000271457	ENSG00000271457	processed_pseudogene	X	87143854	87144748	-	subject	overlapping	X	87156791	87198166	41375	123	7.09295
