chr	gene_start	gene_end	strand	gene_id	gene_name	gene_type	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
X	5840637	6228867	-	ENSG00000146938	NLGN4X	protein_coding	escape	flanking	X	5794779	5803298	8519	20	6.46132
X	6667865	7148158	-	ENSG00000130021	PUDP	protein_coding	subject	flanking	X	7175179	7194371	19192	29	4.55763
X	7147237	7804358	+	ENSG00000101846	STS	protein_coding	subject	contains_region	X	7175179	7194371	19192	29	4.55763
X	9024232	9295682	-	ENSG00000177138	FAM9B	protein_coding	subject	contains_region	X	9259500	9277784	18284	28	6.9552
X	11822423	12724523	+	ENSG00000169933	FRMPD4	protein_coding	subject	contains_region	X	12508991	12518825	9834	24	6.09827
X	28587446	29956718	+	ENSG00000169306	IL1RAPL1	protein_coding	subject	contains_region	X	28902411	28921461	19050	27	5.46053
X	37349330	38687674	+	ENSG00000250349	ENSG00000250349	protein_coding	subject	contains_region	X	37855798	37875750	19952	21	3.52325
X	37780018	37813461	+	ENSG00000165168	CYBB	protein_coding	subject	flanking	X	37855798	37875750	19952	21	3.52325
X	37836757	37847571	-	ENSG00000165169	DYNLT3	protein_coding	subject	overlapping	X	37855798	37875750	19952	21	3.52325
X	38269163	38327544	-	ENSG00000156313	RPGR	protein_coding	subject	contains_region	X	38286658	38306582	19924	29	5.76268
X	38352586	38421446	+	ENSG00000036473	OTC	protein_coding	subject	flanking	X	38286658	38306582	19924	29	5.76268
X	44873188	45112779	+	ENSG00000147050	KDM6A	protein_coding	escape	contains_region	X	44939702	44948847	9145	26	3.82514
X	63634967	63809274	-	ENSG00000131089	ARHGEF9	protein_coding	subject	flanking	X	63831331	63843308	11977	23	4.50109
X	70528940	70908711	-	ENSG00000120498	TEX11	protein_coding	subject	contains_region	X	70564580	70581927	17347	25	4.63326
X	72181353	72302926	+	ENSG00000102309	PIN4	protein_coding	subject	flanking	X	72287096	72306286	19190	21	6.20061
X	72204657	72239027	-	ENSG00000186871	ERCC6L	protein_coding	subject	flanking	X	72287096	72306286	19190	21	6.20061
X	72255679	72277248	-	ENSG00000198034	RPS4X	protein_coding	escape	overlapping	X	72287096	72306286	19190	21	6.20061
X	72301638	72307187	-	ENSG00000125931	CITED1	protein_coding	subject	overlapping	X	72287096	72306286	19190	21	6.20061
X	72301691	72572843	-	ENSG00000285547	ENSG00000285547	protein_coding	subject	flanking	X	72287096	72306286	19190	21	6.20061
X	72329516	72573101	-	ENSG00000147099	HDAC8	protein_coding	subject	flanking	X	72287096	72306286	19190	21	6.20061
X	74304180	74305034	+	ENSG00000187969	ZCCHC13	protein_coding	subject	overlapping	X	74266517	74284831	18314	32	4.69422
X	88747225	88754785	+	ENSG00000147183	CPXCR1	protein_coding	subject	overlapping	X	88761933	88776799	14866	23	5.23322
X	91779261	92623230	+	ENSG00000102290	PCDH11X	protein_coding	subject	contains_region	X	92330844	92346602	15758	22	5.16052
X	96684712	97604997	+	ENSG00000147202	DIAPH2	protein_coding	subject	contains_region	X	97181148	97201131	19983	20	4.3018
X	104566199	105767829	+	ENSG00000189108	IL1RAPL2	protein_coding	subject	contains_region	X	104925107	104942547	17440	26	6.68416
X	109535781	109544698	+	ENSG00000101888	NXT2	protein_coding	subject	overlapping	X	109543785	109562703	18918	20	5.98147
X	111768011	112082776	-	ENSG00000072315	TRPC5	protein_coding	subject	flanking	X	112111833	112130791	18958	30	5.08165
X	112083016	112457514	+	ENSG00000187823	RTL4	protein_coding	subject	contains_region	X	112111833	112130791	18958	30	5.08165
X	114584078	114910061	+	ENSG00000147246	HTR2C	protein_coding	subject	contains_region	X	114871636	114891116	19480	25	6.26961
X	118346073	118449961	+	ENSG00000131725	WDR44	protein_coding	subject	contains_region	X	118424311	118443977	19666	29	4.90438
X	119236245	119244466	+	ENSG00000101856	PGRMC1	protein_coding	subject	flanking	X	119287716	119303930	16214	25	5.77076
X	133535745	133987100	-	ENSG00000147257	GPC3	protein_coding	subject	flanking	X	133502504	133521123	18619	28	3.82204
X	141697411	141698739	-	ENSG00000196406	SPANXD	protein_coding	subject	overlapping	X	141648606	141657406	8800	20	3.94542
