Background	Category	Study_genes	Category_genes	Overlap	Odds_Ratio	P_value	In_study_in_category	In_study_not_category	Not_study_in_category	Not_study_not_category
X chromosome genes	neurodevelopment	11	7695	7	0.13361732570239335	0.9994161069093692	7	4	7688	587
X chromosome genes	reproduction	11	1926	1	0.03994805194805195	0.9999989257321812	1	10	1925	769
X chromosome genes	immunity	11	12237	7	0.05380212591986917	0.999990397588603	7	4	12230	376
X chromosome genes	development	11	7738	8	0.20146614920224235	0.9945881038090671	8	3	7730	584
All protein-coding genes	neurodevelopment	11	7695	7	3.026307232049948	0.06379807025769531	7	4	7688	13295
All protein-coding genes	reproduction	11	1926	1	0.9696623376623377	0.6603749641428559	1	10	1925	18666
All protein-coding genes	immunity	11	12237	7	1.2796606704824203	0.47131449685718446	7	4	12230	8943
All protein-coding genes	development	11	7738	8	4.574730487279	0.01717244621454459	8	3	7730	13261
X genes under selection	neurodevelopment	11	7695	7	0.03619276795005203	0.9999984910919215	7	4	7688	159
X genes under selection	reproduction	11	1926	1	0.010701298701298701	0.9999999999913158	1	10	1925	206
X genes under selection	immunity	11	12237	7	0.015024529844644318	0.9999999783362429	7	4	12230	105
X genes under selection	development	11	7738	8	0.052091418714963346	0.999958638033006	8	3	7730	151
