GO_ID	Category
GO:0097491	neurodevelopment
GO:0099172	neurodevelopment
GO:0031630	neurodevelopment
GO:1905810	neurodevelopment
GO:0007416	neurodevelopment
GO:0061669	neurodevelopment
GO:0051630	neurodevelopment
GO:0150094	neurodevelopment
GO:0098925	neurodevelopment
GO:0043524	neurodevelopment
GO:0098965	neurodevelopment
GO:0021785	neurodevelopment
GO:0021978	neurodevelopment
GO:0030913	neurodevelopment
GO:0008049	neurodevelopment
GO:0099567	neurodevelopment
GO:0097090	neurodevelopment
GO:1901166	neurodevelopment
GO:0090210	neurodevelopment
GO:0035712	neurodevelopment
GO:0090301	neurodevelopment
GO:0005102	neurodevelopment
GO:0001764	neurodevelopment
GO:0017146	neurodevelopment
GO:0050795	neurodevelopment
GO:0031987	neurodevelopment
GO:0008343	neurodevelopment
GO:0001841	neurodevelopment
GO:0050768	neurodevelopment
GO:0051610	neurodevelopment
GO:1903234	neurodevelopment
GO:0099174	neurodevelopment
GO:0043025	neurodevelopment
GO:0005328	neurodevelopment
GO:0120228	neurodevelopment
GO:0048677	neurodevelopment
GO:0002121	neurodevelopment
GO:0021523	neurodevelopment
GO:0021956	neurodevelopment
GO:0097107	neurodevelopment
GO:1905676	neurodevelopment
GO:0007269	neurodevelopment
GO:1902667	neurodevelopment
GO:0021812	neurodevelopment
GO:0140895	neurodevelopment
GO:0021644	neurodevelopment
GO:0002280	neurodevelopment
GO:0140058	neurodevelopment
GO:0048842	neurodevelopment
GO:0034776	neurodevelopment
GO:0099641	neurodevelopment
GO:0099163	neurodevelopment
GO:1990379	neurodevelopment
GO:0030917	neurodevelopment
GO:0031960	neurodevelopment
GO:0071565	neurodevelopment
GO:0014036	neurodevelopment
GO:0061367	neurodevelopment
GO:0035686	neurodevelopment
GO:0021503	neurodevelopment
GO:1905274	neurodevelopment
GO:0150063	neurodevelopment
GO:0042748	neurodevelopment
GO:0044297	neurodevelopment
GO:0060164	neurodevelopment
GO:0099123	neurodevelopment
GO:0016281	neurodevelopment
GO:0036445	neurodevelopment
GO:0022008	neurodevelopment
GO:0061537	neurodevelopment
GO:0140236	neurodevelopment
GO:0002023	neurodevelopment
GO:0021764	neurodevelopment
GO:0140059	neurodevelopment
GO:0021520	neurodevelopment
GO:0032279	neurodevelopment
GO:0098842	neurodevelopment
GO:0061485	neurodevelopment
GO:0046928	neurodevelopment
GO:1904071	neurodevelopment
GO:0099154	neurodevelopment
GO:0046958	neurodevelopment
GO:0036465	neurodevelopment
GO:0099188	neurodevelopment
GO:0010977	neurodevelopment
GO:0007413	neurodevelopment
GO:0048853	neurodevelopment
GO:0051124	neurodevelopment
GO:0008065	neurodevelopment
GO:0090716	neurodevelopment
GO:0010975	neurodevelopment
GO:1903999	neurodevelopment
GO:0001775	neurodevelopment
GO:1901588	neurodevelopment
GO:1902474	neurodevelopment
GO:0008347	neurodevelopment
GO:0048148	neurodevelopment
GO:0006270	neurodevelopment
GO:0097546	neurodevelopment
GO:0097477	neurodevelopment
GO:0005883	neurodevelopment
GO:0097026	neurodevelopment
GO:0002285	neurodevelopment
GO:0098987	neurodevelopment
GO:0032902	neurodevelopment
GO:0099010	neurodevelopment
GO:0003147	neurodevelopment
GO:0042048	neurodevelopment
GO:2000979	neurodevelopment
GO:0035665	neurodevelopment
GO:1904948	neurodevelopment
GO:0016182	neurodevelopment
GO:0005044	neurodevelopment
GO:0061360	neurodevelopment
GO:0060404	neurodevelopment
GO:0099091	neurodevelopment
GO:0061824	neurodevelopment
GO:1903421	neurodevelopment
GO:0033290	neurodevelopment
GO:0033268	neurodevelopment
GO:0150011	neurodevelopment
GO:0035283	neurodevelopment
GO:0150053	neurodevelopment
GO:1902710	neurodevelopment
GO:0031223	neurodevelopment
GO:0022007	neurodevelopment
GO:0097484	neurodevelopment
GO:0008050	neurodevelopment
GO:0097055	neurodevelopment
GO:0097325	neurodevelopment
GO:0070593	neurodevelopment
GO:0098971	neurodevelopment
GO:0099147	neurodevelopment
GO:0098885	neurodevelopment
GO:0051867	neurodevelopment
GO:0031629	neurodevelopment
GO:0010465	neurodevelopment
GO:0005785	neurodevelopment
GO:0031175	neurodevelopment
GO:0001967	neurodevelopment
GO:0097156	neurodevelopment
GO:0044225	neurodevelopment
GO:0031642	neurodevelopment
GO:0030424	neurodevelopment
GO:0021854	neurodevelopment
GO:0007614	neurodevelopment
GO:0048485	neurodevelopment
GO:1905806	neurodevelopment
GO:0036503	neurodevelopment
GO:0021555	neurodevelopment
GO:1904050	neurodevelopment
GO:0042119	neurodevelopment
GO:0033278	neurodevelopment
GO:0035669	neurodevelopment
GO:0097116	neurodevelopment
GO:0021836	neurodevelopment
GO:0021849	neurodevelopment
GO:0099610	neurodevelopment
GO:0008542	neurodevelopment
GO:2001223	neurodevelopment
GO:0043196	neurodevelopment
GO:0097062	neurodevelopment
GO:0021685	neurodevelopment
GO:0021858	neurodevelopment
GO:1905805	neurodevelopment
GO:0007617	neurodevelopment
GO:0060077	neurodevelopment
GO:0032286	neurodevelopment
GO:0050804	neurodevelopment
GO:0061308	neurodevelopment
GO:0098879	neurodevelopment
GO:0060831	neurodevelopment
GO:0021793	neurodevelopment
GO:0098690	neurodevelopment
GO:0021885	neurodevelopment
GO:1900271	neurodevelopment
GO:0097380	neurodevelopment
GO:0035662	neurodevelopment
GO:0099088	neurodevelopment
GO:0098937	neurodevelopment
GO:1904934	neurodevelopment
GO:0007638	neurodevelopment
GO:0030160	neurodevelopment
GO:0035418	neurodevelopment
GO:0030517	neurodevelopment
GO:0098817	neurodevelopment
GO:0070877	neurodevelopment
GO:0098963	neurodevelopment
GO:0042446	neurodevelopment
GO:1905607	neurodevelopment
GO:0150062	neurodevelopment
GO:0031133	neurodevelopment
GO:0021953	neurodevelopment
GO:0021872	neurodevelopment
GO:0033270	neurodevelopment
GO:0099576	neurodevelopment
GO:0016019	neurodevelopment
GO:0099181	neurodevelopment
GO:0099145	neurodevelopment
GO:0099626	neurodevelopment
GO:0048894	neurodevelopment
GO:0021509	neurodevelopment
GO:0048168	neurodevelopment
GO:0050877	neurodevelopment
GO:0106027	neurodevelopment
GO:1904891	neurodevelopment
GO:0099527	neurodevelopment
GO:0021688	neurodevelopment
GO:1903539	neurodevelopment
GO:0021799	neurodevelopment
GO:0021683	neurodevelopment
GO:0021859	neurodevelopment
GO:0021944	neurodevelopment
GO:1990416	neurodevelopment
GO:0021757	neurodevelopment
GO:0042595	neurodevelopment
GO:0045887	neurodevelopment
GO:0106003	neurodevelopment
GO:0002753	neurodevelopment
GO:0060019	neurodevelopment
GO:0032229	neurodevelopment
GO:0007409	neurodevelopment
GO:0099575	neurodevelopment
GO:0021564	neurodevelopment
GO:0021884	neurodevelopment
GO:0021703	neurodevelopment
GO:0030516	neurodevelopment
GO:0003360	neurodevelopment
GO:1903376	neurodevelopment
