Gene	EUR	EAS	AFR	N_populations	Category	Detail
ARHGEF9	True	False	True	2	Two_populations	EUR+AFR
ATP11C	True	False	False	1	Population_specific	EUR_only
BEX2	False	True	False	1	Population_specific	EAS_only
CITED1	False	True	True	2	Two_populations	EAS+AFR
CPXCR1	False	False	True	1	Population_specific	AFR_only
CYBB	False	False	True	1	Population_specific	AFR_only
DIAPH2	True	False	True	2	Two_populations	EUR+AFR
DMD	False	True	False	1	Population_specific	EAS_only
DYNLT3	False	False	True	1	Population_specific	AFR_only
EFNB1	False	True	False	1	Population_specific	EAS_only
ENSG00000250349	False	False	True	1	Population_specific	AFR_only
ENSG00000285547	False	True	True	2	Two_populations	EAS+AFR
ERCC6L	False	False	True	1	Population_specific	AFR_only
F9	False	True	False	1	Population_specific	EAS_only
FAAH2	True	False	False	1	Population_specific	EUR_only
FAM47A	True	False	False	1	Population_specific	EUR_only
FAM9B	False	True	True	2	Two_populations	EAS+AFR
FRMPD4	False	False	True	1	Population_specific	AFR_only
GPC3	True	True	True	3	All_3_populations	EUR+EAS+AFR
HDAC8	False	True	True	2	Two_populations	EAS+AFR
HTR2C	False	False	True	1	Population_specific	AFR_only
IL1RAPL1	False	False	True	1	Population_specific	AFR_only
IL1RAPL2	True	False	True	2	Two_populations	EUR+AFR
KDM6A	True	False	True	2	Two_populations	EUR+AFR
MCF2	False	True	False	1	Population_specific	EAS_only
MID1	True	False	False	1	Population_specific	EUR_only
MID2	True	False	False	1	Population_specific	EUR_only
NAP1L2	True	False	False	1	Population_specific	EUR_only
NCBP2L	True	False	False	1	Population_specific	EUR_only
NLGN4X	False	True	True	2	Two_populations	EAS+AFR
NXT2	False	False	True	1	Population_specific	AFR_only
OTC	False	False	True	1	Population_specific	AFR_only
PCDH11X	False	False	True	1	Population_specific	AFR_only
PGRMC1	False	False	True	1	Population_specific	AFR_only
PIN4	False	True	True	2	Two_populations	EAS+AFR
PPP1R2C	False	True	False	1	Population_specific	EAS_only
PUDP	True	False	True	2	Two_populations	EUR+AFR
RADX	True	False	False	1	Population_specific	EUR_only
RPGR	False	False	True	1	Population_specific	AFR_only
RPS4X	False	True	True	2	Two_populations	EAS+AFR
RRAGB	True	False	False	1	Population_specific	EUR_only
RTL3	True	False	False	1	Population_specific	EUR_only
RTL4	False	True	True	2	Two_populations	EAS+AFR
SPANXD	False	False	True	1	Population_specific	AFR_only
STARD8	False	True	False	1	Population_specific	EAS_only
STS	True	False	True	2	Two_populations	EUR+AFR
TCEAL5	False	True	False	1	Population_specific	EAS_only
TCEAL7	False	True	False	1	Population_specific	EAS_only
TCEAL8	False	True	False	1	Population_specific	EAS_only
TDGF1P3	True	False	False	1	Population_specific	EUR_only
TEX11	False	True	True	2	Two_populations	EAS+AFR
TRPC5	False	True	True	2	Two_populations	EAS+AFR
TSC22D3	True	False	False	1	Population_specific	EUR_only
USP9X	True	False	False	1	Population_specific	EUR_only
WDR44	False	True	True	2	Two_populations	EAS+AFR
ZCCHC13	False	True	True	2	Two_populations	EAS+AFR
