namespace	term_id	e/p	pval_uncorr	p_fdr_bh	ratio	bg_ratio	obj	study_genes	category	priority
BP	GO:0071482	e	1.0916726450364598e-07	4.366690580145839e-06	0.23529411764705882	0.004694835680751174	<GO:0071482>	['OPN1MW', 'OPN1LW', 'OPN1MW2', 'OPN1MW3']	serotonin_signaling	4
BP	GO:0007602	e	1.0916726450364598e-07	8.733381160291678e-06	0.23529411764705882	0.004694835680751174	<GO:0007602>	['OPN1MW', 'OPN1LW', 'OPN1MW2', 'OPN1MW3']	synapse_assembly	3
BP	GO:0009584	e	1.0916726450364598e-07	8.733381160291678e-06	0.23529411764705882	0.004694835680751174	<GO:0009584>	['OPN1MW', 'OPN1LW', 'OPN1MW2', 'OPN1MW3']	synapse_assembly	3
BP	GO:0071482	e	1.0916726450364598e-07	8.733381160291678e-06	0.23529411764705882	0.004694835680751174	<GO:0071482>	['OPN1MW', 'OPN1LW', 'OPN1MW2', 'OPN1MW3']	synapse_assembly	3
BP	GO:0007186	e	8.564295092502886e-05	0.001712859018500577	0.29411764705882354	0.03051643192488263	<GO:0007186>	['OPN1MW', 'HTR2C', 'OPN1LW', 'OPN1MW2', 'OPN1MW3']	serotonin_signaling	4
MF	GO:0004930	e	7.001069124026201e-05	0.0023803635021689084	0.29411764705882354	0.029342723004694836	<GO:0004930>	['OPN1MW', 'HTR2C', 'OPN1LW', 'OPN1MW2', 'OPN1MW3']	serotonin_signaling	4
MF	GO:0004930	e	7.001069124026201e-05	0.0024503741934091706	0.29411764705882354	0.029342723004694836	<GO:0004930>	['OPN1MW', 'HTR2C', 'OPN1LW', 'OPN1MW2', 'OPN1MW3']	calcium_homeostasis	1
MF	GO:0004930	e	7.001069124026201e-05	0.0025203848846494328	0.29411764705882354	0.029342723004694836	<GO:0004930>	['OPN1MW', 'HTR2C', 'OPN1LW', 'OPN1MW2', 'OPN1MW3']	neuroimmune_crosstalk	2
MF	GO:0004930	e	7.001069124026201e-05	0.0035005345620131006	0.29411764705882354	0.029342723004694836	<GO:0004930>	['OPN1MW', 'HTR2C', 'OPN1LW', 'OPN1MW2', 'OPN1MW3']	synapse_assembly	3
BP	GO:0007186	e	8.564295092502886e-05	0.005138577055501732	0.29411764705882354	0.03051643192488263	<GO:0007186>	['OPN1MW', 'HTR2C', 'OPN1LW', 'OPN1MW2', 'OPN1MW3']	synapse_assembly	3
BP	GO:0007186	e	8.564295092502886e-05	0.005738077711976933	0.29411764705882354	0.03051643192488263	<GO:0007186>	['OPN1MW', 'HTR2C', 'OPN1LW', 'OPN1MW2', 'OPN1MW3']	calcium_homeostasis	1
BP	GO:0007165	e	0.0017339502545596585	0.023119336727462112	0.35294117647058826	0.08450704225352113	<GO:0007165>	['OPN1MW', 'HTR2C', 'OPN1LW', 'IL1RAPL2', 'OPN1MW2', 'OPN1MW3']	serotonin_signaling	4
