pos	relate_score	population
6516207	5.53252	IBS
6520082	5.36385	IBS
6527729	5.36385	IBS
6551318	5.36385	IBS
6555468	5.36385	IBS
6558161	6.40367	IBS
6560514	5.67679	IBS
32298429	5.10996	IBS
37856563	5.0585	IBS
94824480	5.17925	IBS
94829568	5.17925	IBS
94834082	5.17925	IBS
94835139	5.17925	IBS
94835821	5.17925	IBS
94835830	5.17925	IBS
94845902	5.17925	IBS
94846015	5.17925	IBS
112068105	5.17925	IBS
112120206	5.75309	IBS
112120218	5.75309	IBS
115571579	5.27878	IBS
139849664	5.0585	IBS
139853341	5.48994	IBS
147622419	5.03961	IBS
147678429	5.17925	IBS
