gene_type	count	percent
protein_coding	16573	34.04618102633633
lncRNA	14899	30.60725584452936
processed_pseudogene	7500	15.407370886231975
misc_RNA	1712	3.516989194297218
unprocessed_pseudogene	1487	3.0547680677102593
snRNA	1482	3.0444964871194378
miRNA	1447	2.9725954229836886
TEC	829	1.7030280619581741
snoRNA	789	1.6208554172316036
transcribed_unprocessed_pseudogene	549	1.1278195488721803
rRNA_pseudogene	384	0.7888573893750771
transcribed_processed_pseudogene	379	0.7785858087842558
transcribed_unitary_pseudogene	129	0.26500677924318994
TR_V_gene	106	0.2177575085254119
unitary_pseudogene	80	0.16434528945314103
TR_J_gene	79	0.1622909733349768
IG_V_pseudogene	48	0.09860717367188464
IG_V_gene	47	0.09655285755372037
scaRNA	44	0.09038990919922758
TR_V_pseudogene	32	0.06573811578125642
rRNA	26	0.05341221907227084
pseudogene	12	0.02465179341797116
IG_J_gene	7	0.014380212827149842
ribozyme	7	0.014380212827149842
TR_C_gene	6	0.01232589670898558
IG_C_pseudogene	6	0.01232589670898558
TR_D_gene	5	0.010271580590821314
TR_J_pseudogene	4	0.008217264472657053
IG_C_gene	4	0.008217264472657053
translated_processed_pseudogene	2	0.004108632236328526
sRNA	2	0.004108632236328526
vault_RNA	1	0.002054316118164263
scRNA	1	0.002054316118164263
