chr	start	end	length	n_snps	n_genes_total	max_std_ihs	protein_coding_genes
X	122303906	122714169	410263	58	2	5.73914	
X	57475958	57511540	35582	34	1	5.67966	FAAH2
X	111798727	112124702	325975	6	5	5.58546	ALG13,TRPC5,TRPC5OS,RTL4
X	3983501	4293152	309651	88	2	5.55684	
X	97195776	97479943	284167	67	3	5.41624	DIAPH2
X	101977369	102174295	196926	31	11	5.41078	ZMAT1,TCEAL2,TCEAL6,BEX5,TCP11X1
X	93048643	93521597	472954	55	4	5.40194	
X	82152619	82628312	475693	164	3	5.36094	
X	114419609	114906346	486737	32	15	5.18368	HTR2C
X	104715417	104949204	233787	58	2	5.09419	IL1RAPL2
