	value
total_regions	4666.0
regions_with_genes	4587.0
regions_with_genes_percent	98.30690098585512
mean_genes_per_region	11.277539648521218
median_genes_per_region	9.0
mean_contained_genes	7.84804972138877
mean_overlapping_genes	2.0668666952421773
mean_flanking_genes	1.2833261894556365
total_unique_genes	48678.0
x_chromosome_genes	664.0
autosomal_genes	48014.0
protein_coding_genes	16573.0
protein_coding_percent	34.04618102633633
x_protein_coding	242.0
x_inactivation_escapees	10.0
x_inactivation_escapees_percent	1.5060240963855422
x_inactivation_subject	654.0
autosome_regions	4530.0
x_chromosome_regions	136.0
autosome_regions_with_genes	4460.0
x_regions_with_genes	127.0
