chr	start	end	length	n_snps	n_genes_total	n_genes_contained	max_std_ihs	protein_coding_genes	chr_type
6	15966140	16230744	264604	46	13	9	10.458	MYLIP,GMPR	Autosome
11	68207213	68706406	499193	65	10	7	10.0113	KMT5B,C11orf24,LRP5,PPP6R3,GAL,TESMIN,CPT1A	Autosome
16	79287118	79749337	462219	148	10	6	9.95802	MAF	Autosome
4	77291111	77744353	453242	84	7	5	9.8867	CCNG2,CXCL13,CNOT6L	Autosome
1	86715206	87152524	437318	51	11	7	9.85324	SH3GLB1,SELENOF,HS2ST1,ENSG00000267561	Autosome
3	21439203	21927253	488050	163	4	1	9.60763	ZNF385D	Autosome
chr21	14788593	14820124	31531	69	0	0	9.45413		Autosome
13	90707152	91148292	441140	31	5	5	9.37205		Autosome
11	3887984	4370299	482315	122	27	18	9.32125	RHOG,STIM1,RRM1,SSU72L5,SSU72L2,SSU72L4,SSU72L3,SSU72L1,OR52B4,TRIM21	Autosome
19	29454894	29910999	456105	45	17	11	9.30495	VSTM2B,POP4,PLEKHF1,C19orf12,CCNE1,URI1	Autosome
5	2987729	3477587	489858	25	5	2	9.29479		Autosome
5	85700914	86133894	432980	85	4	3	9.27816		Autosome
15	23930438	24095444	165006	69	2	0	9.17788		Autosome
5	24606737	25088848	482111	45	12	8	9.16013	CDH10	Autosome
chr21	29406097	29734764	328667	77	0	0	9.15974		Autosome
2	192070026	192519461	449435	51	2	0	9.15883	TMEFF2	Autosome
8	56763632	57255041	491409	111	9	6	8.94344	BPNT2	Autosome
2	228483543	228980354	496811	57	5	2	8.91344	PID1	Autosome
10	99012680	99485062	472382	43	9	5	8.90945	HPSE2,CNNM1,GOT1,NKX2-3	Autosome
20	39286640	39783125	496485	58	4	3	8.88832		Autosome
