cluster_id	pos	relate_score	population	cluster_start	cluster_end	cluster_center	cluster_size	cluster_max_score	cluster_mean_score
7	18447669	7.62598	PUR	18447669	18648646	18529129.0	3	7.62598	6.64173
31	37393601	5.06758	PUR	37393601	37416956	37409599.0	8	5.06758	5.06758
44	44958505	5.9449	PUR	44958505	44958505	44958505.0	1	5.9449	5.9449
53	73269591	5.35966	PUR	73269591	73594935	73295093.0	5	5.68992	5.481062
59	119098000	7.50635	PUR	119098000	119301818	119113540.0	9	7.50635	5.959197777777778
76	129804982	6.17168	PUR	129804982	130017757	129888282.0	3	6.52368	5.961860000000001
109	140278965	6.20381	PUR	140278965	140629194	140428348.5	24	7.83223	6.001987916666667
116	95327967	5.91551	PUR	95327967	95675208	95520626.5	54	8.38231	6.162620370370367
117	96070429	5.1304	PUR	96070429	96264122	96167275.5	2	5.29363	5.212015
118	99241359	6.52368	PUR	99241359	99580984	99286073.0	13	6.97847	5.7132946153846165
126	90617400	5.19022	PUR	90617400	90617881	90617797.0	3	6.05611	5.76748
