gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
MTND6P12	ENSG00000235039	processed_pseudogene	X	5168918	5169439	-	subject	overlapping	X	5117259	5161909	44650	116	5.20655
MTCYBP12	ENSG00000226313	processed_pseudogene	X	5169512	5170645	+	subject	overlapping	X	5117259	5161909	44650	116	5.20655
STS	ENSG00000101846	protein_coding	X	7147237	7804358	+	subject	contains_region	X	7234534	7254320	19786	20	6.54669
MID1	ENSG00000101871	protein_coding	X	10445310	10833654	-	subject	contains_region	X	10771658	10804394	32736	64	5.16412
HCCS-DT	ENSG00000234129	lncRNA	X	10847578	11111220	-	subject	flanking	X	10771658	10804394	32736	64	5.16412
ENSG00000286475	ENSG00000286475	lncRNA	X	36678678	36866689	-	subject	flanking	X	36618635	36641498	22863	38	5.48038
EDA	ENSG00000158813	protein_coding	X	69616067	70039472	+	subject	contains_region	X	69688081	69710164	22083	25	4.92494
5S_rRNA	ENSG00000285776	rRNA_pseudogene	X	69672479	69672597	+	subject	overlapping	X	69688081	69710164	22083	25	4.92494
U3	ENSG00000212434	snoRNA	X	69692956	69693155	+	subject	contained	X	69688081	69710164	22083	25	4.92494
EIF3JP1	ENSG00000228041	processed_pseudogene	X	82497669	82497924	-	subject	overlapping	X	82521225	82538128	16903	26	7.52018
RPL22P22	ENSG00000213653	processed_pseudogene	X	82506434	82506812	-	subject	overlapping	X	82521225	82538128	16903	26	7.52018
ENSG00000202183	ENSG00000202183	snoRNA	X	82561201	82561347	+	subject	overlapping	X	82521225	82538128	16903	26	7.52018
ENSG00000202183	ENSG00000202183	snoRNA	X	82561201	82561347	+	subject	overlapping	X	82591679	82621349	29670	55	5.72254
DACH2	ENSG00000126733	protein_coding	X	86148451	86832604	+	subject	flanking	X	86878612	86890539	11927	22	6.21138
ENSG00000236190	ENSG00000236190	processed_pseudogene	X	86888586	86888816	+	subject	contained	X	86878612	86890539	11927	22	6.21138
ENSG00000271457	ENSG00000271457	processed_pseudogene	X	87143854	87144748	-	subject	overlapping	X	87155830	87202529	46699	67	6.31424
ENSG00000200422	ENSG00000200422	snoRNA	X	87146733	87146804	+	subject	overlapping	X	87155830	87202529	46699	67	6.31424
DLGAP5P2	ENSG00000237873	processed_pseudogene	X	93042490	93042942	+	subject	contained	X	93040327	93059610	19283	42	6.89176
RPL7P55	ENSG00000228301	processed_pseudogene	X	93573834	93574579	+	subject	overlapping	X	93509757	93537475	27718	36	6.19327
TRPC5	ENSG00000072315	protein_coding	X	111768011	112082776	-	subject	flanking	X	112098607	112129705	31098	40	4.74346
RTL4	ENSG00000187823	protein_coding	X	112083016	112457514	+	subject	contains_region	X	112098607	112129705	31098	40	4.74346
PRPF4BP1	ENSG00000224217	processed_pseudogene	X	116748530	116748877	-	subject	overlapping	X	116754339	116774800	20461	33	6.55525
PRPF4BP1	ENSG00000224217	processed_pseudogene	X	116748530	116748877	-	subject	overlapping	X	116795003	116814246	19243	20	6.71068
RNU6-1323P	ENSG00000206752	snRNA	X	116850839	116850945	-	subject	overlapping	X	116795003	116814246	19243	20	6.71068
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117352313	117366230	13917	38	7.23612
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117352313	117366230	13917	38	7.23612
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117423024	117441449	18425	26	4.65386
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117423024	117441449	18425	26	4.65386
PGRMC1	ENSG00000101856	protein_coding	X	119236245	119244466	+	subject	flanking	X	119293215	119303825	10610	21	5.61312
AKAP17BP	ENSG00000214992	unprocessed_pseudogene	X	119249346	119257667	-	subject	overlapping	X	119293215	119303825	10610	21	5.61312
ENSG00000230392	ENSG00000230392	lncRNA	X	119291529	119335610	+	subject	contains_region	X	119293215	119303825	10610	21	5.61312
ENSG00000225689	ENSG00000225689	lncRNA	X	128027322	129326707	-	subject	flanking	X	129370206	129393843	23637	48	7.35336
RPS26P56	ENSG00000226339	processed_pseudogene	X	129408382	129408621	+	subject	overlapping	X	129370206	129393843	23637	48	7.35336
RNA5SP513	ENSG00000201518	rRNA_pseudogene	X	129436530	129436647	-	subject	overlapping	X	129370206	129393843	23637	48	7.35336
