gene_name	BEB	ITU	PJL	STU	n_populations	populations
ACSL4	1	1	1	1	4	BEB,ITU,PJL,STU
KCNE5	1	1	1	1	4	BEB,ITU,PJL,STU
NXT2	1	1	1	1	4	BEB,ITU,PJL,STU
USP9X	1	1	0	1	3	BEB,ITU,STU
DMD	0	1	0	1	2	ITU,STU
DYNLT3	0	1	1	0	2	ITU,PJL
ENSG00000250349	0	1	1	0	2	ITU,PJL
WDR44	1	1	0	0	2	BEB,ITU
AFF2	0	0	0	1	1	STU
CFAP47	0	0	1	0	1	PJL
CITED1	0	1	0	0	1	ITU
ENSG00000285547	0	1	0	0	1	ITU
FAM47A	1	0	0	0	1	BEB
FAM9B	0	0	1	0	1	PJL
HDAC8	0	1	0	0	1	ITU
NLGN4X	0	0	1	0	1	PJL
OTC	0	0	1	0	1	PJL
PCDH11X	0	1	0	0	1	ITU
PIN4	0	1	0	0	1	ITU
RPGR	0	0	1	0	1	PJL
RPS4X	0	1	0	0	1	ITU
RTL4	0	0	1	0	1	PJL
TDGF1P3	0	0	0	1	1	STU
TRPC5	0	0	1	0	1	PJL
ZFX	1	0	0	0	1	BEB
