ihs_pos	ihs_neg_log10_p	relate_pos	relate_score	relate_population	distance	n_relate_nearby
111803779	7.970200946163628	111758317	5.10996	IBS	45462	5
111799172	7.74648837704405	111758317	5.10996	IBS	40855	5
139822423	7.217280529863151	139853341	5.48994	IBS	30918	2
139831351	7.213978840853438	139853341	5.48994	IBS	21990	2
154436152	6.34937742642	154438830	5.41599	TSI	2678	3
139818680	6.009364716736131	139853341	5.48994	IBS	34661	2
139821059	5.975157381238387	139853341	5.48994	IBS	32282	2
139819942	5.909278688321077	139853341	5.48994	IBS	33399	2
139820054	5.909278688321077	139853341	5.48994	IBS	33287	2
94853788	5.838553624005408	94845902	5.17925	IBS	7886	8
139807953	5.618645186744703	139853341	5.48994	IBS	45388	2
154468570	5.39356874066515	154438830	5.41599	TSI	29740	3
115557280	5.392524434394676	115571579	5.27878	IBS	14299	1
154469004	5.377789986532933	154438830	5.41599	TSI	30174	3
154474312	5.251224963698673	154438830	5.41599	TSI	35482	3
139829232	4.642097887190976	139853341	5.48994	IBS	24109	2
139837337	4.609895817767019	139853341	5.48994	IBS	16004	3
139824388	4.605351723185988	139853341	5.48994	IBS	28953	2
119301818	4.594751428683541	119335089	5.22399	TSI	33271	1
154475098	4.563466890018882	154438830	5.41599	TSI	36268	3
94855318	4.557280666140868	94845902	5.17925	IBS	9416	8
94855075	4.557280666140868	94845902	5.17925	IBS	9173	8
94855472	4.557280666140868	94845902	5.17925	IBS	9570	8
94855747	4.5462405203683405	94845902	5.17925	IBS	9845	8
139807732	4.494383090077788	139853341	5.48994	IBS	45609	2
95458824	4.479417081275014	95502343	5.00107	GBR	43519	1
139822419	4.434673710784855	139853341	5.48994	IBS	30922	2
94857278	4.418755526871852	94845902	5.17925	IBS	11376	8
139828080	4.395722899341764	139853341	5.48994	IBS	25261	2
94853788	4.38717677998207	94845902	5.17925	IBS	7886	8
154458314	4.381152705933726	154438830	5.41599	TSI	19484	3
94857979	4.3623386410319895	94845902	5.17925	IBS	12077	8
119303741	4.34743333455813	119335089	5.22399	TSI	31348	1
154424274	4.280991193490256	154438830	5.41599	TSI	14556	2
71827333	4.23911056764042	71824992	5.25385	TSI	2341	2
119302792	4.238022477458862	119335089	5.22399	TSI	32297	1
154467565	4.237303310558681	154438830	5.41599	TSI	28735	3
71826953	4.219013436125045	71824992	5.25385	TSI	1961	2
139831085	4.211620687997069	139853341	5.48994	IBS	22256	2
139829700	4.211620687997069	139853341	5.48994	IBS	23641	2
139828610	4.202416704231068	139853341	5.48994	IBS	24731	2
139833089	4.181860201305661	139853341	5.48994	IBS	20252	2
154462369	4.179003651774247	154438830	5.41599	TSI	23539	3
94857277	4.173531414223064	94845902	5.17925	IBS	11375	8
139812479	4.160113586329485	139853341	5.48994	IBS	40862	2
139833510	4.153942302590795	139853341	5.48994	IBS	19831	2
139834611	4.147721035096616	139853341	5.48994	IBS	18730	2
139774403	4.145150011023635	139731348	5.53252	IBS	43055	1
139834259	4.137915447347102	139853341	5.48994	IBS	19082	2
139833530	4.114761442610722	139853341	5.48994	IBS	19811	2
115562094	4.111692621066423	115571579	5.27878	IBS	9485	1
94860675	4.100480598941363	94845902	5.17925	IBS	14773	8
94860702	4.100480598941363	94845902	5.17925	IBS	14800	8
154463703	4.095913240445095	154438830	5.41599	TSI	24873	3
115554865	4.047934425389999	115571579	5.27878	IBS	16714	1
154408969	4.044333370515793	154438830	5.41599	TSI	29861	2
154408522	4.044333370515793	154438830	5.41599	TSI	30308	2
94861619	4.030107398827995	94845902	5.17925	IBS	15717	8
94860930	4.020625819451636	94845902	5.17925	IBS	15028	8
94861187	4.02057197975767	94845902	5.17925	IBS	15285	8
119305614	4.015692059680485	119335089	5.22399	TSI	29475	1
119305410	4.015692059680485	119335089	5.22399	TSI	29679	1
154425927	3.99616716906335	154438830	5.41599	TSI	12903	2
10777526	3.98781693823754	10754672	6.02336	TSI	22854	2
10777343	3.987352307919698	10754672	6.02336	TSI	22671	2
10778036	3.983939918186478	10754672	6.02336	TSI	23364	2
119305769	3.976851971282448	119335089	5.22399	TSI	29320	1
119305098	3.976851971282448	119335089	5.22399	TSI	29991	1
119305398	3.976851971282448	119335089	5.22399	TSI	29691	1
119304662	3.971678492394074	119335089	5.22399	TSI	30427	1
119304691	3.971678492394074	119335089	5.22399	TSI	30398	1
119303741	3.968326506702145	119335089	5.22399	TSI	31348	1
115560848	3.92678030960681	115571579	5.27878	IBS	10731	1
119303734	3.92054214195302	119335089	5.22399	TSI	31355	1
154428737	3.8982189294148974	154438830	5.41599	TSI	10093	2
119302807	3.894051677620423	119335089	5.22399	TSI	32282	1
154425057	3.869553899825709	154438830	5.41599	TSI	13773	2
119302718	3.866229063179684	119335089	5.22399	TSI	32371	1
154422300	3.859372946619642	154438830	5.41599	TSI	16530	2
115556973	3.795406256667434	115571579	5.27878	IBS	14606	1
154425927	3.7860745234396447	154438830	5.41599	TSI	12903	2
115557515	3.761305582822684	115571579	5.27878	IBS	14064	1
119301920	3.7413224858421854	119335089	5.22399	TSI	33169	1
10782156	3.7405962326757134	10754672	6.02336	TSI	27484	2
94857780	3.724481770373101	94845902	5.17925	IBS	11878	8
10783766	3.716101941986564	10754672	6.02336	TSI	29094	2
119301716	3.703705258158444	119335089	5.22399	TSI	33373	1
154477700	3.697618048429164	154438830	5.41599	TSI	38870	3
154426310	3.675376682624115	154438830	5.41599	TSI	12520	2
119301586	3.666831502666745	119335089	5.22399	TSI	33503	1
139837025	3.662862082789627	139853341	5.48994	IBS	16316	3
139837023	3.662862082789627	139853341	5.48994	IBS	16318	3
119301422	3.6625370991085098	119335089	5.22399	TSI	33667	1
139836020	3.6617161538692873	139853341	5.48994	IBS	17321	3
119301328	3.66091240351763	119335089	5.22399	TSI	33761	1
139838512	3.6548444591824527	139853341	5.48994	IBS	14829	3
139835985	3.653546080177773	139853341	5.48994	IBS	17356	3
