ihs_pos	ihs_neg_log10_p	relate_pos	relate_score	relate_population	distance	n_relate_nearby
27104328	6.089907994820008	27081833	5.14805	JPT	22495	1
142681688	4.9511297114567245	142682371	5.76802	CDX	683	1
146323634	4.929751418162407	146369589	5.14881	CHS	45955	1
142118780	4.910112073576978	142111497	5.08242	JPT	7283	1
146322524	4.838414738384016	146369589	5.14881	CHS	47065	1
142119136	4.520311528785999	142111497	5.08242	JPT	7639	1
127948753	4.062427350543138	127919960	5.21088	KHV	28793	1
19561815	4.022582247245773	19533176	5.26437	JPT	28639	3
19560911	3.889657365519128	19533176	5.26437	JPT	27735	3
97935241	3.8219687562936495	97977161	5.11021	CHS	41920	1
27105355	3.6521796221688856	27081833	5.14805	JPT	23522	1
142681707	3.3828112892974698	142682371	5.76802	CDX	664	1
27104107	3.329878936924872	27081833	5.14805	JPT	22274	1
97936863	3.329308952612088	97977161	5.11021	CHS	40298	1
142128043	3.26035658806435	142175865	5.61967	JPT	47822	2
142127997	3.2602277069954635	142175865	5.61967	JPT	47868	2
142127682	3.2258620543447245	142175865	5.61967	JPT	48183	2
142127771	3.2258620543447245	142175865	5.61967	JPT	48094	2
19517143	3.2148162721685893	19533176	5.26437	JPT	16033	3
19569282	3.2125295088032684	19533176	5.26437	JPT	36106	3
97945286	3.141437863664134	97977161	5.11021	CHS	31875	1
27105565	3.1151621847273643	27081833	5.14805	JPT	23732	1
142120221	3.1075656294039646	142111497	5.08242	JPT	8724	1
19570216	3.045346623884535	19533176	5.26437	JPT	37040	3
97933660	2.980695089554385	97977161	5.11021	CHS	43501	1
97927763	2.9102765278996423	97977161	5.11021	CHS	49398	1
19563461	2.8555708942406683	19533176	5.26437	JPT	30285	3
19572414	2.824202778638112	19533176	5.26437	JPT	39238	3
127942528	2.7868099437361207	127919960	5.21088	KHV	22568	1
27104438	2.78642348006281	27081833	5.14805	JPT	22605	1
19560219	2.769816659452315	19533176	5.26437	JPT	27043	3
146351600	2.76383346365744	146369589	5.14881	CHS	17989	1
19566716	2.7571176693980246	19533176	5.26437	JPT	33540	3
27105421	2.7511337586893663	27081833	5.14805	JPT	23588	1
97932702	2.7405857985892528	97977161	5.11021	CHS	44459	1
142126320	2.7290731464315248	142175865	5.61967	JPT	49545	2
146364725	2.7134779833279072	146369589	5.14881	CHS	4864	1
20255133	2.712788857460419	20230922	7.42346	CHS	24211	2
97934917	2.670863114345961	97977161	5.11021	CHS	42244	1
97934216	2.6594867135119973	97977161	5.11021	CHS	42945	1
27106761	2.6554535485102995	27081833	5.14805	JPT	24928	1
27104438	2.5833908201212434	27081833	5.14805	JPT	22605	1
27105820	2.5697955732130207	27081833	5.14805	JPT	23987	1
