chr	n_variants	mean_iHS	median_iHS	sd_iHS	mean_std_iHS	median_std_iHS	sd_std_iHS	max_abs_std_iHS	q99	q995	q999	chr_type
1	572137	-0.6529795275397239	-0.678617	1.4174760619093847	-1.3293445306264396e-09	0.037516	1.0000008733967183	9.36275	3.2564048000000008	3.8572187999999956	5.159709120000005	Autosome
2	602875	-0.6498290993607845	-0.66225	1.4401229285103603	8.7834963218289e-10	0.0406205	1.0000008252829455	10.0219	3.3175026	3.950546700000005	5.426475880000161	Autosome
3	524980	-0.6793932921221791	-0.6970445000000001	1.4689439678014298	-7.589180153855027e-10	0.0444839	1.0000009584395169	8.67937	3.259043100000002	3.82301	5.225157420000464	Autosome
4	542417	-0.6699089741452123	-0.685989	1.4957587505225136	2.1074339118604114e-09	0.0425398	1.000000920794695	8.9689	3.367408799999998	4.004204400000024	5.309297520000001	Autosome
5	465309	-0.6719454406211143	-0.680884	1.4705286724472124	7.358452954172186e-10	0.0428065	1.0000010737055995	10.2063	3.4032383999999993	4.029079800000013	5.343165360000003	Autosome
6	488314	-0.688125927916199	-0.7100925	1.5615775202570916	-6.671388745166207e-10	0.0403634	1.0000010244789141	8.787	3.3511708999999996	3.900355749999999	5.379338750000043	Autosome
7	427962	-0.663243141020469	-0.67822	1.4763646568850028	9.634009293390478e-10	0.03863305	1.0000011598642793	8.34751	3.3564697000000034	3.9876219500000003	5.4655627300004825	Autosome
8	405371	-0.6760998246204946	-0.681917	1.486648101205632	1.2764407429380833e-09	0.0450753	1.0000012294014098	8.72105	3.3766619999999996	3.99677300000001	5.418382500000047	Autosome
9	328121	-0.695724467382127	-0.690592	1.4810180205123835	-2.271442457649879e-09	0.051805	1.0000015268448985	9.73968	3.342825999999997	3.9523580000000007	5.266061200000643	Autosome
10	376250	-0.6684836370844033	-0.6843684999999999	1.4717623583230481	-3.2522883434451967e-09	0.041179450000000006	1.0000013299270305	10.1179	3.3271202	4.013885900000001	5.55207942000021	Autosome
11	350140	-0.6752246130408255	-0.6819489999999999	1.5042695443244025	2.6605910183944815e-09	0.0473288	1.0000014189043227	10.2348	3.413723299999993	4.014474549999997	5.366993280000017	Autosome
12	354181	-0.6950085364728028	-0.708276	1.5168098893492292	-1.828619398766841e-09	0.0469672	1.0000014200372	9.45099	3.433008000000002	4.034626999999966	5.33951300000001	Autosome
13	275100	-0.6651367834211381	-0.6856789999999999	1.5050232932299519	6.396218464752221e-10	0.04013025	1.0000018158411033	10.4259	3.4893616000000014	4.230101800000002	5.686644600000058	Autosome
14	238378	-0.7011972884087465	-0.7100895	1.517999193745481	-5.3433316630000384e-09	0.04951015	1.0000020898155761	9.13589	3.3940723000000004	4.054526599999992	5.414182260000056	Autosome
15	212381	-0.6522127933826004	-0.654122	1.4653658854828504	4.46035483562997e-09	0.0442991	1.000002364863103	9.49547	3.371302000000006	4.111174000000018	5.762329400000095	Autosome
16	229838	-0.6534832086427678	-0.648419	1.4458168277818815	2.5489303790322093e-09	0.048517450000000004	1.0000021729770918	9.9708	3.3340939000000027	3.9851463500000004	5.419730750000007	Autosome
17	203064	-0.586216873104278	-0.5900525000000001	1.4257628218273553	1.351460869945229e-09	0.04160355	1.0000024603515592	9.14547	3.4276412999999932	4.025051949999995	5.44305507000021	Autosome
18	215555	-0.6721111508590449	-0.682258	1.479030504977	-6.655971788696258e-10	0.047014	1.0000023040232355	8.6698	3.43095	4.108391400000001	5.472693380000001	Autosome
19	160750	-0.559698813910439	-0.5806285	1.407099664050708	-3.663954585758158e-09	0.034020999999999996	1.000003106659245	9.65036	3.482755000000023	4.240760600000001	5.689623820000162	Autosome
20	165152	-0.6266410072609082	-0.621826	1.430153138858918	3.4861761261794153e-09	0.0479158	1.0000030360857823	9.02747	3.3694532999999987	4.070471049999999	5.60186	Autosome
21	85486	-0.7955363308026823	-0.7826615	1.340358781108873	-6.105695558977891e-09	0.0414376	1.0000058807117682	9.69053	3.2302544999999836	3.8030024999999923	5.3909390500001715	Autosome
22	95259	-0.6344721769289059	-0.636228	1.4785278160353894	-5.3778959532066365e-11	0.0411803	1.0000052416220095	8.63319	3.3945755999999974	4.150374500000013	5.793898800000019	Autosome
X	463227	5.2777452236674325	7.02914	6.469448238203742	-3.743747774902815e-09	-0.0195999	1.0000010809182345	9.66407	3.1312469999999997	3.6528986999999953	4.789862080000032	X chromosome
