pos	relate_score	population
10849056	5.43636	MXL
10855104	5.43636	MXL
20744217	5.22069	MXL
20744250	5.22069	MXL
44935047	5.11298	MXL
44937468	5.11298	MXL
95502343	5.34448	MXL
99333094	5.24697	MXL
99348656	5.24697	MXL
140275944	5.13933	MXL
140278965	5.13933	MXL
140295182	6.60767	MXL
140297073	6.60767	MXL
140302314	6.60767	MXL
140303549	6.60767	MXL
140306797	6.60767	MXL
140319351	6.60767	MXL
140322818	6.60767	MXL
140327772	6.60767	MXL
140332433	6.60767	MXL
140336145	6.60767	MXL
140348544	6.60767	MXL
140349213	6.60767	MXL
140354401	6.60767	MXL
140355854	6.60767	MXL
140366663	6.60767	MXL
140371547	6.60767	MXL
140375483	6.60767	MXL
140383011	6.60767	MXL
140398043	6.60767	MXL
140400535	6.60767	MXL
140400550	6.60767	MXL
140413640	6.60767	MXL
140422037	6.60767	MXL
140423650	6.60767	MXL
140426799	6.60767	MXL
140427857	6.60767	MXL
140428840	6.60767	MXL
140429913	6.60767	MXL
140432437	6.60767	MXL
140433015	6.60767	MXL
140435468	6.60767	MXL
140439930	6.60767	MXL
140441617	6.60767	MXL
140449308	6.60767	MXL
140450695	6.60767	MXL
140451085	6.60767	MXL
140453784	6.60767	MXL
140456737	6.60767	MXL
