chr	n_variants	mean_iHS	median_iHS	sd_iHS	mean_std_iHS	median_std_iHS	sd_std_iHS	max_abs_std_iHS	q99	q995	q999	chr_type
1	582463	-0.707380633956749	-0.730232	1.523269515662173	7.659714691002269e-10	0.0394331	1.0000008570067511	9.38319	3.2235728000000003	3.7781668999999996	5.020454400000223	Autosome
2	616428	-0.714902877667082	-0.7208570000000001	1.5650899409907684	-8.304553499744667e-10	0.042879	1.0000008070253483	9.74354	3.28995	3.897023799999999	5.237139140000199	Autosome
3	533555	-0.7424657007532045	-0.75397	1.5827963152463085	-1.899993330843374e-09	0.0462338	1.0000009390771025	9.31743	3.2371545999999998	3.8119774999999767	5.296853280000077	Autosome
4	551928	-0.7240655545976658	-0.7334455	1.5961934909226865	-8.013878722977829e-11	0.047491500000000006	1.000000906307117	8.29696	3.3455956999999983	3.94934365	5.207146800000146	Autosome
5	475637	-0.7320837488924377	-0.738735	1.5898160471951892	1.1875665864894676e-09	0.0439217	1.0000010567951818	9.50712	3.3751780000000062	4.048046200000006	5.31970752000019	Autosome
6	500030	-0.7614680564366283	-0.7810865	1.6981466165981676	1.8082026887051174e-09	0.0477702	1.0000010035137077	8.92841	3.344534900000004	3.8849400999999513	5.165823320000071	Autosome
7	435495	-0.7196721855156973	-0.72927	1.5847264480142262	-7.401418617295958e-10	0.0415881	1.0000011511403963	8.90575	3.3239218	3.895365999999994	5.242967940000287	Autosome
8	414882	-0.7394975353085605	-0.7368665000000001	1.6005833229392592	-1.7661112006863475e-09	0.048488050000000005	1.000001213518869	8.93053	3.335470800000001	3.941336749999982	5.247245220000025	Autosome
9	331986	-0.7528030543979488	-0.735042	1.5938263115081124	1.0823947693330054e-09	0.0520466	1.0000015086999463	9.07856	3.28903	3.8720220000000016	5.196782650000022	Autosome
10	382775	-0.7267235999393756	-0.737215	1.5892854019233262	4.825904236423021e-10	0.0454918	1.0000013033703161	10.1459	3.2933508000000007	3.9335152000000004	5.40083814000001	Autosome
11	359365	-0.7410703764922324	-0.745001	1.6170513262357766	-2.5344357700947355e-09	0.0510023	1.0000013894351942	8.47777	3.3657311999999977	3.932272199999991	5.198490160000117	Autosome
12	361218	-0.7506234014879078	-0.7585845	1.6198348365986102	-2.1670485961254098e-09	0.051062300000000005	1.0000013898207276	8.66646	3.396076900000007	3.994421499999998	5.106935620000116	Autosome
13	280126	-0.7271652241477858	-0.7475594999999999	1.6065397448614382	-1.161769390435468e-09	0.045902399999999996	1.0000017880995844	8.17708	3.48911	4.134895	5.427217500000043	Autosome
14	243482	-0.7716731346690896	-0.765582	1.6423654141032862	-2.1073535628629584e-09	0.05219305	1.0000020553855833	9.16515	3.3514480000000004	3.9256171	5.258056710000003	Autosome
15	216294	-0.7053216877147389	-0.6991765	1.5710158579000746	-4.0213310509536175e-11	0.0436443	1.0000023044146393	9.0124	3.3367569000000046	4.001009050000006	5.539796130000422	Autosome
16	235397	-0.7109282580469578	-0.70196	1.5505033044966132	2.0321306548916962e-09	0.048801	1.0000021107847323	8.79786	3.3170112	3.964666399999991	5.184101240000028	Autosome
17	208467	-0.6504700636769762	-0.643691	1.5295204078954001	-1.0740557501394515e-09	0.0442337	1.0000024052339556	7.85327	3.365300999999998	3.963651400000005	5.23744710000001	Autosome
18	219678	-0.7240189332010246	-0.7246575	1.5804828474969783	8.488002449168411e-10	0.050037200000000004	1.00000226262097	8.66204	3.3354876000000013	3.968159249999982	5.353611610000102	Autosome
19	163997	-0.615039257741258	-0.626359	1.495869993027593	-5.940186162041494e-09	0.0388085	1.0000030542079934	10.19	3.4137412000000045	4.093636199999991	5.395546840000104	Autosome
20	169460	-0.6876566341611365	-0.6822385	1.546594360129277	1.7175969526895319e-09	0.047728	1.0000029476012857	8.5481	3.3843981000000016	4.098255099999998	5.479684140000067	Autosome
21	86532	-0.8594721690478933	-0.8300365	1.446825842761383	7.890505287322711e-10	0.032114550000000006	1.000005768867364	7.50431	3.1825590000000026	3.8014252	5.37561	Autosome
22	98577	-0.6933961418568926	-0.691489	1.5891572966194552	3.6732534973303236e-09	0.0463394	1.0000050612594533	8.01338	3.4334784000000007	4.117914399999993	5.542475520000048	Autosome
X	423249	9.540850445340686	9.41368	2.6509247590381833	9.132015810100686e-10	-0.163853	1.0000011900501937	6.28641	3.024351200000001	3.456353600000001	4.310696160000114	X chromosome
