gene_name	ACB	ASW	ESN	GWD	LWK	MSL	YRI	n_populations	populations
DMD	1	0	0	1	1	1	0	4	ACB,GWD,LWK,MSL
ENSG00000250349	0	1	1	0	0	1	1	4	ASW,ESN,MSL,YRI
FAM9B	1	0	1	1	0	0	1	4	ACB,ESN,GWD,YRI
NXT2	1	0	1	1	0	0	1	4	ACB,ESN,GWD,YRI
PCDH11X	1	1	0	1	0	0	1	4	ACB,ASW,GWD,YRI
RTL4	1	0	1	1	0	0	1	4	ACB,ESN,GWD,YRI
TRPC5	1	0	1	1	0	0	1	4	ACB,ESN,GWD,YRI
CPXCR1	0	0	1	1	0	0	1	3	ESN,GWD,YRI
MID1	1	0	1	0	0	1	0	3	ACB,ESN,MSL
OTC	0	0	1	0	0	1	1	3	ESN,MSL,YRI
PGRMC1	1	0	1	0	0	1	0	3	ACB,ESN,MSL
RPGR	0	0	1	0	0	1	1	3	ESN,MSL,YRI
ACSL4	0	0	0	1	0	0	1	2	GWD,YRI
CFAP47	1	1	0	0	0	0	0	2	ACB,ASW
CITED1	1	0	0	0	0	0	1	2	ACB,YRI
ENSG00000285547	1	0	0	0	0	0	1	2	ACB,YRI
HDAC8	1	0	0	0	0	0	1	2	ACB,YRI
KCNE5	0	0	0	1	0	0	1	2	GWD,YRI
PIN4	1	0	0	0	0	0	1	2	ACB,YRI
PRDX4	0	0	0	1	0	0	1	2	GWD,YRI
RPS4X	1	0	0	0	0	0	1	2	ACB,YRI
STS	0	0	1	0	0	0	1	2	ESN,YRI
TEX11	0	0	1	0	0	0	1	2	ESN,YRI
ACOT9	0	1	0	0	0	0	0	1	ASW
AGTR2	0	1	0	0	0	0	0	1	ASW
APOO	0	1	0	0	0	0	0	1	ASW
CLDN34	0	1	0	0	0	0	0	1	ASW
CYBB	0	1	0	0	0	0	0	1	ASW
DACH2	0	0	0	0	0	1	0	1	MSL
DYNLT3	0	1	0	0	0	0	0	1	ASW
EFNB1	0	0	0	0	0	1	0	1	MSL
ENSG00000288706	0	1	0	0	0	0	0	1	ASW
FGF13	0	1	0	0	0	0	0	1	ASW
GK	0	0	0	0	1	0	0	1	LWK
GPR143	0	1	0	0	0	0	0	1	ASW
HTR2C	0	0	0	1	0	0	0	1	GWD
IQSEC2	0	1	0	0	0	0	0	1	ASW
LHFPL1	0	1	0	0	0	0	0	1	ASW
MAGEB16	0	1	0	0	0	0	0	1	ASW
NKAP	0	0	0	0	0	1	0	1	MSL
NLGN4X	0	0	0	1	0	0	0	1	GWD
PUDP	0	0	0	0	0	0	1	1	YRI
RHOXF1P3	0	0	0	0	0	1	0	1	MSL
RPL39	0	1	0	0	0	0	0	1	ASW
RRAGB	0	0	0	0	1	0	0	1	LWK
SAT1	0	1	0	0	0	0	0	1	ASW
SEPTIN6	0	1	0	0	0	0	0	1	ASW
SHROOM2	0	1	0	0	0	0	0	1	ASW
SHROOM4	0	1	0	0	0	0	0	1	ASW
SOWAHD	0	1	0	0	0	0	0	1	ASW
SPANXD	0	0	0	0	0	0	1	1	YRI
SPRY3	0	1	0	0	0	0	0	1	ASW
TDGF1P3	0	0	1	0	0	0	0	1	ESN
TENM1	0	1	0	0	0	0	0	1	ASW
TMLHE	0	1	0	0	0	0	0	1	ASW
USP9X	0	0	0	0	1	0	0	1	LWK
WDR44	1	0	0	0	0	0	0	1	ACB
ZCCHC13	0	0	0	0	0	1	0	1	MSL
ZFX	0	0	0	0	1	0	0	1	LWK
ZMAT1	0	0	0	0	0	1	0	1	MSL
