chr	chr_type	n_variants	q99	q995	q999
1	Autosome	537832	3.2847879999999887	3.9536540499999866	5.412969710000065
2	Autosome	565415	3.3263417999999985	4.082516900000068	5.910892660000039
3	Autosome	497221	3.273325999999996	3.8633730000000037	5.534809000000015
4	Autosome	509723	3.4016569999999953	4.1052453000000035	5.741810580000005
5	Autosome	438755	3.374220200000008	4.076418099999992	5.733020380000023
6	Autosome	466050	3.477951400000001	4.1644459000000005	5.926921400000083
7	Autosome	403920	3.3757766999999976	4.1653440499999395	5.844613930000098
8	Autosome	377140	3.3946182999999994	4.080307749999996	5.832852200000342
9	Autosome	309296	3.3489104999999975	4.052451750000007	5.700852500000008
10	Autosome	357212	3.323552300000015	4.01138505	5.836250030000157
11	Autosome	329406	3.427675000000006	4.153013249999985	5.829300650000129
12	Autosome	337590	3.4818422	4.234047049999997	5.756212520000029
13	Autosome	257605	3.56719	4.4117020000000045	6.36782596000026
14	Autosome	224079	3.362082600000001	4.146547799999972	5.986064260000006
15	Autosome	197242	3.4128279999999993	4.273329750000001	5.9880144800000545
16	Autosome	212743	3.2834415999999997	4.05224890000002	5.902755800000003
17	Autosome	187848	3.523806499999998	4.253207199999993	5.819709180000001
18	Autosome	201403	3.423764600000003	4.20268939999999	5.864562420000022
19	Autosome	148924	3.3822338999999784	4.2505144000000135	6.195180850000213
20	Autosome	152230	3.3766058999999897	4.09131275	6.063339320000086
21	Autosome	78618	3.024502400000002	3.6202786499999915	5.524438120000003
22	Autosome	88841	3.3772580000000105	4.188098000000001	6.123054400000054
X	X chromosome	264103	3.544748200000001	4.110137899999994	5.26125240000017
