chr	n_variants	mean_iHS	median_iHS	sd_iHS	mean_std_iHS	median_std_iHS	sd_std_iHS	max_abs_std_iHS	q99	q995	q999	chr_type
1	537832	-0.5522311164353666	-0.5966315	1.2679755277232085	6.375087158818671e-10	0.0396596	1.0000009298349244	10.6196	3.2847879999999887	3.9536540499999866	5.412969710000065	Autosome
2	565415	-0.5513698785609473	-0.581335	1.2914483219986432	2.611110706750813e-09	0.0417275	1.000000888622831	10.2357	3.3263417999999985	4.082516900000068	5.910892660000039	Autosome
3	497221	-0.5772581229682451	-0.621935	1.3143794895253218	-7.427553350247584e-10	0.0407382	1.000001005905596	11.3531	3.273325999999996	3.8633730000000037	5.534809000000015	Autosome
4	509723	-0.5679860130278866	-0.609606	1.3390900881882808	1.1054212395654231e-09	0.0349689	1.0000009807884485	11.3093	3.4016569999999953	4.1052453000000035	5.741810580000005	Autosome
5	438755	-0.5662558182630458	-0.600862	1.3188438481699707	2.733994699420717e-10	0.0405721	1.0000011409180063	9.92451	3.374220200000008	4.076418099999992	5.733020380000023	Autosome
6	466050	-0.5968664472393155	-0.6367054999999999	1.4272122672381509	3.378396529631443e-10	0.03881455	1.000001081890281	9.9039	3.477951400000001	4.1644459000000005	5.926921400000083	Autosome
7	403920	-0.5659856509945962	-0.6057405	1.323440282732002	6.728100337902289e-10	0.035760150000000004	1.0000012425488	10.14	3.3757766999999976	4.1653440499999395	5.844613930000098	Autosome
8	377140	-0.5684914941765253	-0.6024965	1.3140424944487683	-6.828600916985576e-09	0.038988350000000005	1.000001339431178	10.8314	3.3946182999999994	4.080307749999996	5.832852200000342	Autosome
9	309296	-0.5901274063258367	-0.6198115	1.329728052079878	4.8269331962780605e-09	0.0446808	1.0000016188782213	10.0268	3.3489104999999975	4.052451750000007	5.700852500000008	Autosome
10	357212	-0.5759055823522838	-0.6196805000000001	1.3060188044838934	1.656902229441984e-09	0.03908285	1.0000014006479654	10.7202	3.323552300000015	4.01138505	5.836250030000157	Autosome
11	329406	-0.5700304233909499	-0.5973364999999999	1.3467698696736987	-8.581296928152804e-10	0.04417985	1.0000015216342204	11.0682	3.427675000000006	4.153013249999985	5.829300650000129	Autosome
12	337590	-0.6059079095097781	-0.6441749999999999	1.3825950296341274	-1.4795337529038876e-09	0.047997	1.0000014780701783	9.85839	3.4818422	4.234047049999997	5.756212520000029	Autosome
13	257605	-0.5626676155508132	-0.604505	1.3534744261530667	-2.970805805726494e-09	0.0392641	1.0000019299737046	9.30604	3.56719	4.4117020000000045	6.36782596000026	Autosome
14	224079	-0.5921647102860081	-0.627266	1.3440773047302161	3.2248686842962183e-09	0.0439509	1.0000022381911002	8.51921	3.362082600000001	4.146547799999972	5.986064260000006	Autosome
15	197242	-0.5482646207115563	-0.578728	1.2974456695335945	2.159636742677018e-09	0.03907645	1.0000025292422487	10.0665	3.4128279999999993	4.273329750000001	5.9880144800000545	Autosome
16	212743	-0.5470567052915725	-0.57406	1.292829668071416	-1.5237958026562814e-09	0.0390728	1.0000023497606114	10.3716	3.2834415999999997	4.05224890000002	5.902755800000003	Autosome
17	187848	-0.48979523144877773	-0.5124405000000001	1.2869198254468979	2.185809856373283e-09	0.035968650000000005	1.0000026535696784	10.3701	3.523806499999998	4.253207199999993	5.819709180000001	Autosome
18	201403	-0.5689996195446031	-0.608177	1.323402921387154	4.9860701170696925e-09	0.0424254	1.0000024838561248	9.61565	3.423764600000003	4.20268939999999	5.864562420000022	Autosome
19	148924	-0.48613994253098963	-0.5320345	1.2590397451711173	-1.2924482268292085e-09	0.03173255	1.0000033374637414	12.3193	3.3822338999999784	4.2505144000000135	6.195180850000213	Autosome
20	152230	-0.5187245931423393	-0.545299	1.2641634109324196	3.3314760545724544e-09	0.0325813	1.0000032837634922	11.9607	3.3766058999999897	4.09131275	6.063339320000086	Autosome
21	78618	-0.6604008294690631	-0.669641	1.1518190744282928	-6.477548395496528e-09	0.0270664	1.0000063549038691	9.96432	3.024502400000002	3.6202786499999915	5.524438120000003	Autosome
22	88841	-0.5456171669966158	-0.568213	1.314697541401935	-7.9130089710092e-09	0.0456096	1.0000056227084686	9.76919	3.3772580000000105	4.188098000000001	6.123054400000054	Autosome
X	264103	-0.573049030697198	-0.526249	1.5970629815170385	3.6830971351946e-10	0.0463123	1.0000018847894647	8.26396	3.544748200000001	4.110137899999994	5.26125240000017	X chromosome
