gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
ENSG00000285756	ENSG00000285756	lncRNA	X	3817528	3937855	-	subject	flanking	X	3986368	4005376	19008	21	7.82942
RPL24P9	ENSG00000225722	processed_pseudogene	X	3953056	3953561	+	subject	overlapping	X	3986368	4005376	19008	21	7.82942
MTND6P12	ENSG00000235039	processed_pseudogene	X	5168918	5169439	-	subject	overlapping	X	5116113	5157154	41041	129	4.82147
MTCYBP12	ENSG00000226313	processed_pseudogene	X	5169512	5170645	+	subject	overlapping	X	5116113	5157154	41041	129	4.82147
FAM9B	ENSG00000177138	protein_coding	X	9024232	9295682	-	subject	contains_region	X	9267087	9277623	10536	21	6.81234
ENSG00000228543	ENSG00000228543	lncRNA	X	9249920	9275206	+	subject	overlapping	X	9267087	9277623	10536	21	6.81234
MID1	ENSG00000101871	protein_coding	X	10445310	10833654	-	subject	contains_region	X	10777644	10804394	26750	49	5.93112
HCCS-DT	ENSG00000234129	lncRNA	X	10847578	11111220	-	subject	flanking	X	10777644	10804394	26750	49	5.93112
DMD	ENSG00000198947	protein_coding	X	31097677	33339609	-	subject	contains_region	X	31140522	31155583	15061	20	6.53064
CFAP47	ENSG00000165164	protein_coding	X	35919734	36385317	+	subject	contains_region	X	36261474	36275415	13941	23	4.46538
HMGB1P16	ENSG00000229384	processed_pseudogene	X	36211096	36211635	+	subject	flanking	X	36261474	36275415	13941	23	4.46538
ENSG00000286475	ENSG00000286475	lncRNA	X	36678678	36866689	-	subject	flanking	X	36617207	36641498	24291	36	4.68777
PIN4	ENSG00000102309	protein_coding	X	72181353	72302926	+	subject	flanking	X	72291274	72306286	15012	21	4.97585
RPS4X	ENSG00000198034	protein_coding	X	72255679	72277248	-	escapee	overlapping	X	72291274	72306286	15012	21	4.97585
Y_RNA	ENSG00000238926	misc_RNA	X	72284945	72285045	-	subject	overlapping	X	72291274	72306286	15012	21	4.97585
CITED1	ENSG00000125931	protein_coding	X	72301638	72307187	-	subject	overlapping	X	72291274	72306286	15012	21	4.97585
ENSG00000285547	ENSG00000285547	protein_coding	X	72301691	72572843	-	subject	flanking	X	72291274	72306286	15012	21	4.97585
HDAC8	ENSG00000147099	protein_coding	X	72329516	72573101	-	subject	flanking	X	72291274	72306286	15012	21	4.97585
ENSG00000271457	ENSG00000271457	processed_pseudogene	X	87143854	87144748	-	subject	overlapping	X	87188715	87204161	15446	24	4.68815
ENSG00000200422	ENSG00000200422	snoRNA	X	87146733	87146804	+	subject	overlapping	X	87188715	87204161	15446	24	4.68815
PCDH11X	ENSG00000102290	protein_coding	X	91779261	92623230	+	subject	contains_region	X	92330014	92343531	13517	21	5.3834
LINC03077	ENSG00000281566	lncRNA	X	98450688	98892061	+	subject	contains_region	X	98728973	98748057	19084	21	4.97875
NXT2	ENSG00000101888	protein_coding	X	109535781	109544698	+	subject	contained	X	109534950	109570275	35325	36	5.34711
MFN1P1	ENSG00000233874	processed_pseudogene	X	109568478	109570289	+	subject	overlapping	X	109534950	109570275	35325	36	5.34711
TRPC5	ENSG00000072315	protein_coding	X	111768011	112082776	-	subject	flanking	X	112113682	112129705	16023	51	5.15112
RTL4	ENSG00000187823	protein_coding	X	112083016	112457514	+	subject	contains_region	X	112113682	112129705	16023	51	5.15112
RNU6-1323P	ENSG00000206752	snRNA	X	116850839	116850945	-	subject	overlapping	X	116800532	116815052	14520	22	7.48231
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117350401	117363290	12889	41	6.18834
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117350401	117363290	12889	41	6.18834
ENSG00000238066	ENSG00000238066	processed_pseudogene	X	117397938	117398206	+	subject	overlapping	X	117424856	117451220	26364	75	5.91166
TCERG1P1	ENSG00000224314	processed_pseudogene	X	117399452	117400081	+	subject	overlapping	X	117424856	117451220	26364	75	5.91166
WDR44	ENSG00000131725	protein_coding	X	118346073	118449961	+	subject	contains_region	X	118424299	118445236	20937	37	5.23401
MIR1277	ENSG00000221463	miRNA	X	118386394	118386471	+	subject	overlapping	X	118424299	118445236	20937	37	5.23401
PGRMC1	ENSG00000101856	protein_coding	X	119236245	119244466	+	subject	flanking	X	119293900	119302792	8892	21	5.23964
AKAP17BP	ENSG00000214992	unprocessed_pseudogene	X	119249346	119257667	-	subject	overlapping	X	119293900	119302792	8892	21	5.23964
ENSG00000230392	ENSG00000230392	lncRNA	X	119291529	119335610	+	subject	contains_region	X	119293900	119302792	8892	21	5.23964
ENSG00000234748	ENSG00000234748	processed_pseudogene	X	146537535	146538048	+	subject	overlapping	X	146480084	146488983	8899	38	4.18636
