gene_name	CLM	MXL	PEL	PUR	n_populations	populations
DMD	1	1	0	1	3	CLM,MXL,PUR
USP9X	1	1	0	1	3	CLM,MXL,PUR
EDA	1	1	0	0	2	CLM,MXL
KDM6A	1	1	0	0	2	CLM,MXL
ZFX	1	0	0	1	2	CLM,PUR
ABCB7	0	1	0	0	1	MXL
ADGRG4	0	1	0	0	1	MXL
ARHGEF9	0	1	0	0	1	MXL
ATP11C	0	1	0	0	1	MXL
ATP6AP1	0	1	0	0	1	MXL
BEX2	0	0	1	0	1	PEL
BRWD3	0	1	0	0	1	MXL
DACH2	0	0	0	1	1	PUR
DIAPH2	0	1	0	0	1	MXL
DIPK2B	0	1	0	0	1	MXL
DNASE1L1	0	1	0	0	1	MXL
EMD	0	1	0	0	1	MXL
ENOX2	0	1	0	0	1	MXL
ENSG00000250349	0	1	0	0	1	MXL
F9	1	0	0	0	1	CLM
FAAH2	0	1	0	0	1	MXL
FAM47A	0	1	0	0	1	MXL
FAM50A	0	1	0	0	1	MXL
GDI1	0	1	0	0	1	MXL
GPC3	0	1	0	0	1	MXL
GRIPAP1	0	1	0	0	1	MXL
IL1RAPL1	1	0	0	0	1	CLM
IL1RAPL2	0	1	0	0	1	MXL
KCND1	0	1	0	0	1	MXL
LAGE3	0	1	0	0	1	MXL
LPAR4	0	1	0	0	1	MXL
MAGEA1	0	1	0	0	1	MXL
MAGED1	0	1	0	0	1	MXL
MID1	0	1	0	0	1	MXL
MID2	0	1	0	0	1	MXL
NAP1L2	0	1	0	0	1	MXL
NCBP2L	0	1	0	0	1	MXL
OTUD5	0	1	0	0	1	MXL
P2RY10	0	1	0	0	1	MXL
PGRMC1	0	0	1	0	1	PEL
PIM2	0	1	0	0	1	MXL
PLXNA3	0	1	0	0	1	MXL
PQBP1	0	1	0	0	1	MXL
PRRG1	0	1	0	0	1	MXL
PUDP	0	1	0	0	1	MXL
RADX	0	1	0	0	1	MXL
RNF128	0	1	0	0	1	MXL
RPL10	0	1	0	0	1	MXL
RRAGB	0	1	0	0	1	MXL
RTL3	0	1	0	0	1	MXL
SLC10A3	0	1	0	0	1	MXL
SLC35A2	0	1	0	0	1	MXL
STS	0	1	0	0	1	MXL
TAFAZZIN	0	1	0	0	1	MXL
TCEAL5	0	0	1	0	1	PEL
TCEAL7	0	0	1	0	1	PEL
TCEAL8	0	0	1	0	1	PEL
TIMM17B	0	1	0	0	1	MXL
TSC22D3	0	1	0	0	1	MXL
UBL4A	0	1	0	0	1	MXL
