population	n_variants	mean	median	std	skewness	kurtosis	shapiro_w	shapiro_p	ks_d	ks_p	anderson_stat
YRI	318469	2.446948401698079e-09	0.0729453	0.9999999969248408	-0.48010546418216804	2.8446643980321262	0.9608055657476486	9.368523754804923e-35	0.05082066651415529	0.0	2165.9005626800936
LWK	214745	-5.229442570867371e-09	0.0412771	0.9999999984162955	-0.4309454900765243	5.3830629785811634	0.933237343681732	1.1795930636827267e-42	0.051721449310480394	0.0	1724.5175532394787
GWD	324076	-2.7831773704159204e-09	0.0824183	0.99999999646434	-0.5019769036787792	2.8884449797476206	0.950303980171214	3.587077735807227e-38	0.050661965435168155	0.0	2310.5417408144567
MSL	268286	3.4893742521033094e-09	0.0528205	1.0000000077243163	-0.4160865712271968	3.1881842151351103	0.950439861882168	3.9364576346275673e-38	0.048780588214230286	0.0	1731.125523796305
ESN	305143	3.49812480100523e-10	0.0675382	1.0000000058469585	-0.4852136297887244	2.991067906728836	0.9700644937957534	4.443619733646421e-31	0.049196526366679094	0.0	2014.5117221887922
ASW	344891						0.8607810131105842	6.106424541378332e-55			
ACB	300191	-2.8210883404373236e-09	0.0661301	1.0000000091973862	-0.45870583970227446	3.1084958942535046	0.9661210863938913	9.693804319575252e-33	0.05023821018928959	0.0	2078.2665736202616
CEU	243199	-5.8071468224545076e-09	0.0332054	1.000000007362901	-0.3906837104494316	4.115719853091525	0.9531931912325092	2.708117236161436e-37	0.047447906162630754	0.0	1515.0996914464922
TSI	118										
FIN	206044	7.359941905567305e-09	0.04494835	1.0000000130245987	-0.4914700388571131	5.520623300824502	0.9377471656679873	1.436217863835806e-41	0.05500897595873663	0.0	1835.353466810775
GBR	201212	-3.1028831661233695e-09	0.04249175	0.9999999949114314	-0.48472739153895034	6.1172040918551165	0.9354755475976406	4.0066983216184465e-42	0.056342163583282506	0.0	1946.8566456076805
IBS	240000	8.275203346859901e-10	0.042091550000000005	0.9999999932962644	-0.40835540010661964	3.911580308948569	0.9419083601524808	1.6467950570718735e-40	0.0515025545815061	0.0	1714.3781933689897
CHB	272666	-1.6107524618065222e-09	0.0494918	0.9999999943096063	-0.4023575912869584	2.9501504109234746	0.9630422813121979	6.188678857543424e-34	0.04617714969949571	0.0	1574.2168794418685
JPT	313216	5.0743458552789375e-09	0.0724033	0.999999996225755	-0.44241879701169634	2.5165876109268615	0.9664464738558893	1.311252289664803e-32	0.04796585916272966	0.0	1923.0148098198697
CHS	207124	-6.7986780846759185e-09	0.0449653	1.0000000027005542	-0.4079095570099371	5.091405619897364	0.9484546885042645	1.0326966050162301e-38	0.05271428240059978	0.0	1652.8840657221444
CDX	262079	-4.461854964030649e-09	0.0497126	0.9999999990762171	-0.40698155291819904	3.308641674104468	0.9665383216125096	1.428558223291009e-32	0.04802073115474828	0.0	1647.7470230257604
KHV	268472	5.570124184707926e-09	0.0460062	1.0000000032942786	-0.3836323079681741	3.1265616572754054	0.9652650011011571	4.4256586532851825e-33	0.04645797153886763	0.0	1536.5049352153437
GIH	119										
PJL	305287	2.715962683628321e-09	0.069079	1.0000000026107518	-0.4632446095436476	2.895603484703151	0.963592396986113	9.98201755737593e-34	0.04912863150821001	0.0	2049.182036930346
BEB	215058	-3.7049600561472337e-09	0.0446173	0.9999999952832808	-0.48183117983349866	5.037818338769583	0.9484771652857618	1.0482179122057458e-38	0.05341443759215456	0.0	1738.1838228306733
STU	207903	-5.832600202808557e-09	0.0444048	0.9999999967090545	-0.46508909782190705	5.930120034080435	0.9406121461057557	7.590125941005127e-41	0.057318763275807316	0.0	1943.8340929094702
ITU	227560	-3.4364994304510765e-09	0.039489250000000004	1.0000000065679964	-0.400479236400359	4.188071515335273	0.9531077153245502	2.547315186774573e-37	0.051730431221581885	0.0	1756.9858041573316
MXL	430361	-2.5373314392561758e-09	-0.0851767	1.0000000074995181	0.46558144092850084	2.5295352507953908	0.9679431420825756	5.422993164151783e-32	0.04510779782252439	0.0	2273.4282229315722
PUR	230260	-1.9115862051851594e-09	0.04288765	1.000000003965286	-0.39438923090673533	4.094403234190626	0.9582050340313619	1.1575178969389637e-35	0.04847321642595859	0.0	1524.2501290295913
CLM	212941	3.3886095279958317e-10	0.0424346	1.0000000084966858	-0.4269216071421612	4.7822823743788865	0.950107898341991	3.137965027201187e-38	0.04983850767231651	0.0	1610.0639169674541
PEL	254209	-2.5977563722796553e-09	0.045462	1.0000000007214633	-0.4173308043950801	3.41459937023446	0.9608927159327124	1.006744626985738e-34	0.04669634382029675	0.0	1542.6040405230597
