gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
NLGN4X	ENSG00000146938	protein_coding	X	5840637	6228867	-	escapee	flanking	X	5794092	5808511	14419	26	5.73789
FAM9B	ENSG00000177138	protein_coding	X	9024232	9295682	-	subject	contains_region	X	9260843	9280754	19911	42	6.32057
MID1	ENSG00000101871	protein_coding	X	10445310	10833654	-	subject	contains_region	X	10780114	10789015	8901	25	4.15453
ENSG00000250349	ENSG00000250349	protein_coding	X	37349330	38687674	+	subject	contains_region	X	38293396	38312989	19593	31	5.58054
RPGR	ENSG00000156313	protein_coding	X	38269163	38327544	-	subject	contains_region	X	38293396	38312989	19593	31	5.58054
OTC	ENSG00000036473	protein_coding	X	38352586	38421446	+	subject	flanking	X	38293396	38312989	19593	31	5.58054
CPXCR1	ENSG00000147183	protein_coding	X	88747225	88754785	+	subject	overlapping	X	88759016	88773964	14948	20	5.66725
DIAPH2	ENSG00000147202	protein_coding	X	96684712	97604997	+	subject	contains_region	X	97194344	97211423	17079	21	5.56377
NXT2	ENSG00000101888	protein_coding	X	109535781	109544698	+	subject	overlapping	X	109541074	109575330	34256	44	5.1695
KCNE5	ENSG00000176076	protein_coding	X	109623700	109625172	-	subject	overlapping	X	109541074	109575330	34256	44	5.1695
ACSL4	ENSG00000068366	protein_coding	X	109624244	109733403	-	subject	flanking	X	109541074	109575330	34256	44	5.1695
TRPC5	ENSG00000072315	protein_coding	X	111768011	112082776	-	subject	flanking	X	112092473	112129705	37232	76	5.70363
RTL4	ENSG00000187823	protein_coding	X	112083016	112457514	+	subject	contains_region	X	112092473	112129705	37232	76	5.70363
