gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
PUDP	ENSG00000130021	protein_coding	X	6667865	7148158	-	subject	flanking	X	7193043	7220673	27630	33	4.19351
STS	ENSG00000101846	protein_coding	X	7147237	7804358	+	subject	contains_region	X	7193043	7220673	27630	33	4.19351
FAM9B	ENSG00000177138	protein_coding	X	9024232	9295682	-	subject	contains_region	X	9261742	9276963	15221	34	7.3189
PRDX4	ENSG00000123131	protein_coding	X	23664262	23686397	+	subject	flanking	X	23610435	23620988	10553	24	6.95906
ENSG00000250349	ENSG00000250349	protein_coding	X	37349330	38687674	+	subject	contains_region	X	38293150	38315518	22368	35	5.38741
RPGR	ENSG00000156313	protein_coding	X	38269163	38327544	-	subject	contains_region	X	38293150	38315518	22368	35	5.38741
OTC	ENSG00000036473	protein_coding	X	38352586	38421446	+	subject	flanking	X	38293150	38315518	22368	35	5.38741
TEX11	ENSG00000120498	protein_coding	X	70528940	70908711	-	subject	contains_region	X	70569566	70579254	9688	20	4.80936
PIN4	ENSG00000102309	protein_coding	X	72181353	72302926	+	subject	flanking	X	72290830	72310407	19577	25	5.72263
RPS4X	ENSG00000198034	protein_coding	X	72255679	72277248	-	escapee	overlapping	X	72290830	72310407	19577	25	5.72263
CITED1	ENSG00000125931	protein_coding	X	72301638	72307187	-	subject	contained	X	72290830	72310407	19577	25	5.72263
ENSG00000285547	ENSG00000285547	protein_coding	X	72301691	72572843	-	subject	flanking	X	72290830	72310407	19577	25	5.72263
HDAC8	ENSG00000147099	protein_coding	X	72329516	72573101	-	subject	flanking	X	72290830	72310407	19577	25	5.72263
CPXCR1	ENSG00000147183	protein_coding	X	88747225	88754785	+	subject	overlapping	X	88759016	88775289	16273	28	5.21042
PCDH11X	ENSG00000102290	protein_coding	X	91779261	92623230	+	subject	contains_region	X	92326768	92346602	19834	32	5.56493
NXT2	ENSG00000101888	protein_coding	X	109535781	109544698	+	subject	overlapping	X	109541074	109580172	39098	56	7.42877
KCNE5	ENSG00000176076	protein_coding	X	109623700	109625172	-	subject	overlapping	X	109541074	109580172	39098	56	7.42877
ACSL4	ENSG00000068366	protein_coding	X	109624244	109733403	-	subject	flanking	X	109541074	109580172	39098	56	7.42877
TRPC5	ENSG00000072315	protein_coding	X	111768011	112082776	-	subject	flanking	X	112100966	112129705	28739	61	5.26752
RTL4	ENSG00000187823	protein_coding	X	112083016	112457514	+	subject	contains_region	X	112100966	112129705	28739	61	5.26752
SPANXD	ENSG00000196406	protein_coding	X	141697411	141698739	-	subject	overlapping	X	141654097	141658984	4887	28	4.30104
