gene_name	gene_id	gene_type	chr	start	end	strand	x_inactivation_status	overlap_type	region_chr	region_start	region_end	region_length	region_n_snps	region_max_std_ihs
MTND6P12	ENSG00000235039	processed_pseudogene	X	5168918	5169439	-	subject	overlapping	X	5128242	5148726	20484	55	4.70225
MTCYBP12	ENSG00000226313	processed_pseudogene	X	5169512	5170645	+	subject	overlapping	X	5128242	5148726	20484	55	4.70225
PUDP	ENSG00000130021	protein_coding	X	6667865	7148158	-	subject	flanking	X	7193043	7220673	27630	33	4.19351
STS	ENSG00000101846	protein_coding	X	7147237	7804358	+	subject	contains_region	X	7193043	7220673	27630	33	4.19351
MIR4767	ENSG00000264268	miRNA	X	7147860	7147937	+	subject	overlapping	X	7193043	7220673	27630	33	4.19351
FAM9B	ENSG00000177138	protein_coding	X	9024232	9295682	-	subject	contains_region	X	9261742	9276963	15221	34	7.3189
ENSG00000228543	ENSG00000228543	lncRNA	X	9249920	9275206	+	subject	overlapping	X	9261742	9276963	15221	34	7.3189
ENSG00000235071	ENSG00000235071	processed_pseudogene	X	16474342	16475340	-	subject	overlapping	X	16514115	16537948	23833	32	5.88653
RN7SL658P	ENSG00000239333	misc_RNA	X	16539137	16539439	-	subject	overlapping	X	16514115	16537948	23833	32	5.88653
ENSG00000289084	ENSG00000289084	lncRNA	X	22259797	23293146	-	subject	contains_region	X	22858023	22867634	9611	25	5.29369
PRDX4	ENSG00000123131	protein_coding	X	23664262	23686397	+	subject	flanking	X	23610435	23620988	10553	24	6.95906
ENSG00000233928	ENSG00000233928	lncRNA	X	33726337	34346527	+	subject	contains_region	X	33831844	33852376	20532	26	5.45929
ENSG00000286475	ENSG00000286475	lncRNA	X	36678678	36866689	-	subject	flanking	X	36609177	36640391	31214	50	5.28551
ENSG00000250349	ENSG00000250349	protein_coding	X	37349330	38687674	+	subject	contains_region	X	38293150	38315518	22368	35	5.38741
RPGR	ENSG00000156313	protein_coding	X	38269163	38327544	-	subject	contains_region	X	38293150	38315518	22368	35	5.38741
ENSG00000252050	ENSG00000252050	snoRNA	X	38308112	38308241	-	subject	contained	X	38293150	38315518	22368	35	5.38741
OTC	ENSG00000036473	protein_coding	X	38352586	38421446	+	subject	flanking	X	38293150	38315518	22368	35	5.38741
TEX11	ENSG00000120498	protein_coding	X	70528940	70908711	-	subject	contains_region	X	70569566	70579254	9688	20	4.80936
PIN4	ENSG00000102309	protein_coding	X	72181353	72302926	+	subject	flanking	X	72290830	72310407	19577	25	5.72263
RPS4X	ENSG00000198034	protein_coding	X	72255679	72277248	-	escapee	overlapping	X	72290830	72310407	19577	25	5.72263
Y_RNA	ENSG00000238926	misc_RNA	X	72284945	72285045	-	subject	overlapping	X	72290830	72310407	19577	25	5.72263
CITED1	ENSG00000125931	protein_coding	X	72301638	72307187	-	subject	contained	X	72290830	72310407	19577	25	5.72263
ENSG00000285547	ENSG00000285547	protein_coding	X	72301691	72572843	-	subject	flanking	X	72290830	72310407	19577	25	5.72263
HDAC8	ENSG00000147099	protein_coding	X	72329516	72573101	-	subject	flanking	X	72290830	72310407	19577	25	5.72263
ENSG00000271457	ENSG00000271457	processed_pseudogene	X	87143854	87144748	-	subject	overlapping	X	87183389	87204277	20888	34	4.23843
ENSG00000200422	ENSG00000200422	snoRNA	X	87146733	87146804	+	subject	overlapping	X	87183389	87204277	20888	34	4.23843
