chr	start	end	n_variants	max_ihs	peak_position	length_kb
X	57411926	57829084	127	5.6797	57480530	417.16
X	107779738	108639001	341	5.0830	107782824	859.26
X	48015436	48062513	56	4.5460	48016838	47.08
X	155704767	155705325	2	-4.4056	155704767	0.56
X	62864476	62934252	49	4.2207	62914042	69.78
X	16502519	17028248	68	4.1122	17013751	525.73
X	2781309	2781409	3	-4.0414	2781409	0.10
X	51283096	52352213	109	3.7602	51749114	1069.12
X	24748160	25085883	66	3.4306	24908481	337.72
X	56557709	56847896	113	3.1445	56843745	290.19
X	15886851	15916139	14	2.2581	15898669	29.29
